﻿Title:,"Table 6 - Tuition fees and education contracts analysed by HE provider, domicile, mode, level, source"
Subtitle:,"Academic years 2016/17 to 2023/24"
Reference ID:,DT031 Table 6
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Source of fee,Total 
,Academic year,2018/19 
,Financial Year End,All 
Search:,


"","","","","(£000s)",""
"UKPRN","HE Provider","Financial Year End","Total Home fees","Total Rest of UK fees","Total UK fees","Total EU fees","Total UK and EU fees","Total Non-EU fees","Total HE course fees","Total research training support grants","Non-credit bearing course fees","FE course fees","Total tuition fees and education contracts"
"10000571","Bath Spa University","2019-07-31","","","56,467","2,079","58,546","4,321","62,867","0","177","0","63,044"
"10007850","The University of Bath","2019-07-31","","","87,581","13,805","101,386","57,054","158,440","8,546","2,771","0","169,757"
"10000911","BCNO Limited","2018-08-31","","","625","303","928","126","1,054","0","0","0","1,054"
"10007152","University of Bedfordshire","2019-07-31","","","71,603","12,175","83,778","12,628","96,406","0","1,448","0","97,854"
"10005343","Queen's University Belfast","2019-07-31","65,992","8,704","74,696","2,764","77,460","35,997","113,457","1,714","337","0","115,508"
"10037544","BIMM University","2018-08-31","","","28,207","9,696","37,903","1,511","39,414","0","0","1,969","41,383"
"10007760","Birkbeck College","2019-07-31","","","52,946","4,634","57,580","9,691","67,271","1,294","100","0","68,665"
"10007140","Birmingham City University","2019-07-31","","","168,045","6,021","174,066","25,328","199,394","222","4,090","72","203,778"
"10006840","The University of Birmingham","2019-07-31","","","191,119","10,006","201,125","138,098","339,223","6,703","5,856","0","351,782"
"10000712","University College Birmingham","2019-07-31","","","21,997","9,271","31,268","4,175","35,443","851","0","374","36,668"
"10007832","Birmingham Newman University","2019-07-31","","","20,218","83","20,301","9","20,310","0","65","0","20,375"
"10000894","Bristol Baptist College","2019-06-30","","","215","0","215","3","218","0","64","0","282"
"10007811","Bishop Grosseteste University","2019-07-31","","","16,687","53","16,740","72","16,812","0","0","0","16,812"
"10004061","Bloomsbury Institute","2019-07-31","","","11,770","191","11,961","133","12,094","0","0","0","12,094"
"10006841","The University of Bolton","2019-07-31","","","44,124","1,449","45,573","5,111","50,684","0","(5)","3,443","54,122"
"10000385","The Arts University Bournemouth","2019-07-31","","","24,089","2,330","26,419","4,713","31,132","0","850","564","32,546"
"10000824","Bournemouth University","2019-07-31","","","105,118","5,352","110,470","14,718","125,188","0","1,919","0","127,107"
"10031982","BPP University","2018-08-31","","","56,408","4,078","60,486","26,847","87,333","0","0","0","87,333"
"10007785","The University of Bradford","2019-07-31","","","57,754","3,362","61,116","16,309","77,425","0","1,140","0","78,565"
"10000886","The University of Brighton","2019-07-31","","","112,993","9,904","122,897","21,006","143,903","1,197","765","0","145,865"
"10000936","The University College of Osteopathy","2019-07-31","","","2,868","369","3,237","193","3,430","0","121","22","3,573"
"10007786","The University of Bristol","2019-07-31","","","148,544","9,095","157,639","96,515","254,154","28,667","5,967","0","288,788"
"10028216","Brit College","2018-12-31","","","2,827","0","2,827","0","2,827","0","0","0","2,827"
"10023464","Trinity College Bristol","2018-08-31","","","1,496","0","1,496","146","1,642","0","0","0","1,642"
"10000961","Brunel University London","2019-07-31","","","77,876","9,677","87,553","37,329","124,882","1,072","2,013","0","127,967"
"10000975","Buckinghamshire New University","2019-07-31","","","60,161","6,877","67,038","748","67,786","0","701","0","68,487"
"10010308","Cambridge Arts and Sciences Limited","2018-08-31","","","112","132","244","752","996","0","0","14,633","15,629"
"10007788","The University of Cambridge","2019-07-31","","","116,295","30,453","146,748","126,492","273,240","31,601","15,309","0","320,150"
"10032072","The Cambridge Theological Federation","2018-08-31","","","310","9","319","164","483","0","0","0","483"
"10003324","The Institute of Cancer Research","2019-07-31","","","592","85","677","123","800","1,785","44","0","2,629"
"10001143","Canterbury Christ Church University","2019-07-31","","","88,207","5,254","93,461","2,857","96,318","0","0","0","96,318"
"10007814","Cardiff University","2019-07-31","61,223","104,345","165,568","11,535","177,103","83,259","260,362","7,686","11,473","0","279,521"
"10007854","Cardiff Metropolitan University","2019-07-31","38,830","24,848","63,678","2,742","66,420","13,794","80,214","478","0","332","81,024"
"10007141","The University of Central Lancashire","2019-07-31","","","125,311","5,250","130,561","25,662","156,223","0","0","3,194","159,417"
"10024024","Central Film School London","2018-08-31","","","373","463","836","291","1,127","0","64","0","1,191"
"10007848","University of Chester","2019-07-31","","","84,263","1,386","85,649","8,529","94,178","0","786","0","94,964"
"10007137","The University of Chichester","2019-07-31","","","37,152","1,254","38,406","986","39,392","0","509","0","39,901"
"10001386","Chicken Shed Theatre Company","2019-03-31","","","450","0","450","0","450","0","0","0","450"
"10001546","The College of Integrated Chinese Medicine","2018-11-30","","","1,007","0","1,007","0","1,007","0","108","0","1,115"
"10001419","Christie's Education Limited","2018-12-31","","","553","242","795","484","1,279","0","306","0","1,585"
"10026921","Christ the Redeemer College","2019-07-31","","","435","0","435","0","435","0","0","0","435"
"10001478","City, University of London","2019-07-31","","","84,771","24,692","109,463","76,610","186,073","423","8,810","0","195,306"
"10007912","Cliff College","2018-08-31","","","524","0","524","0","524","0","96","0","620"
"10001653","Conservatoire for Dance and Drama","2019-07-31","","","7,964","1,597","9,561","5,099","14,660","0","0","0","14,660"
"10007761","Courtauld Institute of Art","2019-07-31","","","2,209","917","3,126","2,443","5,569","0","81","0","5,650"
"10034324","Court Theatre Training Company Ltd","2018-08-31","","","390","97","487","0","487","0","0","0","487"
"10001726","Coventry University","2019-07-31","","","161,566","30,317","191,883","111,259","303,142","0","6,957","0","310,099"
"10007822","Cranfield University","2019-07-31","","","25,500","7,398","32,898","25,677","58,575","0","18,125","0","76,700"
"10006427","University for the Creative Arts","2019-07-31","","","34,710","3,974","38,684","8,170","46,854","0","1,107","729","48,690"
"10007842","University of Cumbria","2019-07-31","","","43,515","894","44,409","993","45,402","0","1,218","0","46,620"
"10026767","Dartington Hall Trust (The)","2019-03-31","","","57","141","198","375","573","0","0","0","573"
"10015688","David Game College Ltd","2019-01-31","","","0","0","0","0","0","0","0","6,607","6,607"
"10001883","De Montfort University","2019-07-31","","","148,101","16,999","165,100","43,028","208,128","0","3,014","53","211,195"
"10007851","University of Derby","2019-07-31","","","113,130","10,688","123,818","13,006","136,824","0","926","989","138,739"
"10007852","The University of Dundee","2019-07-31","15,892","12,503","28,395","3,205","31,600","31,009","62,609","3,478","816","0","66,903"
"10007143","University of Durham","2019-07-31","","","101,879","9,628","111,507","86,106","197,613","7,419","4,267","0","209,299"
"10007789","The University of East Anglia","2019-07-31","","","105,551","7,643","113,194","39,030","152,224","3,276","2,851","0","158,351"
"10007144","The University of East London","2019-07-31","","","87,843","3,605","91,448","14,357","105,805","34","925","0","106,764"
"10032282","The Queen's Foundation for Ecumenical Theological Education","2018-08-31","","","1,932","0","1,932","21","1,953","0","0","0","1,953"
"10007823","Edge Hill University","2019-07-31","","","96,875","355","97,230","1,579","98,809","0","0","0","98,809"
"10007772","Edinburgh Napier University","2019-07-31","12,859","4,425","17,284","4,003","21,287","19,459","40,746","0","3,129","0","43,875"
"10007790","The University of Edinburgh","2019-07-31","36,520","65,017","101,537","22,965","124,502","198,500","323,002","17,548","6,300","0","346,850"
"10022047","Empire College London Limited","2019-03-31","","","658","0","658","0","658","0","0","0","658"
"10042570","Escape Studios","2018-12-31","","","5,862","311","6,173","160","6,333","0","1,087","0","7,420"
"10007791","The University of Essex","2019-07-31","","","75,351","19,962","95,313","38,365","133,678","84","1,961","0","135,723"
"10008173","University College of Estate Management","2019-07-31","","","9,007","195","9,202","2,576","11,778","0","0","749","12,527"
"10002313","ESCP Europe Business School","2018-12-31","","","322","6,594","6,916","1,481","8,397","0","0","0","8,397"
"10002344","European School of Osteopathy","2018-08-31","","","1,081","851","1,932","53","1,985","0","0","0","1,985"
"10007792","The University of Exeter","2019-07-31","","","149,034","11,238","160,272","76,425","236,697","8,614","2,587","0","247,898"
"10008640","Falmouth University","2019-07-31","","","45,193","4,458","49,651","3,492","53,143","0","0","0","53,143"
"10045476","Met Film School Limited","2018-09-30","","","1,976","1,617","3,593","966","4,559","0","0","0","4,559"
"10004511","The National Film and Television School","2019-07-31","","","2,734","1,383","4,117","1,351","5,468","0","1,324","0","6,792"
"10022087","Futureworks","2018-08-31","","","3,180","47","3,227","0","3,227","0","103","0","3,330"
"10042500","Global Banking School Limited","2019-02-28","","","0","0","0","0","0","0","0","0","0"
"10007762","Glasgow Caledonian University","2019-07-31","21,279","1,637","22,916","2,160","25,076","10,853","35,929","205","3,679","0","39,813"
"10002681","Glasgow School of Art","2019-07-31","1,808","3,655","5,463","1,134","6,597","8,983","15,580","0","743","0","16,323"
"10007794","The University of Glasgow","2019-07-31","33,272","22,373","55,645","9,062","64,707","141,969","206,676","13,068","8,490","0","228,234"
"10007145","University of Gloucestershire","2019-07-31","","","56,931","937","57,868","3,798","61,666","0","864","0","62,530"
"10002718","Goldsmiths College","2019-07-31","","","57,756","6,728","64,484","31,316","95,800","1,494","1,934","0","99,228"
"10007146","The University of Greenwich","2019-07-31","","","98,883","11,373","110,256","32,221","142,477","0","746","0","143,223"
"10007825","Guildhall School of Music and Drama","2019-07-31","","","6,356","1,569","7,925","3,095","11,020","0","4,005","0","15,025"
"10040812","Harper Adams University","2019-07-31","","","18,573","607","19,180","1,459","20,639","0","0","0","20,639"
"10080811","Hartpury University","2019-07-31","","","12,922","612","13,534","927","14,461","0","113","673","15,247"
"10007764","Heriot-Watt University","2019-07-31","13,475","13,439","26,914","3,594","30,508","87,891","118,399","3,789","1,349","0","123,537"
"10007147","University of Hertfordshire","2019-07-31","","","131,715","4,806","136,521","32,406","168,927","237","1,859","0","171,023"
"10007148","The University of Huddersfield","2019-07-31","","","97,528","3,667","101,195","26,663","127,858","252","4,547","0","132,657"
"10007149","The University of Hull","2019-07-31","","","100,697","3,405","104,102","21,537","125,639","408","567","0","126,614"
"10003239","ICON College of Technology and Management","2018-09-30","","","6,348","0","6,348","0","6,348","0","0","0","6,348"
"10003270","Imperial College of Science, Technology and Medicine","2019-07-31","","","64,941","32,392","97,333","178,568","275,901","28,518","8,758","0","313,177"
"10013220","Institute of Art - London Limited","2018-08-31","","","715","1,801","2,516","3,306","5,822","0","1,049","0","6,871"
"10067388","The Institute of Ismaili Studies","2018-12-31","","","0","0","0","0","0","0","0","0","0"
"10035638","Institute of Contemporary Music Performance","2019-05-31","","","3,956","1,841","5,797","519","6,316","0","77","0","6,393"
"10082728","INTO University Partnerships Limited","2019-07-31","","","0","0","0","1,906","1,906","0","0","16,403","18,309"
"10067601","JSA Education Group Ltd.","2019-07-31","","","0","0","0","0","0","0","0","0","0"
"10021682","Kaplan Open Learning (Essex) Limited","2018-12-31","","","3,214","508","3,722","2,597","6,319","0","0","0","6,319"
"10007767","Keele University","2019-07-31","","","69,933","1,814","71,747","8,492","80,239","0","221","0","80,460"
"10007150","The University of Kent","2019-07-31","","","111,008","12,093","123,101","37,385","160,486","1,590","1,425","0","163,501"
"10003645","King's College London","2019-07-31","","","138,248","36,456","174,704","176,928","351,632","12,213","29,943","0","393,788"
"10008325","KLC School of Design","2018-08-31","","","3,456","43","3,499","174","3,673","0","0","0","3,673"
"10003678","Kingston University","2019-07-31","","","99,538","5,616","105,154","33,106","138,260","0","2,660","0","140,920"
"10003758","LAMDA Limited","2019-07-31","","","1,417","333","1,750","2,204","3,954","0","870","0","4,824"
"10007768","The University of Lancaster","2019-07-31","","","74,599","11,481","86,080","63,863","149,943","1,542","708","0","152,193"
"10003854","Leeds Arts University","2019-07-31","","","14,798","418","15,216","1,589","16,805","0","95","374","17,274"
"10003861","Leeds Beckett University","2019-07-31","","","146,533","2,565","149,098","8,586","157,684","17","2,442","0","160,143"
"10003798","Le Cordon Bleu Limited","2018-12-31","","","1,510","1,414","2,924","4,755","7,679","0","1,735","0","9,414"
"10034449","Leeds Conservatoire","2019-07-31","","","10,005","325","10,330","657","10,987","0","0","0","10,987"
"10007795","The University of Leeds","2019-07-31","","","201,410","14,092","215,502","155,575","371,077","13,774","15,331","0","400,182"
"10003863","Leeds Trinity University","2019-07-31","","","26,298","313","26,611","129","26,740","0","63","0","26,803"
"10007796","The University of Leicester","2019-07-31","","","95,936","6,553","102,489","56,782","159,271","3,989","4,958","0","168,218"
"10007151","The University of Lincoln","2019-07-31","","","109,426","1,635","111,061","11,471","122,532","0","938","497","123,967"
"10003956","Liverpool Hope University","2019-07-31","","","37,700","911","38,611","650","39,261","0","2,559","0","41,820"
"10003957","Liverpool John Moores University","2019-07-31","","","161,887","2,823","164,710","15,502","180,212","102","5,107","0","185,421"
"10003945","The Liverpool Institute for Performing Arts","2019-07-31","","","5,640","287","5,927","2,248","8,175","0","546","0","8,721"
"10006842","The University of Liverpool","2019-07-31","","","153,878","8,257","162,135","125,612","287,747","10,776","10,491","0","309,014"
"10003958","Liverpool School of Tropical Medicine","2019-07-31","","","1,096","248","1,344","1,266","2,610","622","1,105","0","4,337"
"10007162","University of the Arts, London","2019-07-31","","","77,503","19,293","96,796","114,077","210,873","0","27,398","14,881","253,152"
"10013109","London Bridge Business Academy","2018-12-31","","","44","835","879","0","879","0","0","0","879"
"10007769","London Business School","2019-07-31","","","21,547","15,030","36,577","52,603","89,180","0","48,229","0","137,409"
"10007797","University of London (Institutes and activities)","2019-07-31","","","5,846","4,198","10,044","52,395","62,439","0","190","0","62,629"
"10039082","City and Guilds of London Art School","2018-08-31","","","965","165","1,130","67","1,197","0","0","684","1,881"
"10023434","London School of Commerce & IT Limited","2019-03-31","","","281","0","281","0","281","0","0","0","281"
"10004036","London Film School Limited","2018-08-31","","","643","1,223","1,866","2,308","4,174","0","0","0","4,174"
"10015506","The London College","2018-08-31","","","4,968","71","5,039","0","5,039","0","0","0","5,039"
"10004048","London Metropolitan University","2019-07-31","","","59,204","4,880","64,084","3,684","67,768","0","4,211","0","71,979"
"10032594","London School of Academics Ltd","2019-03-31","","","584","0","584","0","584","0","0","0","584"
"10004078","London South Bank University","2019-07-31","","","93,449","3,803","97,252","10,398","107,650","0","1,920","1,774","111,344"
"10004063","London School of Economics and Political Science","2019-07-31","","","44,083","31,139","75,222","113,774","188,996","0","38,410","0","227,406"
"10007771","London School of Hygiene and Tropical Medicine","2019-07-31","","","3,393","932","4,325","15,540","19,865","22","2,691","0","22,578"
"10022285","London School of Management Education","2018-08-31","","","823","503","1,326","0","1,326","0","0","0","1,326"
"10004075","London School of Theology","2018-08-31","","","1,757","109","1,866","364","2,230","0","74","0","2,304"
"10004079","London Studio Centre","2018-08-31","","","3,608","441","4,049","276","4,325","0","136","0","4,461"
"10062810","The London School of Architecture","2019-06-30","","","697","22","719","0","719","0","0","0","719"
"10008289","The London Institute of Banking & Finance","2019-07-31","","","1,312","18","1,330","21","1,351","0","6","13,471","14,828"
"10004035","The Film Education Training Trust Limited","2019-01-31","","","382","254","636","293","929","0","608","0","1,537"
"10067623","The London Interdisciplinary School Ltd","2019-07-31","","","0","0","0","0","0","0","0","0","0"
"10004113","Loughborough University","2019-07-31","","","102,493","5,447","107,940","53,031","160,971","0","2,735","126","163,832"
"10009612","Luther King House Educational Trust","2018-08-31","","","293","0","293","20","313","0","0","0","313"
"10004180","The Manchester Metropolitan University","2019-07-31","","","228,783","10,748","239,531","21,920","261,451","0","1,736","147","263,334"
"10007798","The University of Manchester","2019-07-31","","","192,092","25,540","217,632","240,678","458,310","286","20,763","0","479,359"
"10009527","Istituto Marangoni Limited","2018-12-31","","","1,389","2,635","4,024","7,925","11,949","0","0","1,818","13,767"
"10009527","Istituto Marangoni Limited","2019-06-30","","","986","1,870","2,856","5,583","8,439","0","0","990","9,429"
"10023452","The Markfield Institute of Higher Education","2018-12-31","","","309","40","349","0","349","0","19","0","368"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","2018-08-31","","","313","0","313","0","313","0","0","0","313"
"10020416","Missio Dei","2019-06-30","","","468","3","471","18","489","0","0","0","489"
"10030776","St Mellitus College","2019-07-31","","","2,836","19","2,855","0","2,855","0","168","22","3,045"
"10004320","The Metanoia Institute","2018-08-31","","","1,285","28","1,313","121","1,434","0","0","0","1,434"
"10004351","Middlesex University","2019-07-31","","","94,641","22,434","117,075","31,182","148,257","0","9,351","0","157,608"
"10032277","The Minster Centre","2018-12-31","","","386","0","386","0","386","0","791","0","1,177"
"10004450","Mountview Academy of Theatre Arts","2018-08-31","","","3,915","176","4,091","644","4,735","0","465","0","5,200"
"10023777","Mont Rose College of Management and Sciences","2018-08-31","","","7,235","0","7,235","0","7,235","0","0","0","7,235"
"10023454","Moorlands College","2019-06-30","","","1,348","7","1,355","7","1,362","0","13","23","1,398"
"10000216","All Nations Christian College","2018-08-31","","","304","142","446","65","511","0","159","0","670"
"10053304","Navitas UK Holdings Limited","2019-06-30","","","0","0","0","0","0","0","0","0","0"
"10004538","Nazarene Theological College","2019-06-30","","","600","59","659","168","827","0","46","0","873"
"10030129","Nelson College London Ltd","2019-07-31","","","5,707","0","5,707","0","5,707","0","0","0","5,707"
"10007799","Newcastle University","2019-07-31","","","154,792","12,867","167,659","90,677","258,336","3,542","2,598","0","264,476"
"10045289","St Nicholas Montessori Training Limited","2018-08-31","","","118","5","123","10","133","0","81","324","538"
"10067406","New Model Institute for Technology and Engineering (NMITE)","2019-07-31","","","0","0","0","0","0","0","0","0","0"
"10048199","Northeastern University London","2018-08-31","","","968","510","1,478","236","1,714","0","0","0","1,714"
"10048199","Northeastern University London","2019-06-30","","","861","605","1,466","160","1,626","0","0","0","1,626"
"10008397","Norland College","2019-07-31","","","3,781","182","3,963","14","3,977","0","0","0","3,977"
"10007138","The University of Northampton","2019-07-31","","","69,403","3,272","72,675","14,986","87,661","0","4,811","0","92,472"
"10004740","Northern College of Acupuncture","2019-06-30","","","890","23","913","8","921","0","14","0","935"
"10001282","University of Northumbria at Newcastle","2019-07-31","","","156,094","8,118","164,212","26,466","190,678","770","2,322","0","193,770"
"10004775","Norwich University of the Arts","2019-07-31","","","18,562","721","19,283","1,247","20,530","0","6","0","20,536"
"10007154","University of Nottingham","2019-07-31","","","201,145","11,899","213,044","125,497","338,541","12,696","5,378","0","356,615"
"10004797","The Nottingham Trent University","2019-07-31","","","209,512","7,085","216,597","37,761","254,358","0","1,287","4,306","259,951"
"10010227","Oak Hill College","2019-07-31","","","982","9","991","19","1,010","0","26","0","1,036"
"10007773","The Open University","2019-07-31","","","277,839","12,883","290,722","7,842","298,564","1,344","1,332","0","301,240"
"10004930","Oxford Brookes University","2019-07-31","","","100,209","5,796","106,005","21,568","127,573","0","1,502","1,166","130,241"
"10007774","The University of Oxford","2019-07-31","","","105,397","23,035","128,432","130,537","258,969","51,234","43,634","0","353,837"
"10005127","Arts University Plymouth","2019-07-31","","","11,072","237","11,309","155","11,464","0","138","64","11,666"
"10007801","University of Plymouth","2019-07-31","","","129,198","4,201","133,399","16,048","149,447","624","715","0","150,786"
"10019178","Point Blank Music School","2018-12-31","","","1,670","526","2,196","902","3,098","0","2,675","0","5,773"
"10007155","The University of Portsmouth","2019-07-31","","","153,389","8,525","161,914","41,763","203,677","111","5,925","0","209,713"
"10083476","The Prince's Foundation","2019-03-31","","","17","5","22","50","72","0","0","0","72"
"10005337","Queen Margaret University, Edinburgh","2019-07-31","5,874","1,401","7,275","3,538","10,813","3,110","13,923","0","0","0","13,923"
"10007775","Queen Mary University of London","2019-07-31","","","111,433","15,653","127,086","113,476","240,562","0","4,989","0","245,551"
"10025197","University Centre Quayside Limited","2019-02-28","","","167","0","167","0","167","0","0","1,357","1,524"
"10009292","Royal Academy of Dramatic Art","2019-07-31","","","1,604","88","1,692","296","1,988","0","1,728","0","3,716"
"10005544","Royal Academy of Dance","2019-07-31","","","646","122","768","57","825","0","0","0","825"
"10005389","Ravensbourne University London","2019-07-31","","","18,777","1,176","19,953","2,266","22,219","0","16","296","22,531"
"10005470","Richmond, The American International University in London","2019-06-30","","","5,134","3,611","8,745","10,108","18,853","0","0","0","18,853"
"10007802","The University of Reading","2019-07-31","","","100,975","9,128","110,103","67,377","177,480","5,107","1,045","0","183,632"
"10003331","Regent's University London","2019-07-31","","","6,666","9,877","16,543","21,435","37,978","0","0","0","37,978"
"10021100","Regents Theological College","2018-09-30","","","793","5","798","5","803","0","71","0","874"
"10023871","Results Consortium Limited","2019-03-31","","","0","0","0","0","0","0","0","800","800"
"10008455","Regent College London","2019-07-31","","","6,366","21","6,387","0","6,387","0","0","325","6,712"
"10005500","Robert Gordon University","2019-07-31","15,401","2,119","17,520","2,180","19,700","11,226","30,926","147","905","0","31,978"
"10007776","Roehampton University","2019-07-31","","","88,653","3,827","92,480","7,849","100,329","0","1,981","0","102,310"
"10020436","Royal School of Needlework (The)","2018-08-31","","","341","8","349","55","404","0","432","538","1,374"
"10005523","Rose Bruford College of Theatre and Performance","2019-07-31","","","4,853","495","5,348","917","6,265","0","422","12","6,699"
"10007835","Royal Academy of Music","2019-07-31","","","4,141","1,577","5,718","4,083","9,801","0","957","0","10,758"
"10005545","Royal Agricultural University","2019-07-31","","","8,525","466","8,991","955","9,946","0","1,363","0","11,309"
"10007777","Royal College of Art","2019-07-31","","","6,102","4,573","10,675","30,601","41,276","0","0","0","41,276"
"10007778","Royal College of Music","2019-07-31","","","3,547","1,688","5,235","5,634","10,869","0","1,886","0","12,755"
"10005561","Royal Conservatoire of Scotland","2019-07-31","1,325","2,005","3,330","741","4,071","3,956","8,027","0","2,483","0","10,510"
"10007816","The Royal Central School of Speech and Drama","2019-07-31","","","6,371","1,155","7,526","3,360","10,886","0","909","0","11,795"
"10005553","Royal Holloway and Bedford New College","2019-07-31","","","64,292","7,103","71,395","35,705","107,100","6,516","1,038","0","114,654"
"10007837","Royal Northern College of Music","2019-07-31","","","5,384","759","6,143","3,885","10,028","0","1,053","0","11,081"
"10007779","The Royal Veterinary College","2019-07-31","","","14,473","842","15,315","13,538","28,853","864","1,129","0","30,846"
"10007803","The University of St. Andrews","2019-07-31","5,880","22,572","28,452","4,549","33,001","64,800","97,801","3,722","3,121","0","104,644"
"10007839","SAE Education Limited","2019-06-30","","","4,020","1,020","5,040","513","5,553","0","0","0","5,553"
"10007782","St George's, University of London","2019-07-31","","","30,488","523","31,011","9,231","40,242","436","337","0","41,015"
"10008026","St Mary's University College","2019-07-31","3,838","0","3,838","0","3,838","0","3,838","0","0","0","3,838"
"10007843","St Mary's University, Twickenham","2019-07-31","","","31,764","3,148","34,912","1,985","36,897","0","806","0","37,703"
"10007156","The University of Salford","2019-07-31","","","133,327","4,514","137,841","13,584","151,425","432","2,398","0","154,255"
"10021256","The Salvation Army","2019-03-31","","","0","0","0","0","0","0","0","0","0"
"10007780","SOAS University of London","2019-07-31","","","22,268","6,766","29,034","30,030","59,064","0","2,409","0","61,473"
"10005700","SRUC","2019-07-31","6,673","427","7,100","198","7,298","65","7,363","0","0","59","7,422"
"10005790","Sheffield Hallam University","2019-07-31","","","205,086","4,192","209,278","22,010","231,288","224","391","1,844","233,747"
"10007157","The University of Sheffield","2019-07-31","","","143,373","10,027","153,400","148,951","302,351","22,554","6,501","0","331,406"
"10023458","The Sherwood Psychotherapy Training Institute Limited","2018-08-31","","","815","0","815","0","815","0","210","43","1,068"
"10006022","Solent University","2019-07-31","","","61,793","11,858","73,651","4,837","78,488","5","6,759","312","85,564"
"10007158","The University of Southampton","2019-07-31","","","123,507","13,829","137,336","84,759","222,095","19,255","9,351","0","250,701"
"10006299","Staffordshire University","2019-07-31","","","84,544","1,084","85,628","4,227","89,855","0","887","0","90,742"
"10008098","Study Group","2018-12-31","","","0","0","0","104,250","104,250","0","0","0","104,250"
"10007804","The University of Stirling","2019-07-31","12,445","7,324","19,769","2,011","21,780","15,846","37,626","712","434","0","38,772"
"10037449","University of St Mark and St John","2019-07-31","","","20,484","533","21,017","176","21,193","0","0","0","21,193"
"10008010","Stranmillis University College","2019-07-31","3,851","41","3,892","28","3,920","62","3,982","0","0","0","3,982"
"10007805","The University of Strathclyde","2019-07-31","32,202","4,742","36,944","5,519","42,463","43,217","85,680","7,819","5,868","0","99,367"
"10014001","University of Suffolk","2019-07-31","","","43,997","4,262","48,259","831","49,090","0","321","0","49,411"
"10007159","The University of Sunderland","2019-07-31","","","71,575","9,073","80,648","35,095","115,743","141","2,088","0","117,972"
"10007160","The University of Surrey","2019-07-31","","","85,103","17,619","102,722","50,665","153,387","6,461","2,893","0","162,741"
"10007806","The University of Sussex","2019-07-31","","","105,565","11,729","117,294","71,025","188,319","136","3,001","0","191,456"
"10007855","Swansea University","2019-07-31","60,013","63,680","123,693","7,017","130,710","39,462","170,172","0","271","0","170,443"
"10007161","Teesside University","2019-07-31","","","96,263","2,191","98,454","11,426","109,880","0","869","0","110,749"
"10082743","ThinkSpace Education Limited","2019-07-31","","","64","28","92","58","150","0","56","0","206"
"10008017","Trinity Laban Conservatoire of Music and Dance","2019-07-31","","","7,137","1,938","9,075","1,912","10,987","0","2,656","0","13,643"
"10007858","University of Wales Trinity Saint David","2019-07-31","40,156","15,249","55,405","1,862","57,267","3,697","60,964","0","0","2,104","63,068"
