﻿Title:,"Table 14 - Key Financial Indicators by HE provider and academic year"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 14
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-14
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-14.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2017/18 
,Financial Year End,All 
Search:,


"UKPRN","HE Provider","Surplus/(deficit) as a % of total income","Staff costs as a % of total income","Premises costs as a % of total costs","Unrestricted reserves as a % of total income","External borrowing as a % of total income","Days ratio of total net assets to total expenditure","Ratio of current assets to current liabilities","Net cash inflow from operating activities as a % of total income","Net liquidity days"
"10007767","Keele University","4.1","52.9","6.4","94.0","43.7","360","1.4","1.8","103"
"10007150","The University of Kent","1.3","56.1","5.7","115.4","41.2","434","1.6","9.0","96"
"10003645","King's College London","(0.2)","56.0","9.1","84.2","35.5","410","1.0","7.9","83"
"10003678","Kingston University","(6.6)","58.2","5.8","177.2","48.7","612","2.5","5.8","178"
"10007768","The University of Lancaster","3.3","53.4","4.3","95.9","41.7","370","1.7","8.3","112"
"10003854","Leeds Arts University","18.1","52.0","8.1","149.6","0.0","667","2.7","26.4","254"
"10003861","Leeds Beckett University","2.5","55.8","6.3","86.2","43.0","335","2.9","14.3","181"
"10007795","The University of Leeds","1.4","54.1","3.8","102.3","42.6","423","1.9","9.4","170"
"10003863","Leeds Trinity University","2.9","58.8","3.1","84.5","34.2","318","3.3","13.9","187"
"10007796","The University of Leicester","0.6","55.6","5.1","28.2","22.2","129","0.7","5.5","47"
"10007151","The University of Lincoln","0.6","56.3","9.1","126.1","61.8","464","1.4","8.3","75"
"10003956","Liverpool Hope University","5.5","56.0","7.0","212.8","23.6","822","3.4","17.1","131"
"10003957","Liverpool John Moores University","1.2","59.8","8.2","51.5","19.3","194","2.7","10.5","174"
"10003945","The Liverpool Institute for Performing Arts","14.6","55.0","5.2","137.4","16.4","612","2.6","20.3","240"
"10006842","The University of Liverpool","4.8","52.5","4.4","98.5","55.0","495","1.5","12.1","111"
"10003958","Liverpool School of Tropical Medicine","2.1","13.3","1.0","14.3","0.0","81","1.4","1.8","121"
"10007162","University of the Arts, London","7.2","55.4","10.4","109.0","29.5","437","3.6","13.6","284"
"10007769","London Business School","5.8","47.2","7.8","121.8","41.4","610","0.1","14.6","9"
"10007797","University of London (Institutes and activities)","1.3","34.9","6.3","322.5","28.8","1,386","1.8","2.2","98"
"10004048","London Metropolitan University","(10.1)","60.1","11.6","159.0","0.3","532","4.9","(10.7)","309"
"10004078","London South Bank University","1.1","56.5","9.0","75.3","16.7","280","2.2","8.8","135"
"10004063","London School of Economics and Political Science","8.4","52.2","5.9","113.2","55.3","613","1.2","7.5","124"
"10007771","London School of Hygiene and Tropical Medicine","9.5","38.5","2.1","43.2","6.0","199","1.3","9.1","147"
"10004113","Loughborough University","1.8","53.6","6.3","87.7","43.0","384","1.5","7.8","115"
"10004180","The Manchester Metropolitan University","1.2","57.5","4.9","151.0","9.5","559","3.8","13.5","221"
"10007798","The University of Manchester","2.8","50.7","6.8","136.1","38.1","609","1.2","8.7","121"
"10004351","Middlesex University","2.7","57.5","6.2","47.3","38.7","178","2.1","14.5","170"
"10007799","Newcastle University","2.3","55.8","6.1","74.6","24.6","338","1.8","7.9","134"
"10007138","The University of Northampton","(5.0)","51.9","2.5","38.7","238.2","138","1.5","8.6","116"
"10001282","University of Northumbria at Newcastle","2.0","56.2","4.4","63.6","24.9","237","1.1","11.2","84"
"10004775","Norwich University of the Arts","17.1","48.2","6.0","157.5","4.0","693","19.5","24.4","556"
"10007154","University of Nottingham","3.8","51.6","4.7","64.7","12.2","283","0.4","9.0","4"
"10004797","The Nottingham Trent University","(0.2)","60.9","3.2","41.9","29.7","160","2.2","14.9","100"
"10007773","The Open University","(6.1)","68.7","3.1","103.1","14.2","357","3.6","(5.0)","334"
"10004930","Oxford Brookes University","(5.7)","56.0","5.3","84.8","65.0","297","1.2","13.7","64"
"10007774","The University of Oxford","2.5","43.9","3.0","126.5","42.7","684","1.3","8.4","89"
"10005127","Arts University Plymouth","(2.7)","61.7","8.9","36.5","34.8","130","2.7","8.6","101"
"10007801","University of Plymouth","1.2","59.7","5.5","46.9","22.8","175","2.7","11.4","180"
"10007155","The University of Portsmouth","2.8","59.9","4.8","126.1","42.5","477","6.1","12.5","420"
"10005337","Queen Margaret University, Edinburgh","(14.5)","64.9","9.0","148.3","87.1","478","0.3","9.6","79"
"10007775","Queen Mary University of London","2.9","55.6","4.8","96.2","19.7","391","0.8","9.6","28"
"10005389","Ravensbourne University London","1.3","52.8","9.8","129.1","16.4","478","3.4","10.8","229"
"10007802","The University of Reading","(10.0)","55.2","5.4","78.3","59.2","491","1.7","5.6","147"
"10005500","Robert Gordon University","(13.5)","64.4","4.6","202.8","34.7","660","1.5","3.0","68"
"10007776","Roehampton University","0.8","53.4","4.9","38.9","65.8","145","2.2","8.7","90"
"10005523","Rose Bruford College of Theatre and Performance","(2.9)","49.3","6.8","40.2","5.8","142","1.1","5.8","55"
"10007835","Royal Academy of Music","33.9","34.3","12.6","391.2","0.0","2,806","3.4","(1.7)","205"
"10005545","Royal Agricultural University","12.6","39.9","7.7","120.7","16.3","507","1.1","0.5","43"
"10007777","Royal College of Art","11.7","35.7","13.6","155.0","0.0","826","0.6","24.3","67"
"10007778","Royal College of Music","29.9","38.9","8.2","123.3","3.9","1,482","9.1","16.2","472"
"10005561","Royal Conservatoire of Scotland","2.0","73.7","4.0","101.6","0.0","413","3.1","4.6","81"
"10007816","The Royal Central School of Speech and Drama","7.9","54.2","4.1","117.4","45.5","505","3.8","12.1","366"
"10005553","Royal Holloway and Bedford New College","2.4","54.0","4.1","123.0","67.0","633","0.8","10.0","55"
"10007837","Royal Northern College of Music","3.2","54.9","6.7","120.9","17.2","822","3.2","2.5","128"
"10007779","The Royal Veterinary College","8.7","51.7","5.3","166.0","2.0","717","3.5","13.1","227"
"10007803","The University of St. Andrews","9.4","49.9","6.4","98.5","46.6","540","1.3","8.7","93"
"10007782","St George's, University of London","2.9","54.5","6.9","37.3","25.5","168","0.8","2.9","28"
"10008026","St Mary's University College","4.6","67.8","6.8","44.0","0.0","168","6.6","6.7","238"
"10007843","St Mary's University, Twickenham","(11.4)","71.7","6.4","188.9","5.1","620","1.4","(3.5)","48"
"10007156","The University of Salford","3.6","55.7","6.1","47.2","36.8","182","2.3","13.3","195"
"10007780","SOAS University of London","(2.8)","57.5","10.8","58.0","17.6","387","0.7","(0.1)","59"
"10005700","SRUC","3.0","57.0","6.4","9.2","0.3","59","1.7","4.8","71"
"10005790","Sheffield Hallam University","(4.7)","66.0","4.7","79.0","23.2","275","3.1","6.5","167"
"10007157","The University of Sheffield","8.0","47.0","4.1","146.2","26.1","607","1.0","14.3","74"
"10006022","Solent University","7.0","53.8","5.7","118.4","28.9","354","1.2","15.3","121"
"10007158","The University of Southampton","4.9","52.3","5.3","93.1","71.7","367","3.4","14.1","342"
"10006299","Staffordshire University","(7.5)","56.9","4.3","63.6","36.3","230","2.9","13.1","216"
"10007804","The University of Stirling","(0.8)","58.0","4.5","132.1","66.0","492","2.9","8.2","205"
"10037449","University of St Mark and St John","5.0","41.1","9.5","88.6","39.6","341","2.0","9.5","108"
"10008010","Stranmillis University College","(2.3)","62.1","12.0","21.9","0.0","78","1.8","5.8","131"
"10007805","The University of Strathclyde","0.1","57.2","5.7","103.9","29.0","422","1.5","5.6","145"
"10014001","University of Suffolk","3.2","45.5","6.5","31.9","45.5","121","1.3","8.1","91"
"10007159","The University of Sunderland","(0.6)","50.3","4.2","42.6","29.1","159","0.9","8.8","43"
"10007160","The University of Surrey","3.8","51.0","4.7","167.6","96.2","641","1.4","10.6","187"
"10007806","The University of Sussex","1.2","49.6","5.9","121.4","66.3","464","3.4","9.0","269"
"10007855","Swansea University","3.6","51.2","4.7","67.7","58.9","264","1.2","12.7","87"
"10007161","Teesside University","6.2","57.9","4.5","100.8","0.1","393","2.1","13.5","153"
"10008017","Trinity Laban Conservatoire of Music and Dance","9.7","52.1","6.8","50.9","3.3","430","1.0","15.4","68"
"10007858","University of Wales Trinity Saint David","(10.3)","56.9","5.5","82.7","28.9","293","0.6","(1.8)","65"
"10007114","University of the Highlands and Islands","(3.1)","12.2","1.3","3.9","44.6","14","1.5","23.8","51"
"10007807","Ulster University","5.1","53.5","8.1","140.2","37.1","565","3.4","6.5","231"
"10007784","University College London","9.2","50.0","8.4","89.2","11.4","394","0.8","10.9","59"
"10007793","University of South Wales","2.7","58.9","6.3","48.7","35.0","191","2.8","16.5","209"
"10008574","The University of Wales (central functions)","(67.8)","80.7","5.4","27.9","7.8","344","0.9","(64.6)","34"
"10007163","The University of Warwick","8.8","50.9","3.7","43.9","18.3","183","1.2","15.7","112"
"10007164","University of the West of England, Bristol","2.8","59.1","5.1","178.2","42.3","672","2.0","11.9","163"
"10007800","The University of the West of Scotland","(3.0)","65.8","1.9","77.8","84.8","276","1.0","9.8","56"
"10006566","The University of West London","7.8","46.2","7.4","66.5","51.9","275","3.0","14.8","124"
"10007165","The University of Westminster","2.2","55.6","11.7","108.7","28.1","408","1.4","13.6","69"
"10003614","The University of Winchester","2.6","52.4","4.2","179.4","51.1","672","4.0","12.6","208"
"10007166","The University of Wolverhampton","4.8","60.2","4.2","122.0","0.1","468","3.5","8.4","152"
"10007139","University of Worcester","4.6","54.1","5.6","71.7","73.6","275","2.9","15.1","139"
"10007833","Wrexham University","1.2","62.6","8.5","85.5","0.5","318","2.0","7.5","45"
"10007657","Writtle University College","(13.6)","63.6","7.6","139.2","14.4","447","1.5","3.2","63"
"10007713","York St John University","6.1","51.0","5.1","175.7","32.1","684","3.4","15.8","148"
"10007167","The University of York","3.0","55.1","4.1","104.0","35.2","410","1.3","11.1","92"
