﻿Title:,"Table 1 - Buildings and spaces"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2021/22 
Search:,


"UKPRN","HE provider","Total number of sites","Total number of buildings","Total site area (hectares)","Total grounds area (hectares)","Total playing fields area (hectares)","Total gross internal area (m2)","Total number of car parking spaces","Total number of cycle spaces"
"10007792","The University of Exeter","3","222","107.670","107.670","31.000","284,257.400","1,846","1,689"
"10008640","Falmouth University","2","84","20.660","17.113","0.237","65,047.677","568","338"
"10004511","The National Film and Television School","1","11","1.420","1.420","0.000","12,424.080","105","30"
"10007762","Glasgow Caledonian University","2","23","7.116","4.762","0.000","102,691.390","143","188"
"10002681","Glasgow School of Art","4","15","2.000","2.000","0.000","66,818.000","40","72"
"10007794","The University of Glasgow","18","322","220.000","81.000","23.000","518,509.120","1,598","1,754"
"10007145","University of Gloucestershire","5","93","36.330","13.730","5.000","93,455.024","1,232","747"
"10002718","Goldsmiths College","","","","0.000","","79,781.310","0","0"
"10007146","The University of Greenwich","3","51","","","17.560","143,065.780","1,330","594"
"10007825","Guildhall School of Music and Drama","1","4","0.892","0.140","0.000","33,817.040","2","165"
"10007764","Heriot-Watt University","4","90","89.640","89.460","10.440","228,513.260","2,104","609"
"10007147","University of Hertfordshire","8","86","96.720","96.720","21.640","193,272.000","2,870","1,710"
"10007148","The University of Huddersfield","1","29","17.390","11.790","5.600","127,631.130","580","90"
"10007149","The University of Hull","3","97","80.310","36.020","34.930","198,044.000","1,971","1,137"
"10003270","Imperial College of Science, Technology and Medicine","11","115","139.709","118.873","24.253","588,084.000","735","3,143"
"10007767","Keele University","1","157","228.361","142.077","17.089","171,666.800","2,565","484"
"10007150","The University of Kent","2","393","129.360","120.160","9.900","256,011.250","2,526","1,495"
"10003645","King's College London","6","78","","5.800","16.640","430,955.442","79","1,157"
"10003678","Kingston University","5","140","50.640","17.960","21.320","161,384.520","1,395","1,020"
"10007768","The University of Lancaster","2","254","154.770","95.600","9.050","331,228.000","3,091","1,898"
"10003861","Leeds Beckett University","2","80","56.232","18.050","19.207","233,174.170","1,366","976"
"10007795","The University of Leeds","6","366","145.348","79.602","50.289","619,659.761","2,068","2,912"
"10003863","Leeds Trinity University","1","33","18.000","7.000","6.600","43,258.030","483","44"
"10007796","The University of Leicester","5","206","87.640","38.760","26.600","323,544.930","1,974","1,990"
"10007151","The University of Lincoln","3","115","256.818","239.418","3.232","253,506.909","1,147","1,260"
"10003956","Liverpool Hope University","4","53","24.990","14.280","2.110","86,312.000","635","201"
"10003957","Liverpool John Moores University","3","38","24.000","6.544","7.000","154,170.400","742","605"
"10006842","The University of Liverpool","5","204","215.580","83.200","18.600","498,076.000","2,741","755"
"10003958","Liverpool School of Tropical Medicine","1","5","1.120","0.000","0.000","22,456.820","134","120"
"10007162","University of the Arts, London","17","41","8.981","3.677","0.000","184,613.560","112","1,296"
"10007797","University of London (Institutes and activities)","","","","","","214,444.000","",""
"10004048","London Metropolitan University","3","7","2.534","0.375","0.000","83,223.780","25","153"
"10004078","London South Bank University","3","23","7.480","0.360","0.000","150,935.590","30","392"
"10004063","London School of Economics and Political Science","1","42","13.390","1.140","9.300","214,376.180","60","999"
"10007771","London School of Hygiene and Tropical Medicine","5","5","2.243","","","25,462.630","","136"
"10004113","Loughborough University","2","131","174.130","93.390","16.230","321,717.130","3,318","2,268"
"10004180","The Manchester Metropolitan University","1","42","25.680","16.654","2.307","270,419.840","820","1,018"
"10007798","The University of Manchester","6","211","124.170","90.900","8.303","997,957.030","3,674","3,000"
"10007799","Newcastle University","24","230","634.135","22.010","26.450","490,051.770","935","2,103"
"10007138","The University of Northampton","13","35","34.000","34.000","9.000","133,233.000","3,059","553"
"10001282","University of Northumbria at Newcastle","4","56","28.000","25.000","3.000","243,149.000","","1,181"
"10004775","Norwich University of the Arts","","","","","","24,806.000","",""
"10007154","University of Nottingham","4","454","230.000","543.000","48.000","689,839.979","4,691","5,162"
"10004797","The Nottingham Trent University","5","126","267.000","223.049","6.477","241,372.670","1,887","861"
"10007773","The Open University","8","75","52.690","26.510","3.230","130,028.000","2,746","668"
"10004930","Oxford Brookes University","8","152","79.200","56.300","13.600","213,218.000","1,509","2,945"
"10007774","The University of Oxford","13","255","534.860","497.140","11.100","666,881.000","1,845","4,820"
"10007801","University of Plymouth","11","96","19.300","12.240","0.000","187,076.000","506","595"
"10007155","The University of Portsmouth","","88","70.976","20.391","25.282","181,160.850","1,092","1,546"
"10005337","Queen Margaret University, Edinburgh","1","14","16.025","15.052","0.133","46,416.580","431","283"
"10007775","Queen Mary University of London","4","91","27.364","7.395","13.000","264,929.590","235","1,013"
"10007802","The University of Reading","3","192","130.900","122.800","22.570","207,456.990","2,256","3,488"
"10005500","Robert Gordon University","3","28","56.202","17.000","0.000","106,382.000","1,112","298"
"10005523","Rose Bruford College of Theatre and Performance","2","9","6.000","2.000","2.000","13,707.000","116","140"
"10007778","Royal College of Music","","","","","","16,670.200","",""
"10007816","The Royal Central School of Speech and Drama","2","7","0.620","0.620","0.000","10,634.000","2","60"
"10005553","Royal Holloway and Bedford New College","3","124","77.930","68.880","3.340","187,735.220","1,438","883"
"10007803","The University of St. Andrews","1","147","53.687","44.500","22.260","285,378.240","1,442","2,036"
"10007782","St George's, University of London","1","9","2.270","0.710","0.000","70,592.200","84","409"
"10008026","St Mary's University College","1","4","","","0.000","14,810.000","184",""
"10007843","St Mary's University, Twickenham","5","51","17.230","9.930","10.000","48,149.000","339","251"
"10007156","The University of Salford","3","27","32.000","32.000","10.000","154,250.000","2,341","379"
"10005700","SRUC","9","255","","","","126,417.000","",""
"10005790","Sheffield Hallam University","3","67","34.230","20.470","8.610","196,529.899","343","732"
"10007157","The University of Sheffield","21","272","144.090","113.409","8.117","516,433.630","2,341","2,683"
"10006022","Solent University","","","","","","116,860.000","",""
"10007158","The University of Southampton","","","","","","451,840.325","",""
"10006299","Staffordshire University","3","43","52.000","42.000","3.420","107,239.000","1,188","580"
"10007804","The University of Stirling","1","43","135.200","133.000","18.100","168,930.079","1,883","575"
"10037449","University of St Mark and St John","1","62","17.790","10.460","5.000","34,988.000","670","98"
"10007805","The University of Strathclyde","6","53","98.180","79.790","18.390","358,283.000","501","700"
"10014001","University of Suffolk","1","11","7.100","7.100","0.000","31,496.800","461","192"
"10007159","The University of Sunderland","7","35","25.100","19.600","0.080","138,162.520","",""
"10007160","The University of Surrey","3","320","95.700","66.900","16.540","325,713.950","2,023","2,694"
"10007806","The University of Sussex","1","92","95.380","63.791","7.670","314,981.019","1,462","2,155"
"10007855","Swansea University","4","101","66.547","38.435","5.182","255,212.250","1,630","1,020"
"10007161","Teesside University","3","96","40.961","18.240","22.721","167,206.930","1,473","454"
"10008017","Trinity Laban Conservatoire of Music and Dance","3","4","1.600","0.380","0.000","18,836.600","87","32"
"10007858","University of Wales Trinity Saint David","13","117","38.020","20.700","2.970","143,458.985","1,362","184"
"10007807","Ulster University","6","79","202.229","80.000","30.670","255,763.090","4,936","377"
"10007784","University College London","","244","69.000","4.200","36.000","677,158.770","","2,457"
"10007793","University of South Wales","9","91","49.730","49.730","16.000","184,072.540","2,568","213"
"10007163","The University of Warwick","4","434","237.710","169.700","35.600","584,629.880","6,640","3,610"
"10007164","University of the West of England, Bristol","6","263","74.441","58.596","2.757","308,304.270","3,290","1,279"
"10007800","The University of the West of Scotland","6","59","45.317","21.055","3.791","128,140.710","1,484","321"
"10006566","The University of West London","7","12","8.381","2.015","0.000","54,681.270","128","192"
"10007165","The University of Westminster","11","39","27.000","11.700","10.000","163,970.900","508","351"
"10003614","The University of Winchester","3","62","13.000","8.000","4.000","77,807.000","491","247"
"10007139","University of Worcester","10","74","70.140","30.940","21.820","87,697.980","1,117","815"
"10007833","Wrexham University","7","29","54.550","26.110","2.000","58,593.000","1,340","72"
"10007713","York St John University","9","60","35.280","25.804","6.250","71,057.945","317","782"
"10007167","The University of York","3","436","216.412","183.403","14.521","384,456.513","1,962","5,555"
