﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","Female","Male","Unknown","Total"
"10004063","London School of Economics and Political Science","6,335","5,505","10","11,850"
"10007771","London School of Hygiene and Tropical Medicine","785","385","0","1,170"
"10022285","London School of Management Education","235","145","0","380"
"10004075","London School of Theology","150","165","0","315"
"10004079","London Studio Centre","295","35","0","330"
"10062810","The London School of Architecture","30","45","0","75"
"10008289","The London Institute of Banking & Finance","70","155","0","225"
"10004035","The Film Education Training Trust Limited","10","20","0","35"
"10004113","Loughborough University","7,385","10,640","0","18,025"
"10009612","Luther King House Educational Trust","65","45","0","110"
"10004180","The Manchester Metropolitan University","19,465","13,580","5","33,050"
"10007798","The University of Manchester","21,920","18,330","0","40,250"
"10009527","Istituto Marangoni Limited","735","85","0","825"
"10023452","The Markfield Institute of Higher Education","25","65","0","90"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","65","15","0","80"
"10020416","Missio Dei","35","50","5","85"
"10030776","St Mellitus College","285","270","0","555"
"10004320","The Metanoia Institute","290","60","0","355"
"10004351","Middlesex University","11,660","7,975","0","19,635"
"10004365","Millennium Performing Arts Ltd","70","5","25","100"
"10032277","The Minster Centre","110","25","0","140"
"10004450","Mountview Academy of Theatre Arts","210","180","0","390"
"10023777","Mont Rose College of Management and Sciences","640","370","0","1,010"
"10023454","Moorlands College","120","155","0","275"
"10000216","All Nations Christian College","35","25","5","65"
"10004538","Nazarene Theological College","80","85","0","165"
"10030129","Nelson College London Ltd","545","480","0","1,025"
"10023456","Newbold College","15","55","35","105"
"10007799","Newcastle University","14,005","13,185","20","27,215"
"10045289","St Nicholas Montessori Training Limited","45","0","0","50"
"10048199","Northeastern University London","105","90","0","195"
"10008397","Norland College","275","5","0","280"
"10007138","The University of Northampton","7,770","4,315","0","12,085"
"10009614","Grŵp NPTC Group","30","135","0","165"
"10004740","Northern College of Acupuncture","130","25","0","155"
"10001282","University of Northumbria at Newcastle","14,535","11,905","10","26,450"
"10004775","Norwich University of the Arts","1,425","865","15","2,305"
"10007154","University of Nottingham","18,265","15,270","10","33,540"
"10004797","The Nottingham Trent University","18,670","14,550","40","33,255"
"10010227","Oak Hill College","20","110","0","130"
"10007773","The Open University","75,200","47,155","0","122,360"
"10023445","ICOM","40","10","0","50"
"10004930","Oxford Brookes University","10,000","6,660","5","16,665"
"10020439","Oxford Business College","15","30","35","75"
"10007774","The University of Oxford","12,290","13,080","15","25,390"
"10006243","St Patrick's International College","1,825","1,020","0","2,850"
"10005127","Arts University Plymouth","965","415","0","1,380"
"10007801","University of Plymouth","11,360","8,280","5","19,645"
"10019178","Point Blank Music School","35","375","0","410"
"10007155","The University of Portsmouth","11,720","13,795","0","25,515"
"10005337","Queen Margaret University, Edinburgh","3,990","1,230","10","5,225"
"10007775","Queen Mary University of London","11,220","9,335","5","20,560"
"10005544","Royal Academy of Dance","135","0","0","140"
"10005389","Ravensbourne University London","1,225","1,295","5","2,530"
"10005470","Richmond, The American International University in London","495","415","0","910"
"10007802","The University of Reading","9,960","7,835","10","17,805"
"10003331","Regent's University London","1,280","990","0","2,270"
"10021100","Regents Theological College","90","135","0","225"
"10008455","Regent College London","570","455","0","1,025"
"10005500","Robert Gordon University","7,600","4,735","5","12,335"
"10007776","Roehampton University","8,080","4,580","5","12,665"
"10005523","Rose Bruford College of Theatre and Performance","440","295","0","735"
"10007835","Royal Academy of Music","435","445","0","880"
"10005545","Royal Agricultural University","575","570","5","1,150"
"10007777","Royal College of Art","1,590","800","10","2,400"
"10007778","Royal College of Music","415","410","0","825"
"10005561","Royal Conservatoire of Scotland","735","540","5","1,280"
"10007816","The Royal Central School of Speech and Drama","715","335","5","1,055"
"10005553","Royal Holloway and Bedford New College","6,335","4,705","0","11,040"
"10007837","Royal Northern College of Music","430","450","0","880"
"10007779","The Royal Veterinary College","1,985","535","0","2,525"
"10007803","The University of St. Andrews","6,210","4,355","5","10,570"
"10007839","SAE Education Limited","150","525","0","675"
"10007782","St George's, University of London","3,060","1,625","5","4,690"
"10008026","St Mary's University College","755","290","0","1,045"
"10007843","St Mary's University, Twickenham","2,745","2,325","0","5,075"
"10007156","The University of Salford","11,325","9,455","35","20,815"
"10021256","The Salvation Army","25","15","0","35"
"10008362","London School of Science and Technology Limited","775","695","0","1,465"
"10007780","SOAS University of London","3,850","1,950","0","5,800"
"10005700","SRUC","920","835","5","1,760"
"10005790","Sheffield Hallam University","16,895","13,820","0","30,715"
"10007157","The University of Sheffield","16,000","14,190","5","30,195"
"10023458","The Sherwood Psychotherapy Training Institute Limited","180","45","0","230"
"10005916","Slough Borough Council","80","5","0","85"
"10006022","Solent University","4,390","5,520","0","9,910"
"10007158","The University of Southampton","12,090","10,625","0","22,715"
"10006093","Spurgeon's College","140","235","0","375"
"10006299","Staffordshire University","7,275","7,580","0","14,855"
"10007804","The University of Stirling","8,020","4,480","10","12,510"
"10037449","University of St Mark and St John","1,455","1,315","0","2,770"
"10008010","Stranmillis University College","1,260","275","0","1,535"
"10007805","The University of Strathclyde","11,690","10,885","70","22,640"
"10014001","University of Suffolk","4,685","3,005","0","7,695"
"10007159","The University of Sunderland","8,850","5,845","10","14,705"
"10007160","The University of Surrey","9,150","7,660","5","16,815"
"10007806","The University of Sussex","10,610","8,535","10","19,155"
"10007855","Swansea University","9,750","10,870","0","20,620"
"10007161","Teesside University","10,375","8,280","15","18,665"
"10037822","Tottenham Hotspur Foundation","0","30","0","30"
"10008017","Trinity Laban Conservatoire of Music and Dance","790","400","0","1,195"
"10007858","University of Wales Trinity Saint David","6,310","4,810","10","11,135"
"10007114","University of the Highlands and Islands","5,775","3,730","25","9,525"
"10007807","Ulster University","14,035","10,495","0","24,530"
"10039956","The University of Law","6,080","3,025","10","9,115"
"10007784","University College London","24,285","16,735","5","41,025"
"10007793","University of South Wales","12,575","9,695","55","22,330"
"10008574","The University of Wales (central functions)","0","0","0","0"
"10029843","Waltham International College Limited","30","15","0","45"
"10007163","The University of Warwick","13,195","12,805","80","26,080"
"10007361","Waverley Abbey College","145","25","0","170"
"10007164","University of the West of England, Bristol","16,440","13,115","0","29,555"
"10007800","The University of the West of Scotland","10,825","6,180","20","17,025"
"10032288","West Dean College","45","30","0","80"
"10006566","The University of West London","6,800","4,220","40","11,055"
"10007165","The University of Westminster","11,245","7,635","0","18,885"
"10003614","The University of Winchester","5,170","2,580","20","7,770"
"10023290","West London College of Business and Management Sciences Limited","110","70","0","180"
"10007166","The University of Wolverhampton","11,960","6,960","5","18,925"
"10007139","University of Worcester","7,030","3,050","0","10,075"
"10007833","Wrexham University","3,470","2,415","10","5,895"
"10007657","Writtle University College","590","160","0","750"
"10007713","York St John University","4,395","2,220","5","6,620"
"10007167","The University of York","10,975","8,480","15","19,470"
"","Total","1,403,005","1,051,160","3,085","2,457,250"
