﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2019/20 
Search:,


"UKPRN","HE provider","Wholly general financed by the provider","All other sources of finance","Total academic staff"
"10007798","The University of Manchester","2,945","2,210","5,150"
"10030776","St Mellitus College","40","0","40"
"10004320","The Metanoia Institute","75","0","75"
"10004351","Middlesex University","970","20","990"
"10023777","Mont Rose College of Management and Sciences","30","0","30"
"10023454","Moorlands College","10","0","10"
"10004538","Nazarene Theological College","15","5","20"
"10030129","Nelson College London Ltd","5","0","5"
"10007799","Newcastle University","2,990","125","3,115"
"10048199","Northeastern University London","65","0","65"
"10007138","The University of Northampton","835","0","835"
"10001282","University of Northumbria at Newcastle","1,500","55","1,555"
"10004775","Norwich University of the Arts","215","0","215"
"10007154","University of Nottingham","2,505","1,100","3,605"
"10004797","The Nottingham Trent University","2,220","115","2,340"
"10007773","The Open University","4,935","135","5,070"
"10004930","Oxford Brookes University","1,410","45","1,455"
"10007774","The University of Oxford","2,190","4,800","6,995"
"10005127","Arts University Plymouth","135","0","135"
"10007801","University of Plymouth","1,200","170","1,370"
"10007155","The University of Portsmouth","1,735","0","1,735"
"10005337","Queen Margaret University, Edinburgh","255","0","255"
"10007775","Queen Mary University of London","2,535","855","3,390"
"10009292","Royal Academy of Dramatic Art","70","0","70"
"10005389","Ravensbourne University London","230","0","235"
"10007802","The University of Reading","1,540","355","1,895"
"10005500","Robert Gordon University","590","0","590"
"10007776","Roehampton University","555","0","555"
"10005523","Rose Bruford College of Theatre and Performance","85","0","85"
"10007835","Royal Academy of Music","300","0","300"
"10005545","Royal Agricultural University","55","0","55"
"10007777","Royal College of Art","180","0","180"
"10007778","Royal College of Music","290","10","295"
"10005561","Royal Conservatoire of Scotland","330","0","330"
"10007816","The Royal Central School of Speech and Drama","75","5","85"
"10005553","Royal Holloway and Bedford New College","1,005","145","1,150"
"10007837","Royal Northern College of Music","325","0","325"
"10007779","The Royal Veterinary College","260","55","315"
"10007803","The University of St. Andrews","1,230","0","1,230"
"10007839","SAE Education Limited","45","0","45"
"10007782","St George's, University of London","260","235","495"
"10008026","St Mary's University College","60","0","65"
"10007843","St Mary's University, Twickenham","410","0","410"
"10007156","The University of Salford","1,090","0","1,090"
"10007780","SOAS University of London","605","30","635"
"10005700","SRUC","410","0","410"
"10005790","Sheffield Hallam University","1,925","165","2,085"
"10007157","The University of Sheffield","1,890","1,760","3,650"
"10006022","Solent University","635","0","635"
"10007158","The University of Southampton","1,615","1,100","2,715"
"10006093","Spurgeon's College","15","0","20"
"10006299","Staffordshire University","850","5","855"
"10007804","The University of Stirling","705","300","1,005"
"10037449","University of St Mark and St John","120","0","120"
"10008010","Stranmillis University College","55","0","55"
"10007805","The University of Strathclyde","1,500","270","1,770"
"10014001","University of Suffolk","215","25","235"
"10007159","The University of Sunderland","975","70","1,045"
"10007160","The University of Surrey","1,175","315","1,490"
"10007806","The University of Sussex","1,700","310","2,010"
"10007855","Swansea University","1,260","470","1,730"
"10007161","Teesside University","670","75","745"
"10008017","Trinity Laban Conservatoire of Music and Dance","425","0","425"
"10007858","University of Wales Trinity Saint David","710","20","730"
"10007114","University of the Highlands and Islands","65","40","105"
"10007807","Ulster University","1,295","50","1,345"
"10039956","The University of Law","330","0","330"
"10007784","University College London","4,535","3,430","7,965"
"10007793","University of South Wales","1,640","75","1,720"
"10008574","The University of Wales (central functions)","10","5","15"
"10007163","The University of Warwick","2,065","1,100","3,160"
"10007164","University of the West of England, Bristol","1,820","155","1,975"
"10007800","The University of the West of Scotland","580","10","590"
"10006566","The University of West London","1,030","30","1,060"
"10007165","The University of Westminster","1,790","5","1,790"
"10003614","The University of Winchester","675","10","685"
"10007166","The University of Wolverhampton","960","5","965"
"10007139","University of Worcester","985","0","985"
"10007833","Wrexham University","195","5","195"
"10007657","Writtle University College","110","0","110"
"10007713","York St John University","390","0","390"
"10007167","The University of York","1,420","610","2,030"
"","Total","174,265","49,260","223,525"
