﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","Wholly general financed by the provider","All other sources of finance","Total academic staff"
"10008640","Falmouth University","395","35","430"
"10004511","The National Film and Television School","70","5","75"
"10022087","Futureworks","20","0","20"
"10007762","Glasgow Caledonian University","745","65","810"
"10002681","Glasgow School of Art","245","0","245"
"10007794","The University of Glasgow","4,135","1,450","5,585"
"10007145","University of Gloucestershire","695","0","695"
"10002718","Goldsmiths College","1,170","0","1,170"
"10007146","The University of Greenwich","1,150","5","1,155"
"10007825","Guildhall School of Music and Drama","805","0","805"
"10040812","Harper Adams University","235","0","235"
"10080811","Hartpury University","180","0","180"
"10007764","Heriot-Watt University","860","70","925"
"10007147","University of Hertfordshire","2,040","155","2,195"
"10007148","The University of Huddersfield","945","0","945"
"10007149","The University of Hull","790","180","970"
"10003239","ICON College of Technology and Management","25","0","25"
"10003270","Imperial College of Science, Technology and Medicine","1,710","2,685","4,395"
"10013220","Institute of Art - London Limited","20","0","20"
"10035638","Institute of Contemporary Music Performance","15","0","15"
"10082570","Kaplan International Colleges U.K. Limited","380","0","380"
"10021682","Kaplan Open Learning (Essex) Limited","30","0","30"
"10007767","Keele University","695","180","875"
"10007150","The University of Kent","1,190","175","1,365"
"10003645","King's College London","4,205","1,990","6,195"
"10003678","Kingston University","910","55","965"
"10003758","LAMDA Limited","60","0","60"
"10007768","The University of Lancaster","1,785","465","2,250"
"10003854","Leeds Arts University","170","0","170"
"10003861","Leeds Beckett University","1,320","145","1,460"
"10034449","Leeds Conservatoire","190","0","190"
"10007795","The University of Leeds","3,025","850","3,875"
"10003863","Leeds Trinity University","235","0","235"
"10082828","College of Legal Practice Limited","5","0","5"
"10007796","The University of Leicester","1,285","560","1,840"
"10089591","LIBF Limited","45","0","45"
"10007151","The University of Lincoln","1,450","105","1,555"
"10036456","Academy of Live Technology Ltd","10","0","10"
"10003956","Liverpool Hope University","325","0","325"
"10003957","Liverpool John Moores University","1,685","75","1,765"
"10003945","The Liverpool Institute for Performing Arts","100","0","100"
"10006842","The University of Liverpool","2,040","1,125","3,160"
"10003958","Liverpool School of Tropical Medicine","55","195","250"
"10007162","University of the Arts, London","2,740","0","2,740"
"10007769","London Business School","105","0","110"
"10007797","University of London (Institutes and activities)","70","25","90"
"10004036","London Film School Limited","45","0","45"
"10004048","London Metropolitan University","495","0","500"
"10004078","London South Bank University","1,305","0","1,305"
"10004063","London School of Economics and Political Science","1,910","0","1,910"
"10007771","London School of Hygiene and Tropical Medicine","210","895","1,105"
"10022285","London School of Management Education","20","0","20"
"10004075","London School of Theology","25","0","25"
"10062810","The London School of Architecture","5","0","5"
"10067623","The London Interdisciplinary School Ltd","20","0","20"
"10004113","Loughborough University","1,390","285","1,675"
"10009612","Luther King House Educational Trust","5","0","5"
"10004180","The Manchester Metropolitan University","2,040","460","2,500"
"10007798","The University of Manchester","3,195","2,190","5,385"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","0","0"
"10020416","Missio Dei","0","5","5"
"10030776","St Mellitus College","30","0","30"
"10004320","The Metanoia Institute","85","0","85"
"10004351","Middlesex University","860","10","870"
"10023777","Mont Rose College of Management and Sciences","40","0","40"
"10023454","Moorlands College","20","0","20"
"10001444","National Centre for Circus Arts","35","0","35"
"10004538","Nazarene Theological College","15","5","20"
"10030129","Nelson College London Ltd","10","0","10"
"10007799","Newcastle University","3,025","70","3,095"
"10067406","New Model Institute for Technology and Engineering (NMITE)","10","5","15"
"10048199","Northeastern University London","120","0","120"
"10007138","The University of Northampton","950","0","950"
"10008816","Northern School of Contemporary Dance","25","0","25"
"10001282","University of Northumbria at Newcastle","1,590","170","1,765"
"10004775","Norwich University of the Arts","240","0","240"
"10007154","University of Nottingham","2,600","1,015","3,615"
"10004797","The Nottingham Trent University","2,600","80","2,680"
"10007773","The Open University","5,650","105","5,755"
"10004930","Oxford Brookes University","1,545","60","1,605"
"10007774","The University of Oxford","2,130","4,920","7,050"
"10004028","The Place, London Contemporary Dance School (LCDS)","30","0","30"
"10005127","Arts University Plymouth","120","0","120"
"10007801","University of Plymouth","1,560","160","1,720"
"10019178","Point Blank Music School","95","0","95"
"10007155","The University of Portsmouth","1,750","0","1,750"
"10005337","Queen Margaret University, Edinburgh","315","0","315"
"10007775","Queen Mary University of London","2,625","905","3,530"
"10009292","Royal Academy of Dramatic Art","70","0","70"
"10005378","Rambert School","15","0","15"
"10005389","Ravensbourne University London","250","0","250"
"10007802","The University of Reading","1,310","300","1,610"
"10008455","Regent College London","200","0","200"
"10005500","Robert Gordon University","680","0","680"
"10007776","Roehampton University","415","0","415"
"10005523","Rose Bruford College of Theatre and Performance","105","0","105"
"10007835","Royal Academy of Music","310","10","320"
"10005545","Royal Agricultural University","45","0","45"
"10007777","Royal College of Art","425","0","425"
"10007778","Royal College of Music","300","5","305"
"10005561","Royal Conservatoire of Scotland","355","0","355"
"10007816","The Royal Central School of Speech and Drama","80","5","85"
"10005553","Royal Holloway and Bedford New College","1,115","120","1,235"
"10007837","Royal Northern College of Music","320","0","320"
"10007779","The Royal Veterinary College","265","30","295"
"10007803","The University of St. Andrews","1,090","245","1,335"
"10007839","SAE Education Limited","55","0","55"
"10007782","St George's, University of London","290","160","450"
"10008026","St Mary's University College","60","0","60"
"10007843","St Mary's University, Twickenham","440","0","440"
"10007156","The University of Salford","1,175","0","1,175"
"10007780","SOAS University of London","595","10","605"
"10005700","SRUC","505","0","505"
"10005790","Sheffield Hallam University","1,935","205","2,135"
"10007157","The University of Sheffield","1,920","1,780","3,700"
"10006022","Solent University","555","0","555"
"10007158","The University of Southampton","1,775","870","2,645"
"10088214","S P Jain London School of Management Limited","0","0","0"
"10006093","Spurgeon's College","20","0","20"
"10006299","Staffordshire University","1,030","0","1,030"
"10007804","The University of Stirling","690","335","1,020"
"10037449","University of St Mark and St John","135","0","135"
"10008010","Stranmillis University College","65","0","65"
"10007805","The University of Strathclyde","1,395","615","2,010"
"10014001","University of Suffolk","250","30","280"
"10007159","The University of Sunderland","1,305","75","1,380"
"10007160","The University of Surrey","1,320","305","1,625"
"10007806","The University of Sussex","2,010","10","2,020"
"10007855","Swansea University","1,280","480","1,760"
"10083403","The Engineering and Design Institute London","15","0","15"
"10007161","Teesside University","895","115","1,010"
"10082743","ThinkSpace Education Limited","10","0","10"
"10008017","Trinity Laban Conservatoire of Music and Dance","425","0","425"
"10007858","University of Wales Trinity Saint David","845","25","870"
"10067648","University Academy 92 Limited","30","0","30"
"10007114","University of the Highlands and Islands","75","20","95"
"10007807","Ulster University","1,035","305","1,340"
"10039956","The University of Law","580","0","580"
"10007784","University College London","6,610","3,300","9,910"
"10007793","University of South Wales","1,680","130","1,810"
"10029843","Waltham International College Limited","35","5","40"
"10007163","The University of Warwick","2,460","1,035","3,500"
"10007361","Waverley Abbey College","20","0","20"
"10007164","University of the West of England, Bristol","2,350","120","2,465"
"10007800","The University of the West of Scotland","740","5","745"
"10006566","The University of West London","1,165","20","1,185"
"10007165","The University of Westminster","1,980","0","1,980"
"10003614","The University of Winchester","745","15","760"
"10007166","The University of Wolverhampton","870","0","875"
"10007139","University of Worcester","745","0","745"
"10007833","Wrexham University","225","0","230"
"10007657","Writtle University College","115","0","115"
"10007713","York St John University","445","0","445"
"10007167","The University of York","1,895","715","2,615"
"","Total","191,795","48,625","240,420"
