﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","Wholly general financed by the provider","All other sources of finance","Total academic staff"
"10001883","De Montfort University","1,650","0","1,650"
"10007851","University of Derby","520","875","1,400"
"10007852","The University of Dundee","875","595","1,465"
"10007143","University of Durham","1,785","395","2,175"
"10007789","The University of East Anglia","1,435","400","1,840"
"10007144","The University of East London","800","20","815"
"10032282","The Queen's Foundation for Ecumenical Theological Education","10","0","10"
"10007823","Edge Hill University","905","0","905"
"10007772","Edinburgh Napier University","785","0","785"
"10007790","The University of Edinburgh","4,835","2,895","7,730"
"10042570","Escape Studios","35","0","35"
"10007791","The University of Essex","1,275","145","1,415"
"10008173","University College of Estate Management","100","0","100"
"10007792","The University of Exeter","2,540","810","3,350"
"10008640","Falmouth University","315","30","345"
"10004511","The National Film and Television School","60","5","70"
"10022087","Futureworks","25","0","25"
"10007762","Glasgow Caledonian University","675","80","755"
"10002681","Glasgow School of Art","220","0","220"
"10007794","The University of Glasgow","3,585","1,320","4,905"
"10007145","University of Gloucestershire","625","0","625"
"10002718","Goldsmiths College","1,105","5","1,110"
"10007146","The University of Greenwich","965","5","970"
"10007825","Guildhall School of Music and Drama","785","0","785"
"10040812","Harper Adams University","230","0","230"
"10080811","Hartpury University","145","0","145"
"10007764","Heriot-Watt University","830","125","950"
"10007147","University of Hertfordshire","1,820","145","1,960"
"10007148","The University of Huddersfield","925","0","925"
"10007149","The University of Hull","880","45","925"
"10003239","ICON College of Technology and Management","15","0","15"
"10003270","Imperial College of Science, Technology and Medicine","1,685","2,845","4,530"
"10013220","Institute of Art - London Limited","20","0","20"
"10035638","Institute of Contemporary Music Performance","20","0","20"
"10082570","Kaplan International Colleges U.K. Limited","350","0","350"
"10021682","Kaplan Open Learning (Essex) Limited","20","0","20"
"10007767","Keele University","615","200","820"
"10007150","The University of Kent","1,320","160","1,475"
"10003645","King's College London","3,275","1,740","5,015"
"10003678","Kingston University","805","150","955"
"10003758","LAMDA Limited","55","0","55"
"10007768","The University of Lancaster","1,665","440","2,100"
"10003854","Leeds Arts University","185","0","185"
"10003861","Leeds Beckett University","1,035","130","1,170"
"10034449","Leeds Conservatoire","235","0","235"
"10007795","The University of Leeds","2,970","800","3,770"
"10003863","Leeds Trinity University","180","0","180"
"10007796","The University of Leicester","1,140","565","1,705"
"10007151","The University of Lincoln","1,340","75","1,415"
"10036456","Academy of Live Technology Ltd","10","0","10"
"10003956","Liverpool Hope University","280","5","285"
"10003957","Liverpool John Moores University","1,515","125","1,640"
"10003945","The Liverpool Institute for Performing Arts","95","0","95"
"10006842","The University of Liverpool","1,940","1,145","3,085"
"10003958","Liverpool School of Tropical Medicine","55","180","235"
"10007162","University of the Arts, London","2,315","0","2,315"
"10007769","London Business School","110","0","115"
"10007797","University of London (Institutes and activities)","70","30","95"
"10004036","London Film School Limited","35","0","35"
"10004048","London Metropolitan University","465","0","465"
"10004078","London South Bank University","1,160","0","1,160"
"10004063","London School of Economics and Political Science","1,780","0","1,780"
"10007771","London School of Hygiene and Tropical Medicine","200","855","1,055"
"10022285","London School of Management Education","15","0","15"
"10004075","London School of Theology","25","0","25"
"10062810","The London School of Architecture","5","0","5"
"10008289","The London Institute of Banking & Finance","15","0","15"
"10067623","The London Interdisciplinary School Ltd","10","0","10"
"10004113","Loughborough University","1,300","295","1,595"
"10009612","Luther King House Educational Trust","5","0","5"
"10004180","The Manchester Metropolitan University","1,870","475","2,345"
"10007798","The University of Manchester","2,875","2,185","5,060"
"10030776","St Mellitus College","40","0","40"
"10004320","The Metanoia Institute","80","0","80"
"10004351","Middlesex University","960","15","980"
"10023777","Mont Rose College of Management and Sciences","30","0","30"
"10023454","Moorlands College","30","0","30"
"10004538","Nazarene Theological College","15","5","15"
"10030129","Nelson College London Ltd","5","0","5"
"10007799","Newcastle University","2,910","100","3,010"
"10067406","New Model Institute for Technology and Engineering (NMITE)","10","0","10"
"10048199","Northeastern University London","65","0","65"
"10007138","The University of Northampton","765","0","765"
"10001282","University of Northumbria at Newcastle","1,620","75","1,695"
"10004775","Norwich University of the Arts","225","0","225"
"10007154","University of Nottingham","2,400","1,095","3,495"
"10004797","The Nottingham Trent University","2,300","115","2,415"
"10007773","The Open University","4,980","125","5,105"
"10004930","Oxford Brookes University","1,425","60","1,480"
"10007774","The University of Oxford","2,160","4,820","6,980"
"10005127","Arts University Plymouth","130","0","130"
"10007801","University of Plymouth","1,380","180","1,560"
"10019178","Point Blank Music School","50","0","50"
"10007155","The University of Portsmouth","1,730","0","1,730"
"10005337","Queen Margaret University, Edinburgh","260","0","260"
"10007775","Queen Mary University of London","2,205","925","3,130"
"10009292","Royal Academy of Dramatic Art","75","0","75"
"10005389","Ravensbourne University London","255","0","255"
"10007802","The University of Reading","1,420","370","1,785"
"10008455","Regent College London","60","0","60"
"10005500","Robert Gordon University","585","0","585"
"10007776","Roehampton University","490","0","490"
"10005523","Rose Bruford College of Theatre and Performance","95","0","95"
"10007835","Royal Academy of Music","310","0","310"
"10005545","Royal Agricultural University","60","0","60"
"10007777","Royal College of Art","190","0","190"
"10007778","Royal College of Music","295","5","300"
"10005561","Royal Conservatoire of Scotland","315","0","315"
"10007816","The Royal Central School of Speech and Drama","75","10","85"
"10005553","Royal Holloway and Bedford New College","940","130","1,070"
"10007837","Royal Northern College of Music","325","0","325"
"10007779","The Royal Veterinary College","275","40","315"
"10007803","The University of St. Andrews","1,320","0","1,325"
"10007839","SAE Education Limited","50","0","50"
"10007782","St George's, University of London","260","245","505"
"10008026","St Mary's University College","60","0","65"
"10007843","St Mary's University, Twickenham","440","0","440"
"10007156","The University of Salford","1,090","0","1,090"
"10007780","SOAS University of London","480","20","500"
"10005700","SRUC","430","0","430"
"10005790","Sheffield Hallam University","1,865","160","2,025"
"10007157","The University of Sheffield","1,750","1,770","3,520"
"10006022","Solent University","600","0","600"
"10007158","The University of Southampton","1,585","1,065","2,645"
"10006093","Spurgeon's College","15","0","15"
"10006299","Staffordshire University","890","5","895"
"10007804","The University of Stirling","525","340","865"
"10037449","University of St Mark and St John","115","0","115"
"10008010","Stranmillis University College","60","0","60"
"10007805","The University of Strathclyde","1,705","165","1,865"
"10014001","University of Suffolk","240","10","250"
"10007159","The University of Sunderland","945","40","985"
"10007160","The University of Surrey","1,190","385","1,575"
"10007806","The University of Sussex","2,145","25","2,170"
"10007855","Swansea University","1,180","490","1,665"
"10083403","The Engineering and Design Institute London","0","0","0"
"10007161","Teesside University","735","95","830"
"10082743","ThinkSpace Education Limited","5","0","5"
"10008017","Trinity Laban Conservatoire of Music and Dance","430","0","430"
"10007858","University of Wales Trinity Saint David","680","20","700"
"10067648","University Academy 92 Limited","10","0","10"
"10007114","University of the Highlands and Islands","65","35","95"
"10007807","Ulster University","1,335","105","1,440"
"10039956","The University of Law","390","0","390"
"10007784","University College London","5,595","3,505","9,100"
"10007793","University of South Wales","1,580","85","1,665"
"10007163","The University of Warwick","1,920","1,080","3,005"
"10007361","Waverley Abbey College","15","0","15"
"10007164","University of the West of England, Bristol","1,890","155","2,050"
"10007800","The University of the West of Scotland","620","10","630"
"10006566","The University of West London","1,115","25","1,140"
"10007165","The University of Westminster","1,785","0","1,785"
"10003614","The University of Winchester","645","10","650"
"10007166","The University of Wolverhampton","1,005","5","1,005"
"10007139","University of Worcester","715","0","715"
"10007833","Wrexham University","195","0","195"
"10007657","Writtle University College","110","0","110"
"10007713","York St John University","395","0","395"
"10007167","The University of York","1,390","675","2,070"
"","Total","174,940","49,590","224,530"
