﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2021/22 
Search:,


"UKPRN","HE provider","Female","Male","Other","Total academic staff"
"10001143","Canterbury Christ Church University","455","290","0","745"
"10007814","Cardiff University","1,610","1,785","0","3,400"
"10007854","Cardiff Metropolitan University","405","365","0","770"
"10007141","The University of Central Lancashire","905","800","0","1,710"
"10024024","Central Film School London","0","5","0","5"
"10007848","University of Chester","370","275","5","645"
"10007137","The University of Chichester","265","245","0","510"
"10001386","Chicken Shed Theatre Company","15","15","0","25"
"10001478","City, University of London","845","905","0","1,750"
"10007912","Cliff College","0","10","0","10"
"10066502","The College of Health Ltd","5","0","0","5"
"10001653","Conservatoire for Dance and Drama","75","60","0","130"
"10007761","Courtauld Institute of Art","55","25","0","80"
"10034324","Court Theatre Training Company Ltd","5","10","0","10"
"10001726","Coventry University","1,435","1,450","5","2,890"
"10007822","Cranfield University","175","555","0","730"
"10006427","University for the Creative Arts","220","220","5","440"
"10007842","University of Cumbria","310","210","0","520"
"10001883","De Montfort University","850","785","0","1,635"
"10007851","University of Derby","760","645","5","1,410"
"10007852","The University of Dundee","710","735","0","1,445"
"10007143","University of Durham","990","1,320","0","2,310"
"10007789","The University of East Anglia","990","990","0","1,980"
"10007144","The University of East London","485","440","0","930"
"10032282","The Queen's Foundation for Ecumenical Theological Education","10","5","0","15"
"10007823","Edge Hill University","580","365","0","945"
"10007772","Edinburgh Napier University","420","470","5","890"
"10007790","The University of Edinburgh","3,585","4,085","55","7,725"
"10042570","Escape Studios","10","25","0","40"
"10007791","The University of Essex","700","800","0","1,500"
"10008173","University College of Estate Management","50","55","0","105"
"10007792","The University of Exeter","1,745","1,835","5","3,585"
"10008640","Falmouth University","170","205","0","380"
"10004511","The National Film and Television School","40","30","0","70"
"10022087","Futureworks","0","20","0","25"
"10007762","Glasgow Caledonian University","440","350","0","790"
"10002681","Glasgow School of Art","110","110","0","225"
"10007794","The University of Glasgow","2,435","2,820","0","5,255"
"10007145","University of Gloucestershire","340","335","0","675"
"10002718","Goldsmiths College","655","510","5","1,170"
"10007146","The University of Greenwich","475","485","0","955"
"10007825","Guildhall School of Music and Drama","345","475","0","820"
"10040812","Harper Adams University","130","100","0","230"
"10080811","Hartpury University","105","70","0","175"
"10007764","Heriot-Watt University","280","585","0","865"
"10007147","University of Hertfordshire","1,095","950","0","2,045"
"10007148","The University of Huddersfield","420","505","10","935"
"10007149","The University of Hull","425","485","0","910"
"10003239","ICON College of Technology and Management","5","15","0","25"
"10003270","Imperial College of Science, Technology and Medicine","1,540","2,890","10","4,440"
"10013220","Institute of Art - London Limited","10","10","0","20"
"10035638","Institute of Contemporary Music Performance","5","15","0","20"
"10082570","Kaplan International Colleges U.K. Limited","225","185","0","410"
"10021682","Kaplan Open Learning (Essex) Limited","20","5","0","25"
"10007767","Keele University","460","380","5","840"
"10007150","The University of Kent","680","750","5","1,435"
"10003645","King's College London","3,020","2,700","0","5,715"
"10003678","Kingston University","490","460","5","955"
"10003758","LAMDA Limited","30","20","5","55"
"10007768","The University of Lancaster","1,005","1,235","0","2,240"
"10003854","Leeds Arts University","90","80","0","170"
"10003861","Leeds Beckett University","725","715","0","1,440"
"10034449","Leeds Conservatoire","75","175","0","250"
"10007795","The University of Leeds","1,660","2,080","15","3,760"
"10003863","Leeds Trinity University","110","95","0","205"
"10082828","College of Legal Practice Limited","5","0","0","5"
"10007796","The University of Leicester","760","890","5","1,655"
"10007151","The University of Lincoln","640","765","0","1,405"
"10036456","Academy of Live Technology Ltd","5","5","0","15"
"10003956","Liverpool Hope University","185","150","0","335"
"10003957","Liverpool John Moores University","795","890","0","1,690"
"10003945","The Liverpool Institute for Performing Arts","40","60","0","100"
"10006842","The University of Liverpool","1,370","1,735","0","3,110"
"10003958","Liverpool School of Tropical Medicine","140","110","0","250"
"10007162","University of the Arts, London","2,160","1,510","0","3,670"
"10007769","London Business School","30","80","0","110"
"10007797","University of London (Institutes and activities)","40","35","0","75"
"10004036","London Film School Limited","20","20","0","40"
"10004048","London Metropolitan University","220","250","0","470"
"10004078","London South Bank University","620","570","5","1,195"
"10004063","London School of Economics and Political Science","825","1,005","0","1,830"
"10007771","London School of Hygiene and Tropical Medicine","630","455","0","1,090"
"10022285","London School of Management Education","5","10","0","15"
"10004075","London School of Theology","10","15","0","25"
"10062810","The London School of Architecture","0","5","0","5"
"10008289","The London Institute of Banking & Finance","5","25","0","30"
"10067623","The London Interdisciplinary School Ltd","5","5","0","10"
"10004113","Loughborough University","585","1,005","0","1,590"
"10009612","Luther King House Educational Trust","0","0","0","5"
"10004180","The Manchester Metropolitan University","1,225","1,095","0","2,320"
"10007798","The University of Manchester","2,315","2,965","0","5,280"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","0","0","0"
"10030776","St Mellitus College","15","20","0","35"
"10004320","The Metanoia Institute","70","25","0","95"
"10004351","Middlesex University","490","445","0","935"
"10023777","Mont Rose College of Management and Sciences","15","25","0","40"
"10023454","Moorlands College","10","20","0","25"
"10004538","Nazarene Theological College","5","15","0","20"
"10030129","Nelson College London Ltd","5","5","0","10"
"10007799","Newcastle University","1,420","1,610","0","3,030"
"10067406","New Model Institute for Technology and Engineering (NMITE)","5","10","0","15"
"10048199","Northeastern University London","40","50","0","90"
"10007138","The University of Northampton","465","395","0","860"
"10001282","University of Northumbria at Newcastle","795","930","0","1,720"
"10004775","Norwich University of the Arts","125","115","0","240"
"10007154","University of Nottingham","1,515","2,015","10","3,540"
"10004797","The Nottingham Trent University","1,270","1,335","5","2,610"
"10007773","The Open University","3,400","2,400","0","5,800"
"10004930","Oxford Brookes University","875","695","0","1,570"
"10007774","The University of Oxford","2,940","4,000","10","6,945"
"10005127","Arts University Plymouth","65","55","0","120"
"10007801","University of Plymouth","860","770","5","1,635"
"10019178","Point Blank Music School","15","70","0","85"
"10007155","The University of Portsmouth","825","960","5","1,785"
"10005337","Queen Margaret University, Edinburgh","215","85","0","300"
"10007775","Queen Mary University of London","1,500","1,805","0","3,300"
"10009292","Royal Academy of Dramatic Art","40","35","0","75"
"10005389","Ravensbourne University London","95","130","0","225"
"10007802","The University of Reading","860","830","0","1,690"
"10008455","Regent College London","35","100","0","135"
"10005500","Robert Gordon University","335","305","0","640"
"10007776","Roehampton University","285","215","0","500"
"10005523","Rose Bruford College of Theatre and Performance","55","50","0","105"
"10007835","Royal Academy of Music","100","200","0","300"
"10005545","Royal Agricultural University","20","45","0","65"
"10007777","Royal College of Art","100","90","0","190"
"10007778","Royal College of Music","100","185","0","285"
"10005561","Royal Conservatoire of Scotland","160","175","0","335"
"10007816","The Royal Central School of Speech and Drama","50","35","0","85"
"10005553","Royal Holloway and Bedford New College","535","630","0","1,165"
"10007837","Royal Northern College of Music","130","180","0","310"
"10007779","The Royal Veterinary College","175","125","0","300"
"10007803","The University of St. Andrews","565","785","0","1,355"
"10007839","SAE Education Limited","5","45","0","50"
"10007782","St George's, University of London","285","195","0","480"
"10008026","St Mary's University College","30","30","0","60"
"10007843","St Mary's University, Twickenham","255","195","0","450"
"10007156","The University of Salford","520","545","0","1,065"
"10007780","SOAS University of London","275","240","0","515"
"10005700","SRUC","235","205","0","440"
"10005790","Sheffield Hallam University","1,080","1,015","0","2,095"
"10007157","The University of Sheffield","1,470","2,135","5","3,610"
"10006022","Solent University","200","370","0","575"
"10007158","The University of Southampton","1,040","1,555","0","2,600"
"10006093","Spurgeon's College","5","10","0","15"
"10006299","Staffordshire University","485","530","0","1,015"
"10007804","The University of Stirling","560","435","0","990"
"10037449","University of St Mark and St John","75","45","0","120"
"10008010","Stranmillis University College","50","20","0","70"
"10007805","The University of Strathclyde","680","1,250","0","1,930"
"10014001","University of Suffolk","155","115","0","275"
"10007159","The University of Sunderland","600","560","0","1,160"
"10007160","The University of Surrey","745","885","5","1,635"
"10007806","The University of Sussex","1,050","1,090","5","2,150"
"10007855","Swansea University","710","970","5","1,685"
"10083403","The Engineering and Design Institute London","5","5","0","10"
"10007161","Teesside University","420","425","0","845"
"10082743","ThinkSpace Education Limited","0","5","0","5"
"10008017","Trinity Laban Conservatoire of Music and Dance","195","240","0","440"
"10007858","University of Wales Trinity Saint David","375","410","0","785"
"10067648","University Academy 92 Limited","15","15","0","30"
"10007114","University of the Highlands and Islands","55","40","0","95"
"10007807","Ulster University","740","740","0","1,480"
"10039956","The University of Law","350","130","0","480"
"10007784","University College London","4,575","5,010","0","9,585"
"10007793","University of South Wales","785","930","0","1,715"
"10029843","Waltham International College Limited","10","10","0","20"
"10007163","The University of Warwick","1,235","1,925","0","3,160"
"10007361","Waverley Abbey College","15","5","0","20"
"10007164","University of the West of England, Bristol","1,160","1,100","0","2,260"
"10007800","The University of the West of Scotland","330","320","0","655"
"10006566","The University of West London","655","760","0","1,420"
"10007165","The University of Westminster","950","925","0","1,875"
"10003614","The University of Winchester","410","310","5","725"
"10007166","The University of Wolverhampton","550","460","0","1,010"
"10007139","University of Worcester","440","255","0","700"
"10007833","Wrexham University","115","90","0","205"
"10007657","Writtle University College","80","35","0","115"
"10007713","York St John University","220","200","0","420"
"10007167","The University of York","1,110","1,185","0","2,295"
"","Total","111,975","121,730","315","234,020"
