﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2021/22 
Search:,


"UKPRN","HE provider","Wholly general financed by the provider","All other sources of finance","Total academic staff"
"10007848","University of Chester","645","0","645"
"10007137","The University of Chichester","495","15","510"
"10001386","Chicken Shed Theatre Company","25","0","25"
"10001478","City, University of London","1,710","40","1,750"
"10007912","Cliff College","10","0","10"
"10066502","The College of Health Ltd","5","0","5"
"10001653","Conservatoire for Dance and Drama","130","0","130"
"10007761","Courtauld Institute of Art","75","5","80"
"10034324","Court Theatre Training Company Ltd","10","0","10"
"10001726","Coventry University","2,890","0","2,890"
"10007822","Cranfield University","730","0","730"
"10006427","University for the Creative Arts","440","0","440"
"10007842","University of Cumbria","520","0","520"
"10001883","De Montfort University","1,630","5","1,635"
"10007851","University of Derby","515","895","1,410"
"10007852","The University of Dundee","835","605","1,445"
"10007143","University of Durham","1,915","395","2,310"
"10007789","The University of East Anglia","1,605","375","1,980"
"10007144","The University of East London","920","10","930"
"10032282","The Queen's Foundation for Ecumenical Theological Education","15","0","15"
"10007823","Edge Hill University","945","0","945"
"10007772","Edinburgh Napier University","890","0","890"
"10007790","The University of Edinburgh","7,295","430","7,725"
"10042570","Escape Studios","40","0","40"
"10007791","The University of Essex","1,275","225","1,500"
"10008173","University College of Estate Management","105","0","105"
"10007792","The University of Exeter","2,720","860","3,585"
"10008640","Falmouth University","335","45","380"
"10004511","The National Film and Television School","65","10","70"
"10022087","Futureworks","25","0","25"
"10007762","Glasgow Caledonian University","710","80","790"
"10002681","Glasgow School of Art","225","0","225"
"10007794","The University of Glasgow","3,825","1,430","5,255"
"10007145","University of Gloucestershire","675","0","675"
"10002718","Goldsmiths College","1,170","0","1,170"
"10007146","The University of Greenwich","950","5","955"
"10007825","Guildhall School of Music and Drama","820","0","820"
"10040812","Harper Adams University","230","0","230"
"10080811","Hartpury University","175","0","175"
"10007764","Heriot-Watt University","775","90","865"
"10007147","University of Hertfordshire","1,860","185","2,045"
"10007148","The University of Huddersfield","935","0","935"
"10007149","The University of Hull","755","155","910"
"10003239","ICON College of Technology and Management","25","0","25"
"10003270","Imperial College of Science, Technology and Medicine","1,685","2,755","4,440"
"10013220","Institute of Art - London Limited","20","0","20"
"10035638","Institute of Contemporary Music Performance","20","0","20"
"10082570","Kaplan International Colleges U.K. Limited","410","0","410"
"10021682","Kaplan Open Learning (Essex) Limited","25","0","25"
"10007767","Keele University","645","200","840"
"10007150","The University of Kent","1,250","185","1,435"
"10003645","King's College London","3,750","1,965","5,715"
"10003678","Kingston University","805","150","955"
"10003758","LAMDA Limited","55","0","55"
"10007768","The University of Lancaster","1,760","480","2,240"
"10003854","Leeds Arts University","170","0","170"
"10003861","Leeds Beckett University","1,315","125","1,440"
"10034449","Leeds Conservatoire","250","0","250"
"10007795","The University of Leeds","2,945","815","3,760"
"10003863","Leeds Trinity University","205","0","205"
"10082828","College of Legal Practice Limited","5","0","5"
"10007796","The University of Leicester","1,090","560","1,655"
"10007151","The University of Lincoln","1,310","95","1,405"
"10036456","Academy of Live Technology Ltd","10","0","15"
"10003956","Liverpool Hope University","320","15","335"
"10003957","Liverpool John Moores University","1,565","125","1,690"
"10003945","The Liverpool Institute for Performing Arts","100","0","100"
"10006842","The University of Liverpool","1,975","1,135","3,110"
"10003958","Liverpool School of Tropical Medicine","50","200","250"
"10007162","University of the Arts, London","3,670","0","3,670"
"10007769","London Business School","110","0","110"
"10007797","University of London (Institutes and activities)","50","25","75"
"10004036","London Film School Limited","40","0","40"
"10004048","London Metropolitan University","470","0","470"
"10004078","London South Bank University","1,195","0","1,195"
"10004063","London School of Economics and Political Science","1,830","0","1,830"
"10007771","London School of Hygiene and Tropical Medicine","225","865","1,090"
"10022285","London School of Management Education","15","0","15"
"10004075","London School of Theology","25","0","25"
"10062810","The London School of Architecture","5","0","5"
"10008289","The London Institute of Banking & Finance","30","0","30"
"10067623","The London Interdisciplinary School Ltd","10","0","10"
"10004113","Loughborough University","1,275","315","1,590"
"10009612","Luther King House Educational Trust","5","0","5"
"10004180","The Manchester Metropolitan University","1,845","475","2,320"
"10007798","The University of Manchester","3,055","2,225","5,280"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","0","0"
"10030776","St Mellitus College","35","0","35"
"10004320","The Metanoia Institute","95","0","95"
"10004351","Middlesex University","925","10","935"
"10023777","Mont Rose College of Management and Sciences","40","0","40"
"10023454","Moorlands College","25","0","25"
"10004538","Nazarene Theological College","15","5","20"
"10030129","Nelson College London Ltd","10","0","10"
"10007799","Newcastle University","2,945","85","3,030"
"10067406","New Model Institute for Technology and Engineering (NMITE)","10","5","15"
"10048199","Northeastern University London","90","0","90"
"10007138","The University of Northampton","860","0","860"
"10001282","University of Northumbria at Newcastle","1,640","85","1,720"
"10004775","Norwich University of the Arts","240","0","240"
"10007154","University of Nottingham","2,490","1,050","3,540"
"10004797","The Nottingham Trent University","2,510","100","2,610"
"10007773","The Open University","5,685","115","5,800"
"10004930","Oxford Brookes University","1,505","65","1,570"
"10007774","The University of Oxford","2,120","4,825","6,945"
"10005127","Arts University Plymouth","120","0","120"
"10007801","University of Plymouth","1,450","185","1,635"
"10019178","Point Blank Music School","85","0","85"
"10007155","The University of Portsmouth","1,785","0","1,785"
"10005337","Queen Margaret University, Edinburgh","300","0","300"
"10007775","Queen Mary University of London","2,405","900","3,300"
"10009292","Royal Academy of Dramatic Art","75","0","75"
"10005389","Ravensbourne University London","225","0","225"
"10007802","The University of Reading","1,350","340","1,690"
"10008455","Regent College London","135","0","135"
"10005500","Robert Gordon University","640","0","640"
"10007776","Roehampton University","500","0","500"
"10005523","Rose Bruford College of Theatre and Performance","105","0","105"
"10007835","Royal Academy of Music","300","0","300"
"10005545","Royal Agricultural University","65","0","65"
"10007777","Royal College of Art","190","0","190"
"10007778","Royal College of Music","280","5","285"
"10005561","Royal Conservatoire of Scotland","335","0","335"
"10007816","The Royal Central School of Speech and Drama","75","10","85"
"10005553","Royal Holloway and Bedford New College","1,025","140","1,165"
"10007837","Royal Northern College of Music","310","0","310"
"10007779","The Royal Veterinary College","275","25","300"
"10007803","The University of St. Andrews","1,350","0","1,355"
"10007839","SAE Education Limited","50","0","50"
"10007782","St George's, University of London","265","215","480"
"10008026","St Mary's University College","60","0","60"
"10007843","St Mary's University, Twickenham","450","0","450"
"10007156","The University of Salford","1,065","0","1,065"
"10007780","SOAS University of London","495","20","515"
"10005700","SRUC","440","0","440"
"10005790","Sheffield Hallam University","1,920","175","2,095"
"10007157","The University of Sheffield","1,825","1,785","3,610"
"10006022","Solent University","575","0","575"
"10007158","The University of Southampton","1,645","955","2,600"
"10006093","Spurgeon's College","15","0","15"
"10006299","Staffordshire University","1,015","0","1,015"
"10007804","The University of Stirling","630","360","990"
"10037449","University of St Mark and St John","120","0","120"
"10008010","Stranmillis University College","70","0","70"
"10007805","The University of Strathclyde","1,805","125","1,930"
"10014001","University of Suffolk","250","25","275"
"10007159","The University of Sunderland","1,145","15","1,160"
"10007160","The University of Surrey","1,275","360","1,635"
"10007806","The University of Sussex","1,795","355","2,150"
"10007855","Swansea University","1,190","495","1,685"
"10083403","The Engineering and Design Institute London","10","0","10"
"10007161","Teesside University","725","120","845"
"10082743","ThinkSpace Education Limited","5","0","5"
"10008017","Trinity Laban Conservatoire of Music and Dance","440","0","440"
"10007858","University of Wales Trinity Saint David","750","35","785"
"10067648","University Academy 92 Limited","30","0","30"
"10007114","University of the Highlands and Islands","65","30","95"
"10007807","Ulster University","1,435","40","1,480"
"10039956","The University of Law","480","0","480"
"10007784","University College London","6,455","3,135","9,585"
"10007793","University of South Wales","1,635","80","1,715"
"10029843","Waltham International College Limited","20","0","20"
"10007163","The University of Warwick","2,070","1,090","3,160"
"10007361","Waverley Abbey College","20","0","20"
"10007164","University of the West of England, Bristol","2,115","145","2,260"
"10007800","The University of the West of Scotland","650","5","655"
"10006566","The University of West London","1,395","20","1,420"
"10007165","The University of Westminster","1,875","0","1,875"
"10003614","The University of Winchester","715","10","725"
"10007166","The University of Wolverhampton","1,010","5","1,010"
"10007139","University of Worcester","700","0","700"
"10007833","Wrexham University","205","0","205"
"10007657","Writtle University College","115","0","115"
"10007713","York St John University","420","0","420"
"10007167","The University of York","1,585","710","2,295"
"","Total","186,695","47,320","234,020"
