﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","Wholly general financed by the provider","All other sources of finance","Total academic staff"
"10007791","The University of Essex","1,305","15","1,320"
"10007792","The University of Exeter","2,020","790","2,810"
"10008640","Falmouth University","285","25","310"
"10004511","The National Film and Television School","35","0","35"
"10007762","Glasgow Caledonian University","670","75","745"
"10002681","Glasgow School of Art","225","0","225"
"10007794","The University of Glasgow","4,020","250","4,275"
"10007145","University of Gloucestershire","610","0","610"
"10002718","Goldsmiths College","1,095","65","1,160"
"10007146","The University of Greenwich","1,260","15","1,275"
"10007825","Guildhall School of Music and Drama","765","0","765"
"10040812","Harper Adams University","190","0","190"
"10080811","Hartpury University","80","0","80"
"10007764","Heriot-Watt University","600","225","820"
"10007147","University of Hertfordshire","1,870","95","1,960"
"10007148","The University of Huddersfield","925","0","925"
"10007149","The University of Hull","960","70","1,025"
"10003270","Imperial College of Science, Technology and Medicine","1,515","2,875","4,390"
"10007767","Keele University","635","170","805"
"10007150","The University of Kent","1,350","170","1,520"
"10003645","King's College London","3,345","1,880","5,220"
"10003678","Kingston University","850","165","1,020"
"10007768","The University of Lancaster","1,685","415","2,100"
"10003854","Leeds Arts University","170","0","170"
"10003861","Leeds Beckett University","1,180","120","1,300"
"10034449","Leeds Conservatoire","180","0","180"
"10007795","The University of Leeds","2,890","900","3,785"
"10003863","Leeds Trinity University","170","0","170"
"10007796","The University of Leicester","1,215","490","1,705"
"10007151","The University of Lincoln","1,265","70","1,335"
"10003956","Liverpool Hope University","300","5","305"
"10003957","Liverpool John Moores University","1,445","105","1,550"
"10003945","The Liverpool Institute for Performing Arts","85","0","85"
"10006842","The University of Liverpool","1,845","1,160","3,005"
"10003958","Liverpool School of Tropical Medicine","50","180","225"
"10007162","University of the Arts, London","2,215","0","2,215"
"10007769","London Business School","120","0","120"
"10007797","University of London (Institutes and activities)","65","35","100"
"10004048","London Metropolitan University","420","0","420"
"10004078","London South Bank University","1,125","0","1,125"
"10004063","London School of Economics and Political Science","1,725","0","1,725"
"10007771","London School of Hygiene and Tropical Medicine","235","730","965"
"10004113","Loughborough University","1,340","310","1,650"
"10004180","The Manchester Metropolitan University","2,305","415","2,725"
"10007798","The University of Manchester","2,870","2,210","5,080"
"10004351","Middlesex University","1,015","15","1,030"
"10007799","Newcastle University","2,840","170","3,010"
"10007138","The University of Northampton","835","0","835"
"10001282","University of Northumbria at Newcastle","1,435","45","1,480"
"10004775","Norwich University of the Arts","210","0","210"
"10007154","University of Nottingham","2,385","1,115","3,495"
"10004797","The Nottingham Trent University","2,060","125","2,185"
"10007773","The Open University","4,870","135","5,005"
"10004930","Oxford Brookes University","1,335","45","1,380"
"10007774","The University of Oxford","2,125","4,780","6,905"
"10005127","Arts University Plymouth","135","0","135"
"10007801","University of Plymouth","1,080","175","1,250"
"10007155","The University of Portsmouth","1,695","5","1,705"
"10005337","Queen Margaret University, Edinburgh","260","0","260"
"10007775","Queen Mary University of London","2,400","840","3,235"
"10005389","Ravensbourne University London","245","0","245"
"10007802","The University of Reading","1,580","345","1,925"
"10005500","Robert Gordon University","655","0","655"
"10007776","Roehampton University","570","0","570"
"10005523","Rose Bruford College of Theatre and Performance","70","0","70"
"10007835","Royal Academy of Music","305","0","305"
"10005545","Royal Agricultural University","60","0","60"
"10007777","Royal College of Art","175","0","175"
"10007778","Royal College of Music","275","5","280"
"10005561","Royal Conservatoire of Scotland","340","0","340"
"10007816","The Royal Central School of Speech and Drama","80","5","85"
"10005553","Royal Holloway and Bedford New College","1,015","135","1,150"
"10007837","Royal Northern College of Music","325","0","325"
"10007779","The Royal Veterinary College","255","60","315"
"10007803","The University of St. Andrews","1,225","0","1,225"
"10007782","St George's, University of London","280","285","565"
"10008026","St Mary's University College","65","0","65"
"10007843","St Mary's University, Twickenham","395","0","395"
"10007156","The University of Salford","1,035","0","1,035"
"10007780","SOAS University of London","670","30","700"
"10005700","SRUC","405","0","405"
"10005790","Sheffield Hallam University","1,975","160","2,130"
"10007157","The University of Sheffield","1,790","1,705","3,495"
"10006022","Solent University","685","0","685"
"10007158","The University of Southampton","1,650","1,085","2,735"
"10006299","Staffordshire University","775","0","775"
"10007804","The University of Stirling","760","285","1,045"
"10037449","University of St Mark and St John","90","0","90"
"10008010","Stranmillis University College","55","0","55"
"10007805","The University of Strathclyde","1,275","420","1,695"
"10014001","University of Suffolk","200","25","225"
"10007159","The University of Sunderland","910","30","940"
"10007160","The University of Surrey","1,170","300","1,470"
"10007806","The University of Sussex","1,655","345","2,000"
"10007855","Swansea University","1,250","480","1,730"
"10007161","Teesside University","455","265","720"
"10008017","Trinity Laban Conservatoire of Music and Dance","425","0","425"
"10007858","University of Wales Trinity Saint David","740","15","750"
"10007114","University of the Highlands and Islands","65","30","95"
"10007807","Ulster University","1,245","60","1,300"
"10007784","University College London","5,245","2,460","7,700"
"10007793","University of South Wales","1,675","55","1,730"
"10008574","The University of Wales (central functions)","25","10","30"
"10007163","The University of Warwick","1,540","1,095","2,635"
"10007164","University of the West of England, Bristol","1,770","120","1,895"
"10007800","The University of the West of Scotland","590","15","605"
"10006566","The University of West London","985","30","1,015"
"10007165","The University of Westminster","1,640","5","1,645"
"10003614","The University of Winchester","695","10","710"
"10007166","The University of Wolverhampton","905","5","910"
"10007139","University of Worcester","965","0","965"
"10007833","Wrexham University","200","5","205"
"10007657","Writtle University College","105","0","105"
"10007713","York St John University","380","0","380"
"10007167","The University of York","1,390","545","1,935"
"","Total","169,790","47,275","217,065"
