﻿Title:,"Reset filters | Table 5 - Research grants and contracts - breakdown by source of income and HESA cost centre"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 5
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre▼101 Clinical medicine,102 Clinical dentistry,103 Nursing & allied health professions,104 Psychology & behavioural sciences,105 Health & community studies,106 Anatomy & physiology,107 Pharmacy & pharmacology,108 Sports science & leisure studies,109 Veterinary science,110 Agriculture, forestry & food science,111 Earth, marine & environmental sciences,112 Biosciences,113 Chemistry,114 Physics,115 General engineering,116 Chemical engineering,117 Mineral, metallurgy & materials engineering,118 Civil engineering,119 Electrical, electronic & computer engineering,120 Mechanical, aero & production engineering,121 IT, systems sciences & computer software engineering,122 Mathematics,123 Architecture, built environment & planning,124 Geography & environmental studies,125 Area studies,126 Archaeology,127 Anthropology & development studies,128 Politics & international studies,129 Economics & econometrics,130 Law,131 Social work & social policy,132 Sociology,133 Business & management studies,134 Catering & hospitality management,135 Education,136 Continuing education,137 Modern languages,138 English language & literature,139 History,140 Classics,141 Philosophy,142 Theology & religious studies,143 Art & design,144 Music, dance, drama & performing arts,145 Media studies,201 Total academic services,202 Central administration & services,203 General educational expenditure,204 Staff & student facilities,207 Total research grants and contracts,Co-investment from external sources on funding council-funded projects (included in Heads 1 to 4 above)Total academic departments,Total administration & central services
,Academic year,2016/17 
Search:,


"","","","","(£000s)","",""
"UKPRN","HE Provider","1a Biotechnology and Biological Sciences Research Council (BBSRC)","1b Medical Research Council (MRC)","1c Natural Environment Research Council (NERC)","1d Engineering and Physical Sciences Research Council (EPSRC)","1e Economic and Social Research Council (ESRC)","1f Arts & Humanities Research Council (AHRC)","1g Science & Technology Facilities Council (STFC)","1h Other","1i Total Research Councils"
"10007814","Cardiff University","44","5,013","1","26","105","0","0","33","5,222"
"10007854","Cardiff Metropolitan University","0","0","0","0","0","0","0","0","0"
"10007141","The University of Central Lancashire","0","0","0","0","0","0","0","0","0"
"10007848","University of Chester","0","0","0","0","0","0","0","0","0"
"10007137","The University of Chichester","0","0","0","0","0","0","0","0","0"
"10001478","City, University of London","0","0","0","0","0","0","0","0","0"
"10001653","Conservatoire for Dance and Drama","0","0","0","0","0","0","0","0","0"
"10007761","Courtauld Institute of Art","0","0","0","0","0","0","0","0","0"
"10001726","Coventry University","0","0","0","0","0","0","0","0","0"
"10007822","Cranfield University","0","0","0","0","0","0","0","0","0"
"10006427","University for the Creative Arts","0","0","0","0","0","0","0","0","0"
"10007842","University of Cumbria","0","0","0","0","0","0","0","0","0"
"10001883","De Montfort University","0","0","0","0","0","0","0","0","0"
"10007851","University of Derby","0","0","0","0","0","0","0","0","0"
"10007852","The University of Dundee","209","1,031","0","73","0","0","0","41","1,354"
"10007143","University of Durham","0","0","0","0","0","0","0","0","0"
"10007789","The University of East Anglia","509","444","0","0","0","0","5","3","961"
"10007144","The University of East London","0","0","0","0","0","0","0","0","0"
"10007823","Edge Hill University","0","0","0","0","0","0","0","0","0"
"10007772","Edinburgh Napier University","0","0","0","0","0","0","0","0","0"
"10007790","The University of Edinburgh","2,180","29,733","54","1,500","189","0","0","45","33,701"
"10007791","The University of Essex","0","0","0","0","0","0","0","0","0"
"10007792","The University of Exeter","117","2,129","30","44","441","0","0","224","2,985"
"10008640","Falmouth University","0","0","0","0","0","0","0","0","0"
"10004511","The National Film and Television School","0","0","0","0","0","0","0","0","0"
"10007762","Glasgow Caledonian University","0","0","0","0","0","0","0","0","0"
"10002681","Glasgow School of Art","0","0","0","0","0","0","0","0","0"
"10007794","The University of Glasgow","1,284","22,093","16","242","49","2","0","204","23,890"
"10007145","University of Gloucestershire","0","0","0","0","0","0","0","0","0"
"10002718","Goldsmiths College","0","0","0","0","0","0","0","0","0"
"10007146","The University of Greenwich","0","0","0","0","0","0","0","0","0"
"10007825","Guildhall School of Music and Drama","0","0","0","0","0","0","0","0","0"
"10040812","Harper Adams University","0","0","0","0","0","0","0","0","0"
"10007764","Heriot-Watt University","0","0","0","0","0","0","0","0","0"
"10007147","University of Hertfordshire","0","0","0","0","0","0","0","0","0"
"10007765","Heythrop College","0","0","0","0","0","0","0","0","0"
"10007148","The University of Huddersfield","0","0","0","0","0","0","0","0","0"
"10007149","The University of Hull","2","0","0","0","0","0","0","0","2"
"10003270","Imperial College of Science, Technology and Medicine","2,956","26,359","275","3,268","26","1","0","316","33,201"
"10007767","Keele University","13","83","0","109","0","0","0","4","209"
"10007150","The University of Kent","0","0","0","0","0","0","0","0","0"
"10003645","King's College London","1,220","17,332","0","1,898","813","0","37","291","21,591"
"10003678","Kingston University","0","0","0","0","0","0","0","0","0"
"10007768","The University of Lancaster","3","332","0","72","8","0","0","0","415"
"10003854","Leeds Arts University","0","0","0","0","0","0","0","0","0"
"10003861","Leeds Beckett University","0","0","0","0","0","0","0","0","0"
"10007795","The University of Leeds","236","2,547","0","612","11","0","0","6","3,412"
"10003863","Leeds Trinity University","0","0","0","0","0","0","0","0","0"
"10007796","The University of Leicester","340","2,351","0","53","25","0","0","52","2,821"
"10007151","The University of Lincoln","0","0","0","0","0","0","0","0","0"
"10003956","Liverpool Hope University","0","0","0","0","0","0","0","0","0"
"10003957","Liverpool John Moores University","0","0","0","0","0","0","0","0","0"
"10003945","The Liverpool Institute for Performing Arts","0","0","0","0","0","0","0","0","0"
"10006842","The University of Liverpool","381","2,362","0","384","266","17","0","7","3,417"
"10003958","Liverpool School of Tropical Medicine","202","4,884","0","0","0","0","0","64","5,150"
"10007162","University of the Arts, London","0","0","0","0","0","0","0","0","0"
"10007769","London Business School","0","0","0","0","0","0","0","0","0"
"10007797","University of London (Institutes and activities)","0","0","0","0","0","0","0","0","0"
"10004048","London Metropolitan University","0","0","0","0","0","0","0","0","0"
"10004078","London South Bank University","0","0","0","0","0","0","0","0","0"
"10004063","London School of Economics and Political Science","0","0","0","0","0","0","0","0","0"
"10007771","London School of Hygiene and Tropical Medicine","1,378","13,003","2","26","445","0","0","376","15,230"
"10004113","Loughborough University","0","0","0","0","0","0","0","0","0"
"10004180","The Manchester Metropolitan University","0","0","0","0","0","0","0","0","0"
"10007798","The University of Manchester","948","15,968","2","836","193","0","74","2","18,023"
"10004351","Middlesex University","0","0","0","0","0","0","0","0","0"
"10007799","Newcastle University","364","6,192","0","1,126","74","12","0","4","7,772"
"10007138","The University of Northampton","0","0","0","0","0","0","0","0","0"
"10001282","University of Northumbria at Newcastle","0","0","0","0","0","0","0","0","0"
"10004775","Norwich University of the Arts","0","0","0","0","0","0","0","0","0"
"10007154","University of Nottingham","383","5,838","(4)","182","408","36","7","121","6,971"
"10004797","The Nottingham Trent University","0","0","0","0","0","0","0","0","0"
"10007773","The Open University","0","0","0","0","0","0","0","0","0"
"10004930","Oxford Brookes University","0","0","0","0","0","0","0","0","0"
"10007774","The University of Oxford","2,035","44,268","33","1,436","315","1","0","696","48,784"
"10005127","Arts University Plymouth","0","0","0","0","0","0","0","0","0"
"10007801","University of Plymouth","159","201","97","0","5","0","0","0","462"
"10007155","The University of Portsmouth","0","0","0","0","0","0","0","0","0"
"10005337","Queen Margaret University, Edinburgh","0","0","0","0","0","0","0","0","0"
"10007775","Queen Mary University of London","819","16,739","0","125","68","0","0","733","18,484"
"10005389","Ravensbourne University London","0","0","0","0","0","0","0","0","0"
"10007802","The University of Reading","0","0","0","0","0","0","0","0","0"
"10005500","Robert Gordon University","0","0","0","0","0","0","0","0","0"
"10007776","Roehampton University","0","0","0","0","0","0","0","0","0"
"10005523","Rose Bruford College of Theatre and Performance","0","0","0","0","0","0","0","0","0"
"10007835","Royal Academy of Music","0","0","0","0","0","0","0","0","0"
"10005545","Royal Agricultural University","0","0","0","0","0","0","0","0","0"
"10007777","Royal College of Art","0","0","0","0","0","0","0","0","0"
"10007778","Royal College of Music","0","0","0","0","0","0","0","0","0"
"10005561","Royal Conservatoire of Scotland","0","0","0","0","0","0","0","0","0"
"10007816","The Royal Central School of Speech and Drama","0","0","0","0","0","0","0","0","0"
"10005553","Royal Holloway and Bedford New College","0","0","0","0","0","0","0","0","0"
"10007837","Royal Northern College of Music","0","0","0","0","0","0","0","0","0"
"10007779","The Royal Veterinary College","0","0","0","0","0","0","0","0","0"
"10007803","The University of St. Andrews","162","40","0","0","0","0","0","169","371"
"10007782","St George's, University of London","220","1,338","0","0","0","0","0","0","1,558"
"10008026","St Mary's University College","0","0","0","0","0","0","0","0","0"
"10007843","St Mary's University, Twickenham","0","0","0","0","0","0","0","0","0"
"10007156","The University of Salford","0","0","0","0","0","0","0","0","0"
"10007780","SOAS University of London","0","0","0","0","0","0","0","0","0"
"10005700","SRUC","0","0","0","0","0","0","0","0","0"
"10005790","Sheffield Hallam University","0","0","0","0","0","0","0","0","0"
"10007157","The University of Sheffield","220","5,880","0","599","45","0","0","4","6,748"
"10006022","Solent University","0","0","0","0","0","0","0","0","0"
"10007158","The University of Southampton","753","4,801","3","425","119","0","0","52","6,153"
"10006299","Staffordshire University","0","0","0","0","0","0","0","0","0"
"10007804","The University of Stirling","0","0","0","0","0","0","0","0","0"
"10037449","University of St Mark and St John","0","0","0","0","0","0","0","0","0"
"10008010","Stranmillis University College","0","0","0","0","0","0","0","0","0"
"10007805","The University of Strathclyde","0","27","0","257","0","0","0","0","284"
"10014001","University of Suffolk","0","0","0","0","0","0","0","0","0"
"10007159","The University of Sunderland","0","0","0","0","0","0","0","0","0"
"10007160","The University of Surrey","0","0","0","0","0","0","0","0","0"
"10007806","The University of Sussex","108","108","0","0","74","0","0","0","290"
"10007855","Swansea University","240","1,198","81","606","1,026","0","0","5","3,156"
"10007161","Teesside University","0","0","0","0","0","0","0","0","0"
"10008017","Trinity Laban Conservatoire of Music and Dance","0","0","0","0","0","0","0","0","0"
"10007858","University of Wales Trinity Saint David","0","0","0","0","0","0","0","0","0"
"10007114","University of the Highlands and Islands","0","0","0","0","0","0","0","0","0"
"10007807","Ulster University","0","0","0","0","0","0","0","0","0"
"10007784","University College London","4,167","37,382","13","1,604","4,236","0","4","673","48,079"
"10007793","University of South Wales","0","0","0","0","0","0","0","0","0"
"10008574","The University of Wales (central functions)","0","0","0","0","0","0","0","0","0"
"10007163","The University of Warwick","12","262","0","40","0","0","0","26","340"
"10007164","University of the West of England, Bristol","0","0","0","0","0","0","0","0","0"
"10007800","The University of the West of Scotland","0","0","0","0","0","0","0","0","0"
"10006566","The University of West London","0","0","0","0","0","0","0","0","0"
"10007165","The University of Westminster","0","0","0","0","0","0","0","0","0"
"10003614","The University of Winchester","0","0","0","0","0","0","0","0","0"
"10007166","The University of Wolverhampton","0","0","0","0","0","0","0","0","0"
"10007139","University of Worcester","0","0","0","0","0","0","0","0","0"
"10007833","Wrexham University","0","0","0","0","0","0","0","0","0"
"10007657","Writtle University College","0","0","0","0","0","0","0","0","0"
"10007713","York St John University","0","0","0","0","0","0","0","0","0"
"10007167","The University of York","8","785","0","0","0","0","0","0","793"
"","Total","26,341","331,391","749","16,505","12,340","214","167","4,956","392,663"
