﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","Female","Male","Other","Not known","Total academic staff"
"10007789","The University of East Anglia","1,075","1,015","0","0","2,090"
"10007144","The University of East London","570","565","0","0","1,140"
"10032282","The Queen's Foundation for Ecumenical Theological Education","10","5","0","0","15"
"10007823","Edge Hill University","620","390","0","15","1,025"
"10007772","Edinburgh Napier University","490","530","5","0","1,025"
"10007790","The University of Edinburgh","3,990","4,310","35","95","8,430"
"10042570","Escape Studios","5","25","0","0","30"
"10007791","The University of Essex","740","815","0","0","1,560"
"10008173","University College of Estate Management","45","55","0","0","100"
"10007792","The University of Exeter","1,985","1,925","5","0","3,915"
"10008640","Falmouth University","210","240","0","0","445"
"10004511","The National Film and Television School","45","40","0","0","80"
"10022087","Futureworks","5","15","0","0","20"
"10007762","Glasgow Caledonian University","460","370","0","0","825"
"10002681","Glasgow School of Art","130","115","0","0","240"
"10007794","The University of Glasgow","2,780","3,020","0","0","5,795"
"10007145","University of Gloucestershire","360","335","0","0","695"
"10002718","Goldsmiths College","705","545","10","0","1,260"
"10007146","The University of Greenwich","650","595","0","0","1,245"
"10007825","Guildhall School of Music and Drama","365","465","5","0","835"
"10040812","Harper Adams University","155","105","0","0","260"
"10080811","Hartpury University","125","80","0","0","205"
"10007764","Heriot-Watt University","325","635","0","0","965"
"10007147","University of Hertfordshire","1,200","1,050","0","0","2,250"
"10007148","The University of Huddersfield","370","460","5","10","845"
"10007149","The University of Hull","485","495","5","10","990"
"10003239","ICON College of Technology and Management","10","20","0","0","30"
"10003270","Imperial College of Science, Technology and Medicine","1,625","2,760","15","140","4,540"
"10057622","The School of Information Risk Management","5","0","0","0","10"
"10013220","Institute of Art - London Limited","10","10","0","0","20"
"10035638","Institute of Contemporary Music Performance","0","10","0","0","15"
"10082728","INTO University Partnerships Limited","110","90","0","0","200"
"10082570","Kaplan International Colleges U.K. Limited","275","225","5","5","510"
"10021682","Kaplan Open Learning (Essex) Limited","25","10","0","0","30"
"10007767","Keele University","550","400","0","0","955"
"10007150","The University of Kent","615","690","0","0","1,305"
"10003645","King's College London","3,150","2,905","0","145","6,200"
"10003678","Kingston University","500","505","0","0","1,000"
"10003758","LAMDA Limited","40","35","5","0","75"
"10007768","The University of Lancaster","1,060","1,260","0","0","2,320"
"10003854","Leeds Arts University","90","80","0","0","170"
"10003861","Leeds Beckett University","790","765","0","0","1,555"
"10034449","Leeds Conservatoire","40","130","0","0","170"
"10007795","The University of Leeds","1,795","2,145","0","0","3,940"
"10003863","Leeds Trinity University","130","130","0","0","265"
"10082828","College of Legal Practice Limited","10","0","0","0","10"
"10007796","The University of Leicester","955","985","10","10","1,960"
"10089591","LIBF Limited","10","30","0","0","40"
"10007151","The University of Lincoln","790","870","0","0","1,655"
"10036456","Academy of Live Technology Ltd","5","10","0","0","15"
"10003956","Liverpool Hope University","175","160","0","0","330"
"10003957","Liverpool John Moores University","915","915","0","0","1,830"
"10031239","LMA","15","20","0","0","35"
"10003945","The Liverpool Institute for Performing Arts","40","60","0","0","95"
"10006842","The University of Liverpool","1,545","1,780","0","0","3,325"
"10003958","Liverpool School of Tropical Medicine","135","105","0","0","245"
"10007162","University of the Arts, London","1,735","1,065","0","0","2,800"
"10007769","London Business School","35","75","0","0","110"
"10007797","University of London (Institutes and activities)","60","45","0","0","100"
"10004036","London Film School Limited","20","20","0","0","40"
"10004048","London Metropolitan University","275","280","0","0","555"
"10004078","London South Bank University","645","565","10","0","1,215"
"10004063","London School of Economics and Political Science","860","1,060","0","0","1,920"
"10007771","London School of Hygiene and Tropical Medicine","625","425","0","0","1,050"
"10022285","London School of Management Education","10","10","0","0","20"
"10004075","London School of Theology","10","15","0","5","25"
"10062810","The London School of Architecture","0","0","0","0","5"
"10067623","The London Interdisciplinary School Ltd","10","10","0","0","20"
"10004113","Loughborough University","655","1,035","0","0","1,690"
"10009612","Luther King House Educational Trust","0","0","0","0","0"
"10004180","The Manchester Metropolitan University","1,335","1,285","0","0","2,620"
"10007798","The University of Manchester","2,390","2,920","0","0","5,310"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","0","0","0","0"
"10020416","Missio Dei","0","0","0","0","5"
"10030776","St Mellitus College","10","20","0","0","30"
"10004320","The Metanoia Institute","65","25","0","0","90"
"10004351","Middlesex University","435","385","0","0","820"
"10023777","Mont Rose College of Management and Sciences","20","20","0","0","40"
"10023454","Moorlands College","5","15","0","0","20"
"10001444","National Centre for Circus Arts","15","15","0","0","30"
"10004538","Nazarene Theological College","5","15","0","0","20"
"10030129","Nelson College London Ltd","5","10","0","0","15"
"10007799","Newcastle University","1,455","1,575","0","0","3,030"
"10067406","New Model Institute for Technology and Engineering (NMITE)","5","15","0","0","20"
"10048199","Northeastern University London","60","75","0","30","165"
"10007138","The University of Northampton","570","480","0","0","1,050"
"10008816","Northern School of Contemporary Dance","10","10","0","0","20"
"10001282","University of Northumbria at Newcastle","850","960","0","0","1,810"
"10004775","Norwich University of the Arts","130","140","0","0","275"
"10007154","University of Nottingham","1,700","2,140","0","15","3,855"
"10004797","The Nottingham Trent University","1,450","1,415","10","5","2,880"
"10007773","The Open University","3,250","2,245","0","0","5,495"
"10004930","Oxford Brookes University","910","715","0","0","1,625"
"10007774","The University of Oxford","3,140","4,065","15","0","7,220"
"10004028","The Place, London Contemporary Dance School (LCDS)","25","10","0","0","35"
"10005127","Arts University Plymouth","55","55","0","0","110"
"10007801","University of Plymouth","920","820","10","5","1,755"
"10019178","Point Blank Music School","10","80","0","0","95"
"10007155","The University of Portsmouth","825","925","5","0","1,755"
"10005337","Queen Margaret University, Edinburgh","240","95","0","0","335"
"10007775","Queen Mary University of London","1,740","2,005","0","0","3,745"
"10009292","Royal Academy of Dramatic Art","30","30","0","0","65"
"10005378","Rambert School","5","5","0","0","15"
"10005389","Ravensbourne University London","100","160","0","0","260"
"10007802","The University of Reading","865","780","5","0","1,645"
"10008455","Regent College London","85","180","0","0","265"
"10005500","Robert Gordon University","365","320","0","0","685"
"10007776","Roehampton University","240","180","0","0","425"
"10005523","Rose Bruford College of Theatre and Performance","50","45","0","0","95"
"10007835","Royal Academy of Music","105","200","0","0","305"
"10005545","Royal Agricultural University","20","35","0","0","55"
"10007777","Royal College of Art","245","195","5","15","460"
"10007778","Royal College of Music","110","190","0","0","300"
"10005561","Royal Conservatoire of Scotland","175","190","0","0","365"
"10007816","The Royal Central School of Speech and Drama","55","35","0","0","90"
"10005553","Royal Holloway and Bedford New College","595","665","0","0","1,260"
"10007837","Royal Northern College of Music","135","190","0","0","325"
"10007779","The Royal Veterinary College","180","115","0","0","300"
"10007803","The University of St. Andrews","570","775","0","0","1,345"
"10007839","SAE Education Limited","15","45","0","0","60"
"10007782","St George's, University of London","265","195","0","0","455"
"10008026","St Mary's University College","30","35","0","0","65"
"10007843","St Mary's University, Twickenham","285","195","0","0","480"
"10007156","The University of Salford","665","630","0","0","1,300"
"10007780","SOAS University of London","330","280","0","0","615"
"10005700","SRUC","285","235","0","0","520"
"10005790","Sheffield Hallam University","1,125","1,030","0","0","2,155"
"10007157","The University of Sheffield","1,645","2,150","0","0","3,795"
"10006022","Solent University","185","350","0","0","535"
"10007158","The University of Southampton","1,160","1,635","5","0","2,800"
"10088214","S P Jain London School of Management Limited","0","0","0","0","5"
"10006093","Spurgeon's College","5","10","0","0","15"
"10006299","Staffordshire University","500","555","0","0","1,055"
"10007804","The University of Stirling","555","460","0","0","1,015"
"10037449","University of St Mark and St John","85","50","0","0","135"
"10008010","Stranmillis University College","50","25","0","0","75"
"10007805","The University of Strathclyde","750","1,255","0","0","2,005"
"10014001","University of Suffolk","165","120","0","0","285"
"10007159","The University of Sunderland","845","690","0","0","1,535"
"10007160","The University of Surrey","780","875","5","0","1,660"
"10007806","The University of Sussex","1,020","1,010","5","5","2,035"
"10007855","Swansea University","785","950","5","5","1,740"
"10083403","The Engineering and Design Institute London","5","5","0","0","15"
"10007161","Teesside University","550","540","0","0","1,095"
"10082743","ThinkSpace Education Limited","0","5","0","0","10"
"10008017","Trinity Laban Conservatoire of Music and Dance","155","195","0","0","350"
"10007858","University of Wales Trinity Saint David","485","475","5","0","965"
"10067648","University Academy 92 Limited","20","30","0","0","45"
"10007114","University of the Highlands and Islands","45","30","0","0","80"
"10007807","Ulster University","720","720","0","0","1,440"
"10039956","The University of Law","440","185","0","0","625"
"10007784","University College London","5,055","5,290","0","0","10,350"
"10007793","University of South Wales","865","990","5","0","1,860"
"10029843","Waltham International College Limited","25","25","0","0","45"
"10007163","The University of Warwick","1,535","2,240","0","0","3,780"
"10007361","Waverley Abbey College","15","0","0","0","20"
"10007164","University of the West of England, Bristol","1,305","1,165","0","0","2,470"
"10007800","The University of the West of Scotland","390","405","0","0","795"
"10006566","The University of West London","510","575","0","0","1,080"
"10007165","The University of Westminster","980","1,000","0","0","1,980"
"10003614","The University of Winchester","435","310","0","5","750"
"10007166","The University of Wolverhampton","435","335","0","0","770"
"10007139","University of Worcester","470","270","0","0","740"
"10007833","Wrexham University","150","90","0","0","240"
"10007657","Writtle University College","75","40","0","0","115"
"10007713","York St John University","260","245","0","0","505"
"10007167","The University of York","1,285","1,370","0","0","2,655"
"","Total","120,150","125,700","280","805","246,930"
