﻿Title:,"Table 8 - Expenditure - breakdown by activity and HESA cost centre"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Search by HE provider
,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre group,Total expenditure 
,HESA cost centre,Total expenditure 
,Academic year,2016/17 
,Financial Year End,All 
Search:,


"","","","","Activity (£000s)",""
"UKPRN","HE Provider","Academic staff costs","Other staff costs","Total staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10007143","University of Durham","105,663","79,592","185,255","5,564","107,326","22,427","7,352","327,924"
"10007789","The University of East Anglia","87,072","60,708","147,780","0","85,538","19,400","8,039","260,757"
"10007144","The University of East London","40,303","39,395","79,698","3,969","48,474","7,680","3,621","143,442"
"10007823","Edge Hill University","38,711","31,719","70,430","0","28,618","6,475","1,239","106,762"
"10007772","Edinburgh Napier University","40,135","37,337","77,472","202","35,767","7,689","2,530","123,660"
"10007790","The University of Edinburgh","271,796","220,768","492,564","0","318,891","46,700","14,490","872,645"
"10007791","The University of Essex","58,096","51,891","109,987","0","76,899","9,031","6,409","202,326"
"10007792","The University of Exeter","121,246","85,145","206,391","0","131,837","41,350","10,093","389,671"
"10008640","Falmouth University","10,627","13,375","24,002","0","21,459","3,064","586","49,111"
"10004511","The National Film and Television School","1,690","3,591","5,281","0","6,669","1,340","168","13,458"
"10007762","Glasgow Caledonian University","47,217","34,578","81,795","1,577","27,850","6,504","1,232","118,958"
"10002681","Glasgow School of Art","12,282","8,817","21,099","0","13,807","3,465","1,544","39,915"
"10007794","The University of Glasgow","193,596","129,864","323,460","0","208,491","33,453","4,177","569,581"
"10007145","University of Gloucestershire","22,902","21,767","44,669","291","27,497","4,916","1,669","79,042"
"10002718","Goldsmiths College","38,078","31,307","69,385","0","35,044","8,202","2,426","115,057"
"10007146","The University of Greenwich","54,197","48,123","102,320","0","78,715","7,308","8,193","196,536"
"10007825","Guildhall School of Music and Drama","9,200","8,284","17,484","0","12,191","0","0","29,675"
"10040812","Harper Adams University","10,844","11,365","22,209","0","14,555","3,499","1,014","41,277"
"10007764","Heriot-Watt University","53,772","54,200","107,972","5,909","98,962","12,741","2,526","228,110"
"10007147","University of Hertfordshire","68,931","63,607","132,538","0","96,881","17,731","4,106","251,256"
"10007765","Heythrop College","1,689","1,591","3,280","238","2,569","4,696","4","10,787"
"10007148","The University of Huddersfield","50,688","43,095","93,783","0","48,288","7,522","1,916","151,509"
"10007149","The University of Hull","58,174","47,621","105,795","2,574","64,220","12,194","4,151","188,934"
"10003270","Imperial College of Science, Technology and Medicine","282,636","197,235","479,871","1,364","343,690","65,271","18,659","908,855"
"10007767","Keele University","47,349","38,064","85,413","0","56,375","7,993","2,891","152,672"
"10007150","The University of Kent","70,227","68,190","138,417","243","87,296","21,046","4,159","251,161"
"10003645","King's College London","269,832","166,824","436,656","0","269,652","40,541","17,259","764,108"
"10003678","Kingston University","67,337","49,077","116,414","4,985","70,104","14,912","8,980","215,395"
"10007768","The University of Lancaster","81,021","63,550","144,571","82","97,198","23,530","4,880","270,261"
"10003854","Leeds Arts University","5,367","3,734","9,101","0","3,981","974","129","14,185"
"10003861","Leeds Beckett University","62,196","61,048","123,244","1,492","64,802","18,663","8,936","217,137"
"10007795","The University of Leeds","205,988","165,426","371,414","0","229,664","50,003","12,551","663,632"
"10003863","Leeds Trinity University","9,474","10,120","19,594","0","9,147","2,641","639","32,021"
"10007796","The University of Leicester","98,898","78,862","177,760","0","104,914","16,023","1,655","300,352"
"10007151","The University of Lincoln","46,791","30,830","77,621","0","49,949","8,420","4,582","140,572"
"10003956","Liverpool Hope University","14,660","13,362","28,022","0","14,506","3,752","1,426","47,706"
"10003957","Liverpool John Moores University","70,860","48,388","119,248","0","71,145","9,697","6,414","206,504"
"10003945","The Liverpool Institute for Performing Arts","2,830","3,116","5,946","0","2,890","676","94","9,606"
"10006842","The University of Liverpool","161,921","101,177","263,098","0","170,864","33,987","11,153","479,102"
"10003958","Liverpool School of Tropical Medicine","13,808","12,978","26,786","0","81,515","1,572","156","110,029"
"10007162","University of the Arts, London","50,158","108,716","158,874","0","96,166","2,680","6,284","264,004"
"10007769","London Business School","32,851","36,869","69,720","0","57,844","5,445","978","133,987"
"10007797","University of London (Institutes and activities)","5,225","55,462","60,687","0","106,000","4,950","2,868","174,505"
"10004048","London Metropolitan University","27,110","29,881","56,991","2,170","37,057","6,245","3,566","106,029"
"10004078","London South Bank University","39,721","35,439","75,160","0","53,488","9,620","4,369","142,637"
"10004063","London School of Economics and Political Science","109,338","64,947","174,285","0","121,631","12,859","8,852","317,627"
"10007771","London School of Hygiene and Tropical Medicine","48,354","28,532","76,886","0","95,647","3,963","1,023","177,519"
"10004113","Loughborough University","77,358","73,647","151,005","0","102,083","22,815","4,383","280,286"
"10004180","The Manchester Metropolitan University","100,657","76,126","176,783","9,983","101,520","12,423","5,137","305,846"
"10007798","The University of Manchester","302,712","214,036","516,748","0","353,999","83,421","26,306","980,474"
"10004351","Middlesex University","68,540","42,974","111,514","0","57,679","11,500","8,578","189,271"
"10007799","Newcastle University","159,891","109,018","268,909","0","173,798","19,178","7,033","468,918"
"10007138","The University of Northampton","31,086","32,381","63,467","0","39,210","10,119","11,697","124,493"
"10001282","University of Northumbria at Newcastle","79,456","57,975","137,431","0","83,054","16,481","6,773","243,739"
"10004775","Norwich University of the Arts","5,136","4,601","9,737","0","5,644","1,113","225","16,719"
"10007154","University of Nottingham","204,055","137,322","341,377","0","243,251","31,073","5,084","620,785"
"10004797","The Nottingham Trent University","79,955","79,492","159,447","0","78,314","17,441","8,861","264,063"
"10007773","The Open University","127,400","157,816","285,216","3,573","124,113","7,014","1,333","421,249"
"10004930","Oxford Brookes University","45,053","57,633","102,686","0","64,854","15,755","8,823","192,118"
"10007774","The University of Oxford","441,308","266,945","708,253","0","576,137","102,643","9,901","1,396,934"
"10005127","Arts University Plymouth","4,300","4,791","9,091","0","5,430","800","367","15,688"
"10007801","University of Plymouth","79,510","65,163","144,673","0","83,568","14,608","6,901","249,750"
"10007155","The University of Portsmouth","76,637","60,314","136,951","0","64,642","21,670","3,696","226,959"
"10005337","Queen Margaret University, Edinburgh","12,159","11,264","23,423","0","9,832","4,950","1,720","39,925"
"10007775","Queen Mary University of London","150,713","88,507","239,220","0","138,317","29,761","3,690","410,988"
"10005389","Ravensbourne University London","6,663","6,344","13,007","0","10,548","1,909","379","25,843"
"10007802","The University of Reading","82,533","78,336","160,869","0","107,547","27,095","5,422","300,933"
"10005500","Robert Gordon University","30,300","26,699","56,999","247","33,818","7,929","2,602","101,595"
"10007776","Roehampton University","34,444","26,042","60,486","0","41,919","5,364","5,431","113,200"
"10005523","Rose Bruford College of Theatre and Performance","2,680","2,092","4,772","0","4,463","479","63","9,777"
"10007835","Royal Academy of Music","6,236","4,479","10,715","0","8,791","713","183","20,402"
"10005545","Royal Agricultural University","3,034","5,482","8,516","0","9,484","768","525","19,293"
"10007777","Royal College of Art","5,724","13,356","19,080","0","24,462","2,697","151","46,390"
"10007778","Royal College of Music","5,901","7,376","13,277","0","10,268","1,367","228","25,140"
"10005561","Royal Conservatoire of Scotland","8,785","7,379","16,164","0","5,030","845","0","22,039"
"10007816","The Royal Central School of Speech and Drama","5,058","4,533","9,591","0","5,939","672","200","16,402"
"10005553","Royal Holloway and Bedford New College","55,077","36,748","91,825","0","55,227","11,958","2,234","161,244"
"10007837","Royal Northern College of Music","5,812","5,847","11,659","0","6,769","1,243","388","20,059"
"10007779","The Royal Veterinary College","20,076","25,069","45,145","0","28,973","5,222","-729","78,611"
"10007803","The University of St. Andrews","71,499","46,963","118,462","0","81,684","12,877","5,284","218,307"
"10007782","St George's, University of London","22,933","25,691","48,624","5,039","27,361","5,637","1,212","87,873"
"10008026","St Mary's University College","2,964","2,933","5,897","0","1,985","292","120","8,294"
"10007843","St Mary's University, Twickenham","16,023","20,605","36,628","0","15,793","4,084","418","56,923"
"10007156","The University of Salford","54,771","50,539","105,310","0","63,780","13,197","6,181","188,468"
"10007780","SOAS University of London","29,913","19,673","49,586","706","30,559","6,441","509","87,801"
"10005700","SRUC","13,455","29,027","42,482","0","25,469","5,685","610","74,246"
"10005790","Sheffield Hallam University","94,255","80,123","174,378","0","69,666","21,089","5,738","270,871"
"10007157","The University of Sheffield","194,971","132,552","327,523","0","209,336","78,373","17,780","633,012"
"10006022","Solent University","27,490","38,613","66,103","0","37,439","5,717","3,305","112,564"
"10007158","The University of Southampton","173,756","127,119","300,875","0","187,098","30,875","26,767","545,615"
"10006299","Staffordshire University","31,036","33,733","64,769","0","35,764","10,626","4,154","115,313"
"10007804","The University of Stirling","38,012","32,102","70,114","0","35,300","9,466","2,475","117,355"
"10037449","University of St Mark and St John","6,442","7,126","13,568","0","11,673","1,496","1,087","27,824"
"10008010","Stranmillis University College","3,814","3,590","7,404","0","3,582","12,652","174","23,812"
"10007805","The University of Strathclyde","91,952","71,208","163,160","1,281","97,632","26,833","2,856","291,762"
"10014001","University of Suffolk","10,330","7,113","17,443","833","15,657","2,751","1,419","38,103"
"10007159","The University of Sunderland","31,793","34,171","65,964","6,055","44,281","9,624","5,505","131,429"
"10007160","The University of Surrey","75,174","66,610","141,784","128","91,247","25,320","8,091","266,570"
"10007806","The University of Sussex","81,673","54,467","136,140","0","112,725","15,445","6,616","270,926"
"10007855","Swansea University","70,049","62,758","132,807","0","101,288","18,174","7,170","259,439"
"10007161","Teesside University","41,417","41,942","83,359","0","38,480","7,706","1,580","131,125"
"10008017","Trinity Laban Conservatoire of Music and Dance","7,743","6,021","13,764","0","8,420","1,357","200","23,741"
"10007858","University of Wales Trinity Saint David","39,728","33,573","73,301","821","41,901","27,299","1,548","144,870"
"10007114","University of the Highlands and Islands","3,057","8,246","11,303","0","97,550","1,541","420","110,814"
"10007807","Ulster University","64,282","45,074","109,356","0","58,756","20,186","1,839","190,137"
"10007784","University College London","467,802","236,717","704,519","0","473,702","71,919","7,242","1,257,382"
"10007793","University of South Wales","59,983","48,865","108,848","1,203","50,427","11,403","6,329","178,210"
"10008574","The University of Wales (central functions)","979","3,740","4,719","479","4,912","488","113","10,711"
"10007163","The University of Warwick","158,266","139,780","298,046","0","210,693","35,613","8,779","553,131"
"10007164","University of the West of England, Bristol","78,473","72,643","151,116","0","74,340","15,066","5,245","245,767"
"10007800","The University of the West of Scotland","38,901","32,727","71,628","156","28,783","9,792","2,587","112,946"
"10006566","The University of West London","27,903","15,797","43,700","177","33,064","5,813","3,891","86,645"
"10007165","The University of Westminster","61,610","58,418","120,028","2,191","64,895","13,566","6,368","207,048"
"10003614","The University of Winchester","21,857","16,971","38,828","0","24,507","4,698","1,741","69,774"
"10007166","The University of Wolverhampton","53,247","49,162","102,409","0","54,383","11,270","5,757","173,819"
"10007139","University of Worcester","28,683","22,477","51,160","0","29,461","4,336","4,357","89,314"
"10007833","Wrexham University","12,405","10,579","22,984","259","9,609","1,541","731","35,124"
"10007657","Writtle University College","4,797","5,538","10,335","500","5,566","1,231","654","18,286"
"10007713","York St John University","16,227","14,166","30,393","0","20,973","4,325","1,439","57,130"
"10007167","The University of York","106,946","84,262","191,208","0","107,335","30,472","3,510","332,525"
"","Total","10,381,159","8,490,224","18,871,383","78,779","12,537,961","2,297,684","708,891","34,494,698"
