﻿Title:,"Table 49 - HE student enrolments by HE provider and subject of study"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 49
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","15-01-01 Social sciences (non-specific)","15-01-02 Sociology","15-01-03 Social policy","15-01-04 Anthropology","15-01-05 Development studies","15-01-06 Cultural studies","15-02-01 Economics","15-03-01 Politics","15-04-01 Social work","15-04-02 Childhood and youth studies","15-04-03 Health studies","15 Social sciences"
"10007759","Aston University","10","170","45","0","0","0","755","390","0","0","0","1,365"
"10038772","British Academy of Jewellery Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10007857","Bangor University","0","235","145","0","0","0","30","20","25","115","165","730"
"10000571","Bath Spa University","30","390","0","0","0","0","0","40","0","0","0","460"
"10007850","The University of Bath","85","315","185","0","200","0","1,535","720","90","0","110","3,240"
"10007152","University of Bedfordshire","55","145","45","0","0","0","35","10","195","200","1,605","2,285"
"10005343","Queen's University Belfast","20","450","80","115","0","0","455","635","420","0","0","2,175"
"10037544","BIMM University","0","0","0","0","0","0","0","0","0","0","0","0"
"10007760","Birkbeck College","190","215","65","5","45","60","410","330","0","5","0","1,325"
"10007140","Birmingham City University","70","920","130","0","0","15","190","0","610","220","70","2,225"
"10006840","The University of Birmingham","80","640","280","45","330","15","1,335","1,340","460","0","510","5,050"
"10000712","University College Birmingham","0","0","0","0","0","0","0","0","30","220","280","530"
"10007832","Birmingham Newman University","0","180","0","0","0","0","0","0","170","0","90","440"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0"
"10007811","Bishop Grosseteste University","0","30","0","0","0","0","0","0","0","60","75","165"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0"
"10006841","The University of Bolton","0","140","0","0","0","0","0","0","160","155","995","1,455"
"10000385","The Arts University Bournemouth","0","0","0","0","0","0","0","0","0","0","0","0"
"10000824","Bournemouth University","10","510","0","90","10","0","260","70","145","0","325","1,420"
"10031982","BPP University","0","0","20","0","0","0","0","0","0","0","1,415","1,435"
"10007785","The University of Bradford","220","210","0","0","305","0","105","330","210","165","5","1,550"
"10000886","The University of Brighton","120","595","25","0","0","0","100","190","250","65","415","1,760"
"10000936","The University College of Osteopathy","0","0","0","0","0","0","0","0","0","0","0","0"
"10007786","The University of Bristol","55","425","765","250","0","0","1,550","985","185","0","0","4,205"
"10028216","Brit College","0","0","0","0","0","0","0","0","0","0","0","0"
"10023464","Trinity College Bristol","0","0","0","0","0","0","0","0","0","0","0","0"
"10000961","Brunel University London","0","150","5","70","0","0","885","230","110","0","55","1,505"
"10000975","Buckinghamshire New University","1,615","75","0","0","0","0","0","5","230","120","280","2,330"
"10007787","The University of Buckingham","0","0","15","0","0","0","75","40","0","0","0","130"
"10019368","London College of Business Studies","0","0","0","0","0","0","0","0","0","0","0","0"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10007788","The University of Cambridge","25","565","30","355","95","0","790","465","0","0","0","2,325"
"10032072","The Cambridge Theological Federation","0","0","0","0","0","0","0","0","0","0","0","0"
"10003324","The Institute of Cancer Research","0","0","0","0","0","0","0","0","0","0","0","0"
"10001143","Canterbury Christ Church University","45","290","5","0","0","5","0","90","225","190","615","1,465"
"10007814","Cardiff University","325","640","55","0","0","0","700","850","95","0","5","2,660"
"10007854","Cardiff Metropolitan University","0","0","5","0","0","0","75","0","325","90","200","695"
"10057213","CEG UFP Limited","30","0","0","0","0","0","0","0","0","0","0","30"
"10001264","Central School of Ballet","0","0","0","0","0","0","0","0","0","0","0","0"
"10007141","The University of Central Lancashire","160","340","120","0","0","0","0","50","950","115","780","2,520"
"10024024","Central Film School London","0","0","0","0","0","0","0","0","0","0","0","0"
"10007848","University of Chester","40","265","0","0","5","0","40","60","310","45","65","830"
"10007137","The University of Chichester","145","110","10","0","0","0","0","20","215","125","65","695"
"10001386","Chicken Shed Theatre Company","0","0","0","0","0","0","0","0","0","0","0","0"
"10001546","The College of Integrated Chinese Medicine","0","0","0","0","0","0","0","0","0","0","0","0"
"10026921","Christ the Redeemer College","0","0","0","0","0","0","0","0","0","0","0","0"
"10010213","The City College","0","0","0","0","0","0","0","0","0","0","0","0"
"10001478","City, University of London","0","695","95","0","0","25","1,090","560","0","0","130","2,600"
"10007912","Cliff College","0","0","0","0","0","0","0","0","0","0","0","0"
"10066502","The College of Health Ltd","0","0","0","0","0","0","0","0","0","0","0","0"
"10023442","The College of Osteopaths","0","0","0","0","0","0","0","0","0","0","0","0"
"10020038","Commonwealth College of Excellence","0","0","0","0","0","0","0","0","0","0","0","0"
"10081618","The Council of the Inns of Court","0","0","0","0","0","0","0","0","0","0","0","0"
"10007761","Courtauld Institute of Art","0","0","0","0","0","0","0","0","0","0","0","0"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0","0","0","0","0","0"
"10001726","Coventry University","0","470","210","0","35","5","295","300","315","205","960","2,795"
"10007822","Cranfield University","0","0","25","0","0","0","0","0","0","0","0","25"
"10006427","University for the Creative Arts","0","0","0","0","0","0","0","0","0","0","0","0"
"10007842","University of Cumbria","5","60","0","0","0","0","0","0","85","50","420","620"
"10026767","Dartington Hall Trust (The)","0","0","0","0","0","0","25","0","0","0","0","25"
"10015688","David Game College Ltd","0","0","0","0","0","0","0","230","0","0","0","230"
"10001883","De Montfort University","0","385","370","0","0","0","220","160","1,640","0","420","3,195"
"10007851","University of Derby","0","570","5","0","0","0","60","25","250","275","1,160","2,345"
"10007852","The University of Dundee","0","0","20","0","0","0","180","215","320","0","0","735"
"10007143","University of Durham","355","555","0","420","0","0","725","630","40","0","0","2,720"
"10067355","Dyson Technical Training Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10007789","The University of East Anglia","50","165","50","20","335","15","600","425","460","0","370","2,490"
"10007144","The University of East London","20","280","0","0","65","0","35","55","305","260","15","1,040"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","0","0","0","0","0","0","0","0","0","0"
"10007823","Edge Hill University","35","560","120","0","0","0","0","25","150","190","120","1,205"
"10007772","Edinburgh Napier University","210","380","0","0","0","0","0","0","45","0","210","845"
"10007790","The University of Edinburgh","85","630","300","445","125","15","1,135","1,275","205","0","100","4,315"
"10022047","Empire College London Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10042570","Escape Studios","0","0","0","0","0","0","0","0","0","0","0","0"
"10007791","The University of Essex","180","690","35","5","0","0","1,085","685","225","105","70","3,080"
"10008173","University College of Estate Management","0","0","0","0","0","0","0","0","0","0","0","0"
"10002313","ESCP Europe Business School","0","0","0","0","0","0","0","0","0","0","0","0"
"10007792","The University of Exeter","0","425","0","155","0","0","1,800","1,490","0","0","0","3,875"
"10008640","Falmouth University","0","0","0","0","0","0","0","0","0","0","0","0"
"10045476","Met Film School Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10004511","The National Film and Television School","0","0","0","0","0","0","0","0","0","0","0","0"
"10022087","Futureworks","0","0","0","0","0","0","0","0","0","0","0","0"
"10042500","Global Banking School Limited","0","0","0","0","0","0","0","0","0","0","420","420"
"10007762","Glasgow Caledonian University","680","55","5","0","0","0","65","0","315","0","705","1,825"
"10002681","Glasgow School of Art","30","0","0","0","0","0","0","0","0","0","0","30"
"10007794","The University of Glasgow","70","550","450","0","80","60","1,430","1,075","105","0","50","3,870"
"10007145","University of Gloucestershire","10","320","90","0","0","0","0","35","345","0","70","860"
"10002718","Goldsmiths College","15","365","0","260","0","50","225","245","260","0","0","1,415"
"10030408","Gower College Swansea","0","0","0","0","0","0","0","0","0","0","0","0"
"10007146","The University of Greenwich","0","865","0","0","10","0","405","165","185","0","10","1,640"
"10007825","Guildhall School of Music and Drama","0","0","0","0","0","0","0","0","0","0","0","0"
"10040812","Harper Adams University","0","0","0","0","0","0","0","0","0","0","0","0"
"10080811","Hartpury University","0","0","0","0","0","0","0","0","0","0","0","0"
"10007764","Heriot-Watt University","0","0","0","0","0","5","215","0","0","0","0","220"
"10007147","University of Hertfordshire","25","160","95","0","0","0","130","150","295","0","615","1,470"
"10007148","The University of Huddersfield","0","390","30","0","0","0","135","20","270","170","210","1,220"
"10007149","The University of Hull","0","630","65","0","0","0","45","285","290","90","760","2,165"
"10003239","ICON College of Technology and Management","0","0","0","0","0","0","0","0","0","0","35","35"
"10003270","Imperial College of Science, Technology and Medicine","0","0","0","0","0","0","0","0","0","0","0","0"
"10003284","Inchbald School of Design Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10013220","Institute of Art - London Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10067388","The Institute of Ismaili Studies","0","0","0","0","0","0","0","0","0","0","0","0"
"10035638","Institute of Contemporary Music Performance","0","0","0","0","0","0","0","0","0","0","0","0"
"10027603","International College of Musical Theatre","0","0","0","0","0","0","0","0","0","0","0","0"
"10082728","INTO University Partnerships Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10029682","The Islamic College","0","0","0","0","0","0","0","0","0","0","0","0"
"10067601","JSA Education Group Ltd.","0","0","0","0","0","0","0","0","0","0","0","0"
"10082570","Kaplan International Colleges U.K. Limited","0","0","0","0","0","0","10","15","0","0","0","25"
"10021682","Kaplan Open Learning (Essex) Limited","0","120","0","0","0","0","0","0","0","0","200","320"
"10007767","Keele University","5","395","70","0","0","0","85","225","150","0","20","950"
"10007150","The University of Kent","105","705","85","220","0","30","890","590","360","0","100","3,080"
"10003645","King's College London","320","20","590","0","460","30","1,590","3,185","0","35","105","6,335"
"10003678","Kingston University","0","340","0","0","0","0","200","70","515","0","0","1,120"
"10003758","LAMDA Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10007768","The University of Lancaster","15","470","75","0","0","100","700","555","985","0","65","2,965"
"10003854","Leeds Arts University","0","0","0","0","0","0","0","0","0","0","0","0"
"10003861","Leeds Beckett University","0","1,025","80","0","25","5","240","290","365","200","120","2,350"
"10003798","Le Cordon Bleu Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10034449","Leeds Conservatoire","0","0","0","0","0","0","0","0","0","0","0","0"
"10007795","The University of Leeds","55","725","400","0","210","70","1,235","1,030","100","115","80","4,020"
"10003863","Leeds Trinity University","0","290","55","0","0","0","0","0","25","80","2,645","3,100"
"10082828","College of Legal Practice Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10007796","The University of Leicester","0","660","80","0","0","0","650","435","0","0","135","1,960"
"10089591","LIBF Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10007151","The University of Lincoln","60","665","75","0","0","0","175","265","195","0","285","1,720"
"10036456","Academy of Live Technology Ltd","0","0","0","0","0","0","0","0","0","0","0","0"
"10003956","Liverpool Hope University","0","500","35","0","0","0","30","100","235","75","105","1,080"
"10003957","Liverpool John Moores University","15","2,905","30","190","0","0","0","135","125","115","90","3,605"
"10003945","The Liverpool Institute for Performing Arts","0","0","0","0","0","0","0","0","0","0","0","0"
"10006842","The University of Liverpool","0","740","30","0","0","0","970","595","0","0","5","2,340"
"10003958","Liverpool School of Tropical Medicine","0","0","0","0","0","0","0","0","0","0","0","0"
"10007820","Grŵp Llandrillo Menai","0","0","0","0","0","0","0","0","0","35","50","80"
"10007162","University of the Arts, London","0","0","0","0","0","0","0","0","0","0","0","0"
"10013109","London Bridge Business Academy","0","0","0","0","0","0","0","0","0","0","0","0"
"10007769","London Business School","0","0","0","0","0","0","0","0","0","0","0","0"
"10030391","London Churchill College Ltd","0","0","0","0","0","0","0","0","0","0","0","0"
"10007797","University of London (Institutes and activities)","25","0","20","0","5","0","115","100","0","0","10","280"
"10039082","City and Guilds of London Art School","0","0","0","0","0","0","0","0","0","0","0","0"
"10023434","London School of Commerce & IT Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10004036","London Film School Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10015506","The London College","0","0","0","0","0","0","0","0","0","0","0","0"
"10004048","London Metropolitan University","5","480","90","0","0","0","60","220","340","255","1,650","3,095"
"10032594","London School of Academics Ltd","0","0","0","0","0","0","0","0","0","0","0","0"
"10004078","London South Bank University","0","315","0","0","0","0","110","80","180","0","65","750"
"10004063","London School of Economics and Political Science","110","680","725","290","135","0","2,215","1,920","95","0","0","6,185"
"10007771","London School of Hygiene and Tropical Medicine","0","0","0","0","0","0","40","0","0","0","0","40"
"10022285","London School of Management Education","0","0","0","0","0","0","0","0","0","0","120","120"
"10004075","London School of Theology","0","0","0","0","0","0","0","0","0","0","0","0"
"10004079","London Studio Centre","0","0","0","0","0","0","0","0","0","0","0","0"
"10062810","The London School of Architecture","0","0","0","0","0","0","0","0","0","0","0","0"
"10004035","The Film Education Training Trust Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10067623","The London Interdisciplinary School Ltd","20","0","0","0","0","0","0","0","0","0","0","20"
"10004113","Loughborough University","5","420","25","0","5","5","1,130","555","0","0","0","2,150"
"10009612","Luther King House Educational Trust","0","0","0","0","0","0","0","0","0","0","0","0"
"10042679","International Business College Manchester Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10004180","The Manchester Metropolitan University","0","1,445","5","0","0","0","445","385","610","0","310","3,200"
"10007798","The University of Manchester","10","1,195","175","310","215","50","1,900","1,455","100","0","225","5,635"
"10009527","Istituto Marangoni Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10023452","The Markfield Institute of Higher Education","0","0","0","0","0","0","0","0","0","0","0","0"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","0","0","0","0","0","0","0","0","0","0","0"
"10020416","Missio Dei","0","0","0","0","0","0","0","0","0","0","0","0"
"10030776","St Mellitus College","0","0","0","0","0","0","0","0","0","0","0","0"
"10004320","The Metanoia Institute","0","0","0","0","0","0","0","0","0","0","0","0"
"10004351","Middlesex University","0","420","45","0","40","0","100","100","900","145","35","1,785"
"10032277","The Minster Centre","0","0","0","0","0","0","0","0","0","0","0","0"
"10049370","MLA College","0","0","0","0","0","0","0","0","0","0","0","0"
"10004450","Mountview Academy of Theatre Arts","0","0","0","0","0","0","0","0","0","0","0","0"
"10023777","Mont Rose College of Management and Sciences","0","0","0","0","0","0","0","0","0","0","110","110"
"10023454","Moorlands College","0","0","0","0","0","0","0","0","15","0","0","15"
"10055902","Multiverse","0","0","0","0","0","0","0","0","0","0","0","0"
"10001444","National Centre for Circus Arts","0","0","0","0","0","0","0","0","0","0","0","0"
"10000216","All Nations Christian College","0","0","0","0","5","0","0","0","0","0","0","5"
"10004538","Nazarene Theological College","0","0","0","0","0","0","0","0","5","0","0","5"
"10030129","Nelson College London Ltd","0","0","0","0","0","0","0","0","0","0","0","0"
"10023456","Newbold College","0","0","0","0","0","0","0","0","0","0","0","0"
"10007799","Newcastle University","55","300","30","0","0","0","740","675","0","0","0","1,805"
"10067406","New Model Institute for Technology and Engineering (NMITE)","0","0","0","0","0","0","0","0","0","0","0","0"
"10048199","Northeastern University London","0","0","0","0","0","0","20","50","0","0","0","70"
"10008397","Norland College","0","0","0","0","0","0","0","0","0","0","0","0"
"10007138","The University of Northampton","0","320","385","0","5","0","60","70","245","125","265","1,470"
"10009614","Grŵp NPTC Group","0","0","0","0","0","0","0","30","0","0","0","30"
"10008816","Northern School of Contemporary Dance","0","0","0","0","0","0","0","0","0","0","0","0"
"10004740","Northern College of Acupuncture","0","0","0","0","0","0","0","0","0","0","0","0"
"10001282","University of Northumbria at Newcastle","130","2,070","5","0","35","5","160","215","420","190","275","3,495"
"10004775","Norwich University of the Arts","0","0","0","0","0","0","0","0","0","0","0","0"
"10007154","University of Nottingham","15","660","190","0","0","25","1,320","940","150","0","5","3,305"
"10004797","The Nottingham Trent University","195","1,505","415","0","0","60","840","470","300","390","280","4,450"
"10007773","The Open University","1,345","3,475","100","0","55","0","855","995","1,330","2,970","3,420","14,545"
"10004930","Oxford Brookes University","5","410","40","110","0","0","120","290","250","75","1,430","2,725"
"10007774","The University of Oxford","80","250","275","260","55","0","755","755","30","0","0","2,465"
"10066143","Paris Dauphine International","0","0","0","0","0","0","70","0","0","0","0","70"
"10083464","Peking University HSBC Business School UK Campus","0","0","0","0","0","0","0","0","0","0","0","0"
"10004028","The Place, London Contemporary Dance School (LCDS)","0","0","0","0","0","0","0","0","0","0","0","0"
"10005127","Arts University Plymouth","0","0","0","0","0","0","0","0","0","0","0","0"
"10007801","University of Plymouth","0","520","160","45","0","0","100","155","145","100","55","1,280"
"10019178","Point Blank Music School","0","0","0","0","0","0","0","0","0","0","0","0"
"10007155","The University of Portsmouth","10","1,795","240","0","35","35","335","515","470","170","0","3,600"
"10083476","The Prince's Foundation","0","0","0","0","0","0","0","0","0","0","0","0"
"10005337","Queen Margaret University, Edinburgh","0","195","25","0","0","0","0","0","0","0","15","235"
"10007775","Queen Mary University of London","15","45","0","0","5","5","2,230","1,365","0","0","20","3,680"
"10025197","University Centre Quayside Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10009292","Royal Academy of Dramatic Art","0","0","0","0","0","0","0","0","0","0","0","0"
"10005544","Royal Academy of Dance","0","0","0","0","0","0","0","0","0","0","0","0"
"10005378","Rambert School","0","0","0","0","0","0","0","0","0","0","0","0"
"10005389","Ravensbourne University London","0","0","0","0","0","0","0","0","0","0","0","0"
"10005470","Richmond, The American International University in London","0","0","0","0","0","0","20","80","0","0","0","100"
"10007802","The University of Reading","0","0","15","15","130","0","565","770","0","0","0","1,500"
"10086591","Regent's University London Limited","0","0","0","0","0","0","0","30","0","0","0","30"
"10021100","Regents Theological College","0","0","0","0","0","0","0","0","0","0","0","0"
"10023871","Results Consortium Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10062833","Raindance Educational Services Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10008455","Regent College London","0","0","0","0","0","0","0","0","0","0","575","575"
"10005500","Robert Gordon University","210","5","0","0","0","0","0","0","595","0","130","940"
"10007776","Roehampton University","0","290","60","35","0","5","70","40","0","210","0","715"
"10005523","Rose Bruford College of Theatre and Performance","0","0","0","0","0","0","0","0","0","0","0","0"
"10007835","Royal Academy of Music","0","0","0","0","0","0","0","0","0","0","0","0"
"10005545","Royal Agricultural University","0","0","0","0","0","0","0","0","0","0","0","0"
"10007777","Royal College of Art","0","0","0","0","0","0","0","0","0","0","0","0"
"10007778","Royal College of Music","0","0","0","0","0","0","0","0","0","0","0","0"
"10005561","Royal Conservatoire of Scotland","0","0","0","0","0","0","0","0","0","0","0","0"
"10007816","The Royal Central School of Speech and Drama","0","0","0","0","0","0","0","0","0","0","0","0"
"10005553","Royal Holloway and Bedford New College","70","385","5","0","0","0","730","480","200","0","0","1,870"
"10007837","Royal Northern College of Music","0","0","0","0","0","0","0","0","0","0","0","0"
"10007779","The Royal Veterinary College","0","0","0","0","0","0","0","0","0","0","0","0"
"10007803","The University of St. Andrews","0","5","0","260","0","5","635","1,020","0","0","0","1,930"
"10007839","SAE Education Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10007782","St George's, University of London","0","0","0","0","20","0","0","0","0","0","160","185"
"10008026","St Mary's University College","0","0","0","0","0","0","0","0","0","0","0","0"
"10007843","St Mary's University, Twickenham","5","110","10","0","0","0","0","40","0","15","0","180"
"10007156","The University of Salford","5","525","150","0","0","0","20","120","485","0","10","1,320"
"10021256","The Salvation Army","0","0","0","0","0","0","0","0","0","0","0","0"
"10008362","London School of Science and Technology Limited","0","0","5","0","0","0","0","0","0","0","0","5"
"10007780","SOAS University of London","0","60","70","345","550","0","555","960","0","0","0","2,530"
"10005700","SRUC","0","0","0","0","0","0","0","0","0","0","0","0"
"10005790","Sheffield Hallam University","65","1,115","290","0","0","0","360","110","965","235","260","3,400"
"10007157","The University of Sheffield","130","775","165","0","20","0","1,035","860","175","185","105","3,450"
"10023458","The Sherwood Psychotherapy Training Institute Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10006022","Solent University","0","140","40","0","0","5","0","0","130","0","60","375"
"10007158","The University of Southampton","5","325","15","30","10","0","785","465","0","0","60","1,700"
"10006093","Spurgeon's College","0","0","0","0","0","0","0","0","0","0","0","0"
"10006299","Staffordshire University","140","145","70","0","0","0","0","265","370","25","220","1,235"
"10008098","Study Group","420","0","0","0","10","0","45","60","0","0","0","540"
"10007804","The University of Stirling","40","565","115","0","0","0","175","435","165","290","25","1,800"
"10037449","University of St Mark and St John","0","65","20","0","0","0","0","0","65","5","35","195"
"10008010","Stranmillis University College","0","0","0","0","0","0","0","0","0","435","50","485"
"10007805","The University of Strathclyde","110","35","275","0","0","0","390","480","320","295","5","1,910"
"10014001","University of Suffolk","10","140","295","0","0","0","0","10","75","210","190","930"
"10007159","The University of Sunderland","20","310","25","0","0","5","0","0","395","305","575","1,625"
"10007160","The University of Surrey","0","470","10","0","0","5","590","185","0","0","10","1,265"
"10007806","The University of Sussex","125","640","475","200","730","25","755","845","240","90","0","4,135"
"10007855","Swansea University","50","660","60","0","0","0","380","290","170","155","865","2,635"
"10083403","The Engineering and Design Institute London","0","0","0","0","0","0","0","0","0","0","0","0"
"10007161","Teesside University","15","320","0","0","0","0","20","210","765","0","355","1,680"
"10082743","ThinkSpace Education Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10008017","Trinity Laban Conservatoire of Music and Dance","0","0","0","0","0","0","0","0","0","0","0","0"
"10007858","University of Wales Trinity Saint David","0","0","95","80","0","0","0","0","65","20","2,110","2,375"
"10068157","University Centre Peterborough","0","20","5","0","0","0","0","0","0","0","0","25"
"10007114","University of the Highlands and Islands","345","145","0","0","0","100","0","10","5","1,005","395","2,000"
"10007807","Ulster University","175","1,075","155","0","0","0","255","170","965","0","195","2,985"
"10039956","The University of Law","0","230","5","0","0","0","0","35","0","0","0","275"
"10007784","University College London","210","895","745","730","25","65","2,360","1,165","0","15","15","6,225"
"10007793","University of South Wales","100","290","235","0","0","0","0","25","265","250","330","1,500"
"10029843","Waltham International College Limited","0","0","0","0","0","0","0","0","0","0","0","0"
"10007163","The University of Warwick","285","480","20","0","0","0","2,440","1,355","150","15","0","4,740"
"10007361","Waverley Abbey College","0","0","0","0","0","0","0","0","0","0","0","0"
"10007164","University of the West of England, Bristol","35","1,665","0","0","0","0","375","255","225","0","2,615","5,170"
"10007800","The University of the West of Scotland","400","35","480","0","0","0","0","170","375","640","680","2,780"
"10032288","West Dean College","0","0","0","0","0","0","0","0","0","0","0","0"
"10006566","The University of West London","0","250","15","0","0","0","65","65","155","20","20","585"
"10007165","The University of Westminster","0","585","0","0","0","0","290","485","0","0","0","1,360"
"10003614","The University of Winchester","0","620","0","25","5","0","40","75","285","120","270","1,435"
"10007166","The University of Wolverhampton","35","235","105","0","0","5","35","15","335","255","1,220","2,245"
"10007139","University of Worcester","40","210","0","0","0","0","0","0","200","125","305","880"
"10007833","Wrexham University","50","65","135","15","0","0","0","15","160","65","300","800"
"10007657","Writtle University College","0","0","0","0","0","0","0","0","0","0","0","0"
"10007713","York St John University","5","325","0","0","0","0","45","100","0","100","130","710"
"10007167","The University of York","30","690","380","0","20","0","840","1,070","180","0","15","3,220"
"","Total","10,875","62,215","13,175","5,515","4,435","910","53,935","47,445","29,255","13,755","44,015","285,540"
