﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2016/17 
Search:,


"UKPRN","HE provider","Wholly general financed by the provider","All other sources of finance","Total academic staff"
"10002681","Glasgow School of Art","215","0","215"
"10007794","The University of Glasgow","2,545","1,295","3,840"
"10007145","University of Gloucestershire","655","0","655"
"10002718","Goldsmiths College","970","60","1,030"
"10007146","The University of Greenwich","1,200","20","1,215"
"10007825","Guildhall School of Music and Drama","680","0","680"
"10040812","Harper Adams University","160","0","160"
"10007764","Heriot-Watt University","595","245","840"
"10007147","University of Hertfordshire","1,325","395","1,720"
"10007765","Heythrop College","60","0","60"
"10007148","The University of Huddersfield","895","0","895"
"10007149","The University of Hull","940","95","1,035"
"10003270","Imperial College of Science, Technology and Medicine","1,365","2,965","4,330"
"10007767","Keele University","615","195","810"
"10007150","The University of Kent","1,290","135","1,425"
"10003645","King's College London","2,945","1,895","4,840"
"10003678","Kingston University","915","195","1,110"
"10007768","The University of Lancaster","1,595","335","1,930"
"10003854","Leeds Arts University","165","0","165"
"10003861","Leeds Beckett University","1,350","85","1,435"
"10007795","The University of Leeds","2,740","750","3,485"
"10003863","Leeds Trinity University","180","0","180"
"10007796","The University of Leicester","1,195","450","1,645"
"10007151","The University of Lincoln","1,085","115","1,205"
"10003956","Liverpool Hope University","295","0","295"
"10003957","Liverpool John Moores University","1,340","100","1,435"
"10003945","The Liverpool Institute for Performing Arts","75","0","75"
"10006842","The University of Liverpool","1,690","1,145","2,835"
"10003958","Liverpool School of Tropical Medicine","30","175","200"
"10007162","University of the Arts, London","3,275","0","3,275"
"10007769","London Business School","110","0","110"
"10007797","University of London (Institutes and activities)","65","30","95"
"10004048","London Metropolitan University","435","0","435"
"10004078","London South Bank University","1,110","0","1,110"
"10004063","London School of Economics and Political Science","1,705","0","1,705"
"10007771","London School of Hygiene and Tropical Medicine","285","555","840"
"10004113","Loughborough University","1,230","305","1,535"
"10004180","The Manchester Metropolitan University","2,395","160","2,555"
"10007798","The University of Manchester","2,900","2,300","5,195"
"10004351","Middlesex University","1,020","20","1,040"
"10007799","Newcastle University","2,640","270","2,910"
"10007138","The University of Northampton","755","0","755"
"10001282","University of Northumbria at Newcastle","1,340","45","1,385"
"10004775","Norwich University of the Arts","200","0","200"
"10007154","University of Nottingham","2,205","1,210","3,420"
"10004797","The Nottingham Trent University","1,810","60","1,875"
"10007773","The Open University","5,105","150","5,255"
"10004930","Oxford Brookes University","1,295","25","1,320"
"10007774","The University of Oxford","2,160","4,610","6,770"
"10005127","Arts University Plymouth","135","0","135"
"10007801","University of Plymouth","1,165","180","1,345"
"10007155","The University of Portsmouth","1,645","15","1,660"
"10005337","Queen Margaret University, Edinburgh","250","0","250"
"10007775","Queen Mary University of London","1,585","800","2,385"
"10005389","Ravensbourne University London","215","5","215"
"10007802","The University of Reading","1,390","305","1,700"
"10005500","Robert Gordon University","680","0","680"
"10007776","Roehampton University","545","0","545"
"10005523","Rose Bruford College of Theatre and Performance","75","0","75"
"10007835","Royal Academy of Music","295","0","295"
"10005545","Royal Agricultural University","65","0","65"
"10007777","Royal College of Art","145","25","170"
"10007778","Royal College of Music","285","5","290"
"10005561","Royal Conservatoire of Scotland","375","0","375"
"10007816","The Royal Central School of Speech and Drama","75","0","75"
"10005553","Royal Holloway and Bedford New College","1,090","140","1,230"
"10007837","Royal Northern College of Music","330","0","330"
"10007779","The Royal Veterinary College","240","55","295"
"10007803","The University of St. Andrews","1,015","145","1,165"
"10007782","St George's, University of London","215","235","450"
"10008026","St Mary's University College","60","0","60"
"10007843","St Mary's University, Twickenham","470","0","470"
"10007156","The University of Salford","995","0","995"
"10007780","SOAS University of London","750","40","790"
"10005700","SRUC","315","0","315"
"10005790","Sheffield Hallam University","1,890","110","2,005"
"10007157","The University of Sheffield","1,730","1,540","3,270"
"10006022","Solent University","745","0","745"
"10007158","The University of Southampton","1,930","1,100","3,030"
"10006299","Staffordshire University","890","5","895"
"10007804","The University of Stirling","600","320","915"
"10037449","University of St Mark and St John","100","0","100"
"10008010","Stranmillis University College","55","0","55"
"10007805","The University of Strathclyde","1,580","0","1,580"
"10014001","University of Suffolk","190","10","200"
"10007159","The University of Sunderland","755","25","780"
"10007160","The University of Surrey","1,125","300","1,425"
"10007806","The University of Sussex","1,485","385","1,865"
"10007855","Swansea University","1,025","400","1,425"
"10007161","Teesside University","470","260","730"
"10008017","Trinity Laban Conservatoire of Music and Dance","370","0","370"
"10007858","University of Wales Trinity Saint David","710","35","745"
"10007114","University of the Highlands and Islands","35","5","40"
"10007807","Ulster University","1,160","100","1,260"
"10007784","University College London","4,210","3,205","7,415"
"10007793","University of South Wales","1,750","55","1,805"
"10008574","The University of Wales (central functions)","35","10","45"
"10007163","The University of Warwick","1,770","1,085","2,855"
"10007164","University of the West of England, Bristol","1,525","120","1,645"
"10007800","The University of the West of Scotland","535","20","560"
"10006566","The University of West London","910","50","960"
"10007165","The University of Westminster","1,740","30","1,770"
"10003614","The University of Winchester","715","15","730"
"10007166","The University of Wolverhampton","835","5","840"
"10007139","University of Worcester","790","0","790"
"10007833","Wrexham University","220","5","230"
"10007657","Writtle University College","115","0","115"
"10007713","York St John University","325","0","325"
"10007167","The University of York","1,350","440","1,790"
"","Total","158,375","48,495","206,870"
