﻿Title:,"Table 5 - Research grants and contracts - breakdown by source of income and HESA cost centre"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 5
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre▼101 Clinical medicine,102 Clinical dentistry,103 Nursing & allied health professions,104 Psychology & behavioural sciences,105 Health & community studies,106 Anatomy & physiology,107 Pharmacy & pharmacology,108 Sports science & leisure studies,109 Veterinary science,110 Agriculture, forestry & food science,111 Earth, marine & environmental sciences,112 Biosciences,113 Chemistry,114 Physics,115 General engineering,116 Chemical engineering,117 Mineral, metallurgy & materials engineering,118 Civil engineering,119 Electrical, electronic & computer engineering,120 Mechanical, aero & production engineering,121 IT, systems sciences & computer software engineering,122 Mathematics,123 Architecture, built environment & planning,124 Geography & environmental studies,125 Area studies,126 Archaeology,127 Anthropology & development studies,128 Politics & international studies,129 Economics & econometrics,130 Law,131 Social work & social policy,132 Sociology,133 Business & management studies,134 Catering & hospitality management,135 Education,136 Continuing education,137 Modern languages,138 English language & literature,139 History,140 Classics,141 Philosophy,142 Theology & religious studies,143 Art & design,144 Music, dance, drama & performing arts,145 Media studies,201 Total academic services,202 Central administration & services,203 General educational expenditure,204 Staff & student facilities,207 Total research grants and contracts,Co-investment from external sources on funding council-funded projects (included in Heads 1 to 4 above)Total academic departments,Total administration & central services
,Academic year,2018/19 
,Financial year end,All 
Search:,


"","","","","(£000s)","",""
"UKPRN","HE Provider","Financial Year End","1a Biotechnology and Biological Sciences Research Council (BBSRC)","1b Medical Research Council (MRC)","1c Natural Environment Research Council (NERC)","1d Engineering and Physical Sciences Research Council (EPSRC)","1e Economic and Social Research Council (ESRC)","1f Arts & Humanities Research Council (AHRC)","1g Science & Technology Facilities Council (STFC)","1h UK Research and Innovation","1i Other","1j Total Research Councils"
"10007786","The University of Bristol","2019-07-31","764","7,733","(9)","34","660","0","0","0","41","9,223"
"10000961","Brunel University London","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10000975","Buckinghamshire New University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007788","The University of Cambridge","2019-07-31","1,671","51,652","55","958","116","102","44","438","1,199","56,235"
"10003324","The Institute of Cancer Research","2019-07-31","58","991","0","152","0","0","0","0","0","1,201"
"10001143","Canterbury Christ Church University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007814","Cardiff University","2019-07-31","576","7,540","0","5","151","0","0","0","92","8,364"
"10007854","Cardiff Metropolitan University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007141","The University of Central Lancashire","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007848","University of Chester","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007137","The University of Chichester","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10001386","Chicken Shed Theatre Company","2019-03-31","0","0","0","0","0","0","0","0","0","0"
"10001478","City, University of London","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10001653","Conservatoire for Dance and Drama","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007761","Courtauld Institute of Art","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10001726","Coventry University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007822","Cranfield University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10006427","University for the Creative Arts","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007842","University of Cumbria","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10001883","De Montfort University","2019-07-31","0","0","0","(14)","0","0","0","0","75","61"
"10007851","University of Derby","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007852","The University of Dundee","2019-07-31","294","1,220","0","55","0","0","0","0","44","1,613"
"10007143","University of Durham","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007789","The University of East Anglia","2019-07-31","259","79","0","0","0","0","0","0","0","338"
"10007144","The University of East London","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007823","Edge Hill University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007772","Edinburgh Napier University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007790","The University of Edinburgh","2019-07-31","1,739","26,672","108","1,247","346","0","44","0","0","30,156"
"10007791","The University of Essex","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10008173","University College of Estate Management","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007792","The University of Exeter","2019-07-31","297","1,858","486","101","278","60","23","242","107","3,452"
"10008640","Falmouth University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10004511","The National Film and Television School","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007762","Glasgow Caledonian University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10002681","Glasgow School of Art","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007794","The University of Glasgow","2019-07-31","1,544","23,399","0","1,236","276","24","0","0","398","26,877"
"10007145","University of Gloucestershire","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10002718","Goldsmiths College","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007146","The University of Greenwich","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007825","Guildhall School of Music and Drama","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10040812","Harper Adams University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10080811","Hartpury University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007764","Heriot-Watt University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007147","University of Hertfordshire","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007148","The University of Huddersfield","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007149","The University of Hull","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10003270","Imperial College of Science, Technology and Medicine","2019-07-31","2,813","19,232","284","4,540","547","35","0","0","300","27,751"
"10035638","Institute of Contemporary Music Performance","2019-05-31","0","0","0","0","0","0","0","0","0","0"
"10007767","Keele University","2019-07-31","0","75","0","0","0","0","0","0","0","75"
"10007150","The University of Kent","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10003645","King's College London","2019-07-31","779","17,075","0","2,717","1,199","0","115","0","358","22,243"
"10003678","Kingston University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10003758","LAMDA Limited","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007768","The University of Lancaster","2019-07-31","5","276","0","57","3","0","0","24","0","365"
"10003854","Leeds Arts University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10003861","Leeds Beckett University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10034449","Leeds Conservatoire","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007795","The University of Leeds","2019-07-31","466","2,866","0","502","5","0","8","0","49","3,896"
"10003863","Leeds Trinity University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007796","The University of Leicester","2019-07-31","7","2,550","0","46","127","0","0","0","6","2,736"
"10007151","The University of Lincoln","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10003956","Liverpool Hope University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10003957","Liverpool John Moores University","2019-07-31","0","0","0","0","15","0","0","0","0","15"
"10003945","The Liverpool Institute for Performing Arts","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10006842","The University of Liverpool","2019-07-31","387","2,959","0","879","239","67","0","31","0","4,562"
"10003958","Liverpool School of Tropical Medicine","2019-07-31","391","7,642","73","207","627","0","0","0","116","9,056"
"10007162","University of the Arts, London","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007769","London Business School","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007797","University of London (Institutes and activities)","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10004048","London Metropolitan University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10004078","London South Bank University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10004063","London School of Economics and Political Science","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007771","London School of Hygiene and Tropical Medicine","2019-07-31","1,938","36,619","105","670","2,999","0","0","223","635","43,189"
"10008289","The London Institute of Banking & Finance","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10004113","Loughborough University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10004180","The Manchester Metropolitan University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007798","The University of Manchester","2019-07-31","(882)","7,294","0","766","161","3","265","1,930","11","9,548"
"10030776","St Mellitus College","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10004351","Middlesex University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10023454","Moorlands College","2019-06-30","0","0","0","0","0","0","0","0","0","0"
"10004538","Nazarene Theological College","2019-06-30","0","0","0","0","0","0","0","0","0","0"
"10030129","Nelson College London Ltd","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007799","Newcastle University","2019-07-31","1,000","7,368","0","705","62","0","49","0","72","9,256"
"10048199","Northeastern University London","2019-06-30","0","0","0","0","0","0","0","0","0","0"
"10007138","The University of Northampton","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10001282","University of Northumbria at Newcastle","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10004775","Norwich University of the Arts","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007154","University of Nottingham","2019-07-31","551","4,163","0","573","246","9","33","0","(41)","5,534"
"10004797","The Nottingham Trent University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007773","The Open University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10004930","Oxford Brookes University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007774","The University of Oxford","2019-07-31","2,449","44,878","163","2,150","667","1","0","41","863","51,212"
"10005127","Arts University Plymouth","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007801","University of Plymouth","2019-07-31","13","96","24","0","0","0","0","0","5","138"
"10007155","The University of Portsmouth","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10005337","Queen Margaret University, Edinburgh","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007775","Queen Mary University of London","2019-07-31","1,602","4,780","33","145","97","0","0","0","747","7,404"
"10009292","Royal Academy of Dramatic Art","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10005389","Ravensbourne University London","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007802","The University of Reading","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10005500","Robert Gordon University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007776","Roehampton University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10005523","Rose Bruford College of Theatre and Performance","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007835","Royal Academy of Music","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10005545","Royal Agricultural University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007777","Royal College of Art","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007778","Royal College of Music","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10005561","Royal Conservatoire of Scotland","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007816","The Royal Central School of Speech and Drama","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10005553","Royal Holloway and Bedford New College","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007837","Royal Northern College of Music","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007779","The Royal Veterinary College","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007803","The University of St. Andrews","2019-07-31","17","299","0","0","0","0","0","0","158","474"
"10007839","SAE Education Limited","2019-06-30","0","0","0","0","0","0","0","0","0","0"
"10007782","St George's, University of London","2019-07-31","265","1,648","0","33","0","0","0","0","11","1,957"
"10008026","St Mary's University College","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007843","St Mary's University, Twickenham","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007156","The University of Salford","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007780","SOAS University of London","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10005700","SRUC","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10005790","Sheffield Hallam University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007157","The University of Sheffield","2019-07-31","287","2,405","0","451","18","0","0","0","141","3,302"
"10006022","Solent University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007158","The University of Southampton","2019-07-31","479","4,833","0","418","70","0","0","0","67","5,867"
"10006299","Staffordshire University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007804","The University of Stirling","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10037449","University of St Mark and St John","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10008010","Stranmillis University College","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007805","The University of Strathclyde","2019-07-31","0","24","0","157","0","0","194","0","1","376"
"10014001","University of Suffolk","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007159","The University of Sunderland","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007160","The University of Surrey","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007806","The University of Sussex","2019-07-31","137","100","0","12","34","76","0","0","0","359"
"10007855","Swansea University","2019-07-31","290","1,051","0","511","1,191","0","2","0","7","3,052"
"10007161","Teesside University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10008017","Trinity Laban Conservatoire of Music and Dance","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007858","University of Wales Trinity Saint David","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10068157","University Centre Peterborough","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007114","University of the Highlands and Islands","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007807","Ulster University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007784","University College London","2019-07-31","3,179","41,437","0","1,423","2,512","49","0","0","1,383","49,983"
"10007793","University of South Wales","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10008574","The University of Wales (central functions)","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007163","The University of Warwick","2019-07-31","278","182","0","18","0","0","0","0","14","492"
"10007164","University of the West of England, Bristol","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007800","The University of the West of Scotland","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10006566","The University of West London","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007165","The University of Westminster","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10003614","The University of Winchester","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007166","The University of Wolverhampton","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007139","University of Worcester","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007833","Wrexham University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007657","Writtle University College","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007713","York St John University","2019-07-31","0","0","0","0","0","0","0","0","0","0"
"10007167","The University of York","2019-07-31","96","600","0","0","6","0","0","0","0","702"
"","Total","","26,167","342,893","1,327","20,759","13,867","629","777","2,929","7,316","416,664"
