﻿Title:,"Table 5 - Finances and people"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 5
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","Total income (£)","Teaching income (£)","Research income (£)","Other non-residential income (£)","Non-residential income total (£)","Total expenditure (£)"
"10000975","Buckinghamshire New University","151,458,000","144,315,000","620,000","3,054,000","147,989,000","148,021,000"
"10007788","The University of Cambridge","2,176,880,000","418,609,000","722,314,000","1,031,352,000","2,172,275,000","2,073,300,000"
"10003324","The Institute of Cancer Research","141,974,000","10,541,000","90,234,000","41,199,000","141,974,000","124,584,000"
"10001143","Canterbury Christ Church University","152,126,000","133,467,000","4,723,000","7,348,000","145,538,000","141,196,000"
"10007814","Cardiff University","604,593,000","370,592,000","158,432,000","52,795,000","581,819,000","573,201,000"
"10007854","Cardiff Metropolitan University","122,289,000","103,727,000","3,716,000","10,742,000","118,185,000","119,428,000"
"10007141","The University of Central Lancashire","265,064,000","225,047,000","11,547,000","23,725,000","260,319,000","256,230,000"
"10007848","University of Chester","122,719,000","107,169,000","3,458,000","9,009,000","119,636,000","128,353,000"
"10007137","The University of Chichester","59,828,000","46,862,000","1,491,000","5,271,000","53,624,000","59,762,000"
"10001478","City, University of London","246,458,000","209,003,000","22,597,000","14,699,000","246,299,000","252,621,000"
"10001726","Coventry University","435,633,000","373,814,000","22,145,000","27,343,000","423,302,000","433,668,000"
"10007822","Cranfield University","182,748,000","79,376,000","57,485,000","38,333,000","175,194,000","197,919,000"
"10006427","University for the Creative Arts","78,763,000","70,593,000","585,000","3,885,000","75,063,000","80,075,000"
"10007842","University of Cumbria","61,684,000","55,056,000","745,000","4,310,000","60,111,000","64,259,000"
"10001883","De Montfort University","234,629,000","218,471,000","8,232,000","6,397,000","233,100,000","240,126,000"
"10007851","University of Derby","201,211,000","169,853,000","4,002,000","16,255,000","190,110,000","195,542,000"
"10007852","The University of Dundee","276,222,000","145,274,000","96,439,000","28,647,000","270,360,000","269,544,000"
"10007143","University of Durham","393,481,000","255,949,000","79,568,000","28,365,000","363,882,000","373,798,000"
"10007789","The University of East Anglia","320,021,000","185,492,000","77,724,000","38,560,000","301,776,000","315,923,000"
"10007144","The University of East London","174,851,000","155,446,000","5,305,000","8,789,000","169,540,000","156,437,000"
"10007772","Edinburgh Napier University","131,076,000","115,220,000","6,498,000","5,275,000","126,993,000","133,762,000"
"10007790","The University of Edinburgh","1,187,406,000","581,635,000","413,663,000","147,343,000","1,142,641,000","1,060,066,000"
"10007791","The University of Essex","261,383,000","186,852,000","37,746,000","22,775,000","247,373,000","273,326,000"
"10007792","The University of Exeter","501,572,000","319,581,000","121,944,000","47,358,000","488,883,000","512,915,000"
"10008640","Falmouth University","58,790,000","51,823,000","1,093,000","5,594,000","58,510,000","64,303,000"
"10004511","The National Film and Television School","16,216,000","11,756,000","1,719,000","2,741,000","16,216,000","16,101,000"
"10007762","Glasgow Caledonian University","134,582,000","116,370,000","9,812,000","7,004,000","133,186,000","136,728,000"
"10002681","Glasgow School of Art","38,360,000","31,583,000","4,187,000","1,849,000","37,619,000","46,680,000"
"10007794","The University of Glasgow","813,077,000","412,690,000","251,784,000","128,774,000","793,248,000","695,820,000"
"10002718","Goldsmiths College","126,447,000","101,669,000","13,142,000","6,246,000","121,057,000","139,613,000"
"10007146","The University of Greenwich","231,018,000","192,784,000","19,324,000","8,376,000","220,484,000","221,731,000"
"10007825","Guildhall School of Music and Drama","24,458,000","13,799,000","638,000","9,223,000","23,660,000","25,485,000"
"10007764","Heriot-Watt University","235,069,000","159,922,000","50,773,000","19,264,000","229,959,000","232,870,000"
"10007147","University of Hertfordshire","300,086,000","225,284,000","15,255,000","34,223,000","274,762,000","297,177,000"
"10007148","The University of Huddersfield","179,482,000","150,728,000","19,989,000","8,669,000","179,386,000","174,735,000"
"10007149","The University of Hull","186,543,000","140,546,000","19,398,000","17,693,000","177,637,000","182,208,000"
"10003270","Imperial College of Science, Technology and Medicine","1,079,219,000","434,294,000","468,194,000","146,754,000","1,049,242,000","1,056,374,000"
"10007767","Keele University","170,999,000","103,643,000","32,964,000","24,449,000","161,056,000","155,591,000"
"10007150","The University of Kent","251,015,000","175,998,000","33,893,000","14,908,000","224,799,000","248,541,000"
"10003645","King's College London","1,000,537,000","573,827,000","265,042,000","140,119,000","978,988,000","964,122,000"
"10003678","Kingston University","188,841,000","170,823,000","6,023,000","6,946,000","183,792,000","200,031,000"
"10007768","The University of Lancaster","325,619,000","204,319,000","66,796,000","27,831,000","298,946,000","310,057,000"
"10003861","Leeds Beckett University","232,026,000","197,564,000","7,360,000","13,915,000","218,839,000","251,483,000"
"10007795","The University of Leeds","754,093,000","455,420,000","177,478,000","78,770,000","711,668,000","764,781,000"
"10003863","Leeds Trinity University","45,655,000","42,278,000","181,000","1,033,000","43,492,000","41,122,000"
"10007796","The University of Leicester","316,684,000","193,786,000","81,882,000","27,868,000","303,536,000","309,055,000"
"10007151","The University of Lincoln","211,796,000","151,303,000","20,109,000","25,191,000","196,603,000","188,889,000"
"10003956","Liverpool Hope University","55,012,000","49,667,000","1,449,000","742,000","51,858,000","49,047,000"
"10003957","Liverpool John Moores University","250,091,000","227,927,000","19,752,000","2,330,000","250,009,000","235,486,000"
"10006842","The University of Liverpool","597,594,000","350,982,000","144,662,000","80,746,000","576,390,000","571,818,000"
"10003958","Liverpool School of Tropical Medicine","210,340,000","9,769,000","110,094,000","90,477,000","210,340,000","205,547,000"
"10007162","University of the Arts, London","344,788,000","307,755,000","6,948,000","14,153,000","328,856,000","336,251,000"
"10007797","University of London (Institutes and activities)","167,295,000","93,680,000","1,841,000","45,138,000","140,659,000","173,698,000"
"10004048","London Metropolitan University","110,892,000","103,057,000","1,777,000","6,058,000","110,892,000","115,375,000"
"10004078","London South Bank University","198,845,000","175,809,000","8,560,000","8,086,000","192,455,000","195,903,000"
"10004063","London School of Economics and Political Science","394,805,000","265,301,000","57,381,000","55,257,000","377,939,000","337,414,000"
"10007771","London School of Hygiene and Tropical Medicine","244,208,000","33,682,000","188,517,000","22,009,000","244,208,000","235,232,000"
"10004113","Loughborough University","311,695,000","195,099,000","55,064,000","25,040,000","275,203,000","302,476,000"
"10004180","The Manchester Metropolitan University","369,027,000","316,987,000","19,261,000","21,703,000","357,951,000","361,878,000"
"10007798","The University of Manchester","1,100,321,000","636,753,000","316,162,000","120,723,000","1,073,638,000","1,038,876,000"
"10004351","Middlesex University","205,751,000","174,165,000","9,751,000","17,809,000","201,725,000","208,641,000"
"10007799","Newcastle University","536,379,000","335,364,000","138,300,000","49,609,000","523,273,000","530,603,000"
"10007138","The University of Northampton","130,692,000","106,326,000","1,760,000","14,041,000","122,127,000","134,886,000"
"10001282","University of Northumbria at Newcastle","304,130,000","257,009,000","19,388,000","19,438,000","295,835,000","301,628,000"
"10004775","Norwich University of the Arts","26,521,000","25,022,000","232,000","920,000","26,174,000","21,087,000"
"10007154","University of Nottingham","696,128,000","436,302,000","168,339,000","65,754,000","670,395,000","683,714,000"
"10004797","The Nottingham Trent University","369,528,000","334,810,000","15,361,000","14,396,000","364,567,000","349,822,000"
"10007773","The Open University","561,485,000","487,636,000","23,920,000","49,929,000","561,485,000","519,821,000"
"10004930","Oxford Brookes University","207,164,000","154,214,000","11,893,000","23,223,000","189,330,000","210,673,000"
"10007774","The University of Oxford","2,432,705,000","475,161,000","809,584,000","1,147,503,000","2,432,248,000","2,332,158,000"
"10007801","University of Plymouth","239,437,000","172,138,000","26,006,000","39,573,000","237,717,000","231,894,000"
"10007155","The University of Portsmouth","282,541,000","251,429,000","18,154,000","9,289,000","278,872,000","269,553,000"
"10005337","Queen Margaret University, Edinburgh","44,031,000","33,900,000","4,851,000","1,739,000","40,490,000","45,882,000"
"10007775","Queen Mary University of London","535,272,000","321,865,000","155,884,000","44,566,000","522,315,000","493,883,000"
"10007802","The University of Reading","311,020,000","205,227,000","57,770,000","44,702,000","307,699,000","316,371,000"
"10005500","Robert Gordon University","103,201,000","90,269,000","4,890,000","6,214,000","101,373,000","105,725,000"
"10005523","Rose Bruford College of Theatre and Performance","10,130,000","8,247,000","174,000","566,000","8,987,000","12,095,000"
"10007778","Royal College of Music","28,865,000","20,571,000","1,038,000","7,190,000","28,799,000","26,761,000"
"10007816","The Royal Central School of Speech and Drama","18,833,000","16,478,000","1,369,000","985,000","18,832,000","20,150,000"
"10005553","Royal Holloway and Bedford New College","189,851,000","134,769,000","34,469,000","7,819,000","177,057,000","179,231,000"
"10007803","The University of St. Andrews","290,378,000","149,438,000","64,330,000","56,004,000","269,772,000","249,861,000"
"10007782","St George's, University of London","86,666,000","54,842,000","14,427,000","14,556,000","83,825,000","85,362,000"
"10008026","St Mary's University College","9,505,000","8,971,000","0","521,000","9,492,000","8,946,000"
"10007843","St Mary's University, Twickenham","52,080,000","43,983,000","1,417,000","1,950,000","47,350,000","52,545,000"
"10007156","The University of Salford","230,894,000","202,059,000","10,531,000","11,706,000","224,296,000","214,165,000"
"10007780","SOAS University of London","89,173,000","68,555,000","13,461,000","6,254,000","88,270,000","78,593,000"
"10005700","SRUC","79,743,000","28,224,000","17,825,000","33,425,000","79,474,000","80,625,000"
"10005790","Sheffield Hallam University","300,009,000","271,819,000","19,345,000","8,092,000","299,256,000","301,450,000"
"10007157","The University of Sheffield","744,013,000","420,313,000","209,410,000","89,976,000","719,699,000","708,468,000"
"10006022","Solent University","112,635,000","104,053,000","423,000","3,307,000","107,783,000","112,504,000"
"10007158","The University of Southampton","554,077,000","270,318,000","172,939,000","87,738,000","530,995,000","546,167,000"
"10006299","Staffordshire University","135,462,000","121,728,000","1,728,000","8,241,000","131,697,000","127,720,000"
"10007804","The University of Stirling","124,478,000","84,750,000","25,706,000","6,085,000","116,541,000","112,926,000"
"10037449","University of St Mark and St John","30,531,000","23,801,000","403,000","4,252,000","28,456,000","30,365,000"
"10007805","The University of Strathclyde","347,396,000","192,591,000","112,994,000","37,669,000","343,254,000","356,946,000"
"10014001","University of Suffolk","97,451,000","93,165,000","288,000","3,999,000","97,452,000","86,723,000"
"10007160","The University of Surrey","299,769,000","183,776,000","61,848,000","27,931,000","273,555,000","297,007,000"
"10007855","Swansea University","360,753,000","218,491,000","78,264,000","41,615,000","338,370,000","332,920,000"
"10007161","Teesside University","159,371,000","140,316,000","5,430,000","10,651,000","156,397,000","157,402,000"
"10008017","Trinity Laban Conservatoire of Music and Dance","27,569,000","19,665,000","278,000","5,456,000","25,399,000","26,643,000"
"10007858","University of Wales Trinity Saint David","173,871,000","149,785,000","1,154,000","20,517,000","171,456,000","165,666,000"
"10007807","Ulster University","239,215,000","177,068,000","45,971,000","14,839,000","237,878,000","222,807,000"
"10007784","University College London","1,609,451,000","779,650,000","639,179,000","169,863,000","1,588,692,000","1,510,448,000"
"10007793","University of South Wales","200,212,000","170,480,000","9,581,000","17,800,000","197,861,000","194,434,000"
"10007163","The University of Warwick","703,699,000","415,157,000","181,080,000","71,867,000","668,104,000","627,675,000"
"10007164","University of the West of England, Bristol","333,798,000","269,523,000","21,516,000","26,568,000","317,607,000","312,961,000"
"10007800","The University of the West of Scotland","128,460,000","117,526,000","7,714,000","1,568,000","126,808,000","126,834,000"
"10006566","The University of West London","145,810,000","123,099,000","1,070,000","15,865,000","140,034,000","123,599,000"
"10007165","The University of Westminster","215,802,000","192,908,000","8,601,000","11,023,000","212,532,000","207,798,000"
"10003614","The University of Winchester","84,348,000","71,394,000","1,239,000","2,472,000","75,105,000","79,389,000"
"10007166","The University of Wolverhampton","185,567,000","152,860,000","7,197,000","23,087,000","183,144,000","189,627,000"
"10007139","University of Worcester","93,903,000","83,446,000","1,734,000","3,365,000","88,545,000","94,155,000"
"10007833","Wrexham University","47,052,000","40,634,000","1,367,000","3,984,000","45,985,000","45,321,000"
"10007713","York St John University","71,480,000","63,566,000","918,000","2,732,000","67,216,000","69,388,000"
"10007167","The University of York","413,852,000","250,372,000","95,991,000","33,112,000","379,475,000","422,681,000"
