﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","Female","Male","Unknown","Total"
"10004113","Loughborough University","7,800","11,220","415","19,435"
"10009612","Luther King House Educational Trust","40","30","0","70"
"10042679","International Business College Manchester Limited","10","10","0","20"
"10004180","The Manchester Metropolitan University","22,960","16,070","65","39,095"
"10007798","The University of Manchester","26,720","20,115","30","46,860"
"10009527","Istituto Marangoni Limited","1,195","155","15","1,360"
"10023452","The Markfield Institute of Higher Education","60","35","0","95"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","90","15","0","105"
"10020416","Missio Dei","30","50","0","80"
"10030776","St Mellitus College","190","155","0","345"
"10004320","The Metanoia Institute","350","105","5","460"
"10004351","Middlesex University","10,620","7,280","5","17,910"
"10032277","The Minster Centre","140","40","5","180"
"10049370","MLA College","15","65","20","100"
"10004450","Mountview Academy of Theatre Arts","250","175","10","440"
"10023777","Mont Rose College of Management and Sciences","435","250","0","685"
"10023454","Moorlands College","105","90","0","195"
"10055902","Multiverse","2,065","3,090","15","5,170"
"10001444","National Centre for Circus Arts","45","15","0","65"
"10000216","All Nations Christian College","30","25","0","55"
"10004538","Nazarene Theological College","55","85","0","140"
"10030129","Nelson College London Ltd","850","790","10","1,650"
"10023456","Newbold College","15","55","0","75"
"10007799","Newcastle University","14,930","12,835","85","27,850"
"10067406","New Model Institute for Technology and Engineering (NMITE)","10","40","0","55"
"10048199","Northeastern University London","360","350","25","735"
"10008397","Norland College","270","5","5","275"
"10007138","The University of Northampton","10,855","6,140","5","17,000"
"10009614","Grŵp NPTC Group","35","150","0","190"
"10008816","Northern School of Contemporary Dance","205","55","10","270"
"10004740","Northern College of Acupuncture","135","25","0","160"
"10001282","University of Northumbria at Newcastle","17,625","14,920","20","32,565"
"10004775","Norwich University of the Arts","1,835","995","0","2,835"
"10007154","University of Nottingham","21,110","16,585","190","37,890"
"10004797","The Nottingham Trent University","22,110","18,550","95","40,755"
"10007773","The Open University","89,805","50,340","75","140,215"
"10004930","Oxford Brookes University","10,820","7,665","400","18,885"
"10007774","The University of Oxford","14,265","13,055","20","27,340"
"10066143","Paris Dauphine International","135","65","5","200"
"10083464","Peking University HSBC Business School UK Campus","10","10","0","25"
"10004028","The Place, London Contemporary Dance School (LCDS)","185","40","0","225"
"10005127","Arts University Plymouth","770","260","10","1,035"
"10007801","University of Plymouth","12,295","7,475","60","19,830"
"10019178","Point Blank Music School","145","730","0","875"
"10007155","The University of Portsmouth","12,465","13,665","30","26,160"
"10083476","The Prince's Foundation","25","5","0","25"
"10005337","Queen Margaret University, Edinburgh","5,290","1,475","25","6,790"
"10007775","Queen Mary University of London","14,155","12,460","75","26,690"
"10025197","University Centre Quayside Limited","65","95","0","155"
"10009292","Royal Academy of Dramatic Art","110","65","5","175"
"10005544","Royal Academy of Dance","240","10","0","245"
"10005378","Rambert School","90","50","10","145"
"10005389","Ravensbourne University London","1,925","2,105","50","4,080"
"10005470","Richmond, The American International University in London","435","380","105","915"
"10007802","The University of Reading","10,290","8,830","365","19,485"
"10086591","Regent's University London Limited","1,240","910","0","2,150"
"10021100","Regents Theological College","75","70","0","140"
"10023871","Results Consortium Limited","260","185","0","445"
"10062833","Raindance Educational Services Limited","20","30","0","50"
"10008455","Regent College London","2,175","1,845","5","4,025"
"10005500","Robert Gordon University","9,745","5,900","185","15,825"
"10007776","Roehampton University","7,235","5,540","25","12,795"
"10005523","Rose Bruford College of Theatre and Performance","585","420","20","1,025"
"10007835","Royal Academy of Music","375","405","0","785"
"10005545","Royal Agricultural University","580","515","0","1,100"
"10007777","Royal College of Art","2,110","855","20","2,985"
"10007778","Royal College of Music","495","435","5","935"
"10005561","Royal Conservatoire of Scotland","745","495","15","1,260"
"10007816","The Royal Central School of Speech and Drama","715","300","0","1,010"
"10005553","Royal Holloway and Bedford New College","7,380","5,620","5","13,005"
"10007837","Royal Northern College of Music","410","470","10","890"
"10007779","The Royal Veterinary College","2,075","470","0","2,550"
"10007803","The University of St. Andrews","7,150","4,970","40","12,160"
"10007839","SAE Education Limited","170","545","15","730"
"10007782","St George's, University of London","2,615","1,300","0","3,920"
"10008026","St Mary's University College","720","285","5","1,005"
"10007843","St Mary's University, Twickenham","3,350","3,195","10","6,555"
"10007156","The University of Salford","14,715","11,205","335","26,260"
"10021256","The Salvation Army","25","20","0","45"
"10008362","London School of Science and Technology Limited","25","25","0","50"
"10007780","SOAS University of London","3,835","2,230","5","6,075"
"10005700","SRUC","1,075","635","10","1,720"
"10005790","Sheffield Hallam University","19,915","15,345","80","35,340"
"10007157","The University of Sheffield","16,680","14,735","60","31,475"
"10023458","The Sherwood Psychotherapy Training Institute Limited","195","40","5","240"
"10006022","Solent University","4,420","4,920","25","9,370"
"10007158","The University of Southampton","14,150","11,795","10","25,955"
"10006093","Spurgeon's College","100","115","0","215"
"10006299","Staffordshire University","10,185","11,225","35","21,445"
"10008098","Study Group","860","1,305","0","2,165"
"10007804","The University of Stirling","8,035","5,315","40","13,390"
"10037449","University of St Mark and St John","1,600","1,075","0","2,680"
"10008010","Stranmillis University College","1,115","265","15","1,390"
"10007805","The University of Strathclyde","12,855","11,815","185","24,860"
"10014001","University of Suffolk","7,475","6,220","10","13,700"
"10007159","The University of Sunderland","13,030","8,290","35","21,350"
"10007160","The University of Surrey","8,620","6,995","30","15,645"
"10007806","The University of Sussex","11,100","8,910","20","20,035"
"10007855","Swansea University","10,685","10,730","100","21,510"
"10083403","The Engineering and Design Institute London","30","40","0","70"
"10007161","Teesside University","14,360","10,655","40","25,055"
"10082743","ThinkSpace Education Limited","20","110","0","130"
"10008017","Trinity Laban Conservatoire of Music and Dance","780","440","5","1,230"
"10007858","University of Wales Trinity Saint David","9,350","7,335","30","16,720"
"10068157","University Centre Peterborough","535","190","0","725"
"10007114","University of the Highlands and Islands","6,115","3,475","65","9,655"
"10007807","Ulster University","17,675","14,220","190","32,085"
"10039956","The University of Law","10,985","5,300","30","16,310"
"10007784","University College London","31,860","19,855","95","51,810"
"10007793","University of South Wales","13,960","11,770","450","26,180"
"10029843","Waltham International College Limited","15","15","0","35"
"10007163","The University of Warwick","14,490","14,290","295","29,075"
"10007361","Waverley Abbey College","200","40","0","240"
"10007164","University of the West of England, Bristol","21,040","17,735","50","38,820"
"10007800","The University of the West of Scotland","12,135","7,405","10","19,555"
"10032288","West Dean College","220","45","5","270"
"10006566","The University of West London","10,445","8,805","125","19,375"
"10007165","The University of Westminster","12,640","9,140","25","21,805"
"10003614","The University of Winchester","5,335","2,615","110","8,065"
"10007166","The University of Wolverhampton","13,400","6,775","30","20,200"
"10007139","University of Worcester","6,920","2,610","40","9,565"
"10007833","Wrexham University","5,095","3,420","30","8,545"
"10007657","Writtle University College","660","135","0","795"
"10007713","York St John University","5,690","3,535","45","9,275"
"10007167","The University of York","12,705","9,750","50","22,510"
"","Total","1,668,600","1,251,815","16,740","2,937,155"
