﻿Title:,"Table 1 - Buildings and spaces"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2016/17 
Search:,


"UKPRN","HE provider","Total number of sites","Total number of buildings","Total site area (hectares)","Total grounds area (hectares)","Total playing fields area (hectares)","Total gross internal area (m2)","Total number of car parking spaces","Total number of cycle spaces"
"10007779","The Royal Veterinary College","3","143","244.000","18.000","6.000","50,752.000","784","91"
"10007803","The University of St. Andrews","1","145","53.687","44.550","22.260","264,011.400","1,324","1,869"
"10007782","St George's, University of London","1","9","2.270","0.710","0.000","69,340.050","86","409"
"10008026","St Mary's University College","1","4","","0.000","0.000","14,585.000","184",""
"10007843","St Mary's University, Twickenham","3","50","17.230","9.930","10.000","50,738.000","274","247"
"10007156","The University of Salford","4","26","48.000","41.000","20.000","157,932.000","2,390","410"
"10007780","SOAS University of London","2","8","4.854","0.000","0.000","48,694.330","4","40"
"10005700","SRUC","11","325","","","","158,475.830","",""
"10005790","Sheffield Hallam University","3","70","34.320","20.260","8.610","192,596.160","392","692"
"10007157","The University of Sheffield","20","351","132.267","99.190","14.889","539,404.850","2,035","2,291"
"10006022","Solent University","4","44","31.420","21.340","6.350","131,234.000","934","487"
"10007158","The University of Southampton","14","414","99.582","58.250","25.300","438,712.000","3,114","4,154"
"10006299","Staffordshire University","3","59","52.000","44.400","3.420","105,469.000","1,624","568"
"10007804","The University of Stirling","1","42","135.200","133.000","18.100","162,975.520","1,861","575"
"10037449","University of St Mark and St John","1","62","17.790","10.460","5.000","34,443.000","604","98"
"10008010","Stranmillis University College","1","20","","","","34,722.000","",""
"10007805","The University of Strathclyde","5","50","96.530","78.140","18.390","332,286.000","504","322"
"10014001","University of Suffolk","1","12","7.100","7.100","0.000","27,996.000","516","176"
"10007159","The University of Sunderland","9","34","28.010","22.430","0.000","135,785.580","1,453","297"
"10007160","The University of Surrey","3","300","85.660","57.880","18.740","287,558.390","2,015","1,974"
"10007806","The University of Sussex","1","112","95.380","63.791","7.670","249,223.000","1,908","1,853"
"10007855","Swansea University","4","142","49.246","49.246","7.140","247,121.500","1,700","980"
"10007161","Teesside University","3","94","40.510","17.451","22.721","151,088.490","1,662","349"
"10008017","Trinity Laban Conservatoire of Music and Dance","3","4","1.600","0.380","0.000","18,836.600","87","32"
"10007858","University of Wales Trinity Saint David","6","118","69.280","37.291","9.000","127,845.000","",""
"10007114","University of the Highlands and Islands","64","113","143.000","143.000","0.000","160,393.000","831","100"
"10007807","Ulster University","","78","202.229","80.000","30.670","240,510.090","4,936","377"
"10007784","University College London","","216","52.350","16.000","36.000","561,128.000","","1,584"
"10007793","University of South Wales","9","130","49.000","37.043","16.000","220,636.910","3,246","497"
"10007163","The University of Warwick","4","423","491.440","154.130","45.193","493,973.558","5,230","3,000"
"10007164","University of the West of England, Bristol","6","266","84.772","80.780","0.952","280,192.670","3,500","1,200"
"10007800","The University of the West of Scotland","6","56","41.977","21.452","3.791","128,256.970","1,483","321"
"10006566","The University of West London","4","9","2.423","2.043","0.000","49,418.650","140","146"
"10007165","The University of Westminster","12","40","27.000","11.700","10.000","171,171.000","545","351"
"10003614","The University of Winchester","3","59","13.000","8.000","4.000","70,124.000","508","230"
"10007166","The University of Wolverhampton","4","84","37.821","18.646","6.586","176,460.000","1,890","205"
"10007139","University of Worcester","9","62","86.212","72.482","23.268","86,212.610","1,159","775"
"10007833","Wrexham University","7","30","62.130","40.330","4.000","58,204.000","1,368","72"
"10007657","Writtle University College","5","87","220.000","150.420","8.000","40,330.000","634","253"
"10007713","York St John University","10","72","40.480","28.564","8.690","80,883.130","300","782"
"10007167","The University of York","3","245","189.000","159.000","19.580","380,912.000","2,449","3,008"
