﻿Title:,"Table 1 - Buildings and spaces"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","Total number of sites","Total number of buildings","Total site area (hectares)","Total grounds area (hectares)","Total playing fields area (hectares)","Total gross internal area (m2)","Total number of car parking spaces","Total number of cycle spaces"
"10004930","Oxford Brookes University","7","153","79.200","56.300","13.600","215,418.000","1,217","870"
"10007774","The University of Oxford","13","257","534.804","497.140","11.100","676,125.098","1,845","4,820"
"10007801","University of Plymouth","11","100","19.050","12.240","0.000","185,845.800","474","575"
"10007155","The University of Portsmouth","","89","70.976","20.391","25.282","178,587.140","1,180","1,566"
"10005337","Queen Margaret University, Edinburgh","1","14","16.025","15.052","0.133","46,416.580","431","283"
"10007775","Queen Mary University of London","4","92","27.364","7.395","13.000","265,448.300","235","1,013"
"10007802","The University of Reading","3","190","130.900","122.800","22.570","204,502.820","2,256","3,518"
"10005500","Robert Gordon University","3","32","56.425","17.000","0.000","106,562.000","1,112","298"
"10005523","Rose Bruford College of Theatre and Performance","2","9","6.000","2.000","2.000","13,707.000","116","140"
"10007777","Royal College of Art","3","14","2.147","2.147","0.000","51,081.570","14","56"
"10007778","Royal College of Music","","","","","","16,670.200","",""
"10007816","The Royal Central School of Speech and Drama","2","7","0.620","0.620","0.000","10,634.000","2","60"
"10005553","Royal Holloway and Bedford New College","3","124","77.930","68.880","3.340","187,735.220","1,390","883"
"10007803","The University of St. Andrews","1","147","53.687","44.500","22.600","286,622.080","1,386","2,036"
"10007782","St George's, University of London","1","9","2.270","0.710","0.000","70,459.120","83","200"
"10008026","St Mary's University College","1","4","","","0.000","14,810.000","184",""
"10007843","St Mary's University, Twickenham","6","51","17.230","9.930","10.000","48,420.000","339","251"
"10007156","The University of Salford","3","27","32.000","32.000","10.000","154,250.000","2,401","379"
"10007780","SOAS University of London","2","6","3.971","0.000","0.000","39,718.300","0","400"
"10005700","SRUC","9","258","","","","128,735.000","",""
"10005790","Sheffield Hallam University","3","67","34.230","20.470","8.610","196,529.900","343","732"
"10007157","The University of Sheffield","21","243","144.150","112.190","8.800","524,719.680","2,556","2,946"
"10006022","Solent University","","","","","","105,689.000","",""
"10007158","The University of Southampton","13","406","105.603","54.980","25.300","474,677.559","3,253","6,026"
"10006299","Staffordshire University","3","43","52.000","42.000","3.420","107,239.000","1,593","580"
"10007804","The University of Stirling","4","63","135.200","133.000","18.100","177,543.000","1,931","433"
"10037449","University of St Mark and St John","1","63","17.790","10.460","5.000","34,988.000","670","110"
"10007805","The University of Strathclyde","6","54","98.180","79.790","18.390","372,451.000","575","700"
"10014001","University of Suffolk","1","10","7.100","7.100","0.000","31,496.800","471","192"
"10007159","The University of Sunderland","7","35","25.100","19.600","0.080","138,192.230","",""
"10007160","The University of Surrey","3","316","95.840","67.040","16.550","324,152.570","2,183","2,694"
"10007806","The University of Sussex","1","97","95.380","63.791","7.670","306,248.830","1,462","2,155"
"10007855","Swansea University","4","101","66.212","38.435","5.270","261,217.480","1,776","1,020"
"10007161","Teesside University","4","97","41.246","18.432","22.721","168,648.900","1,334","411"
"10008017","Trinity Laban Conservatoire of Music and Dance","3","4","1.600","0.380","0.000","18,836.600","87","32"
"10007858","University of Wales Trinity Saint David","13","115","30.680","16.140","2.970","146,762.210","1,362","184"
"10007807","Ulster University","6","52","175.170","80.000","30.670","249,544.820","4,936","377"
"10007784","University College London","","240","69.435","4.200","36.000","694,356.070","","2,457"
"10007793","University of South Wales","9","85","49.730","49.730","16.000","180,587.050","2,736","229"
"10007163","The University of Warwick","4","418","237.710","169.700","35.600","579,302.640","6,466","3,700"
"10007164","University of the West of England, Bristol","6","270","74.451","58.622","2.757","308,832.620","3,290","1,279"
"10007800","The University of the West of Scotland","6","57","43.600","21.046","0.500","128,867.170","1,484","321"
"10006566","The University of West London","7","13","8.668","2.223","0.000","54,658.300","128","192"
"10007165","The University of Westminster","10","36","11.630","7.520","0.000","155,914.070","388","351"
"10003614","The University of Winchester","3","62","17.100","12.200","4.500","77,799.000","491","257"
"10007139","University of Worcester","10","75","70.140","30.940","21.820","87,405.120","1,361","815"
"10007833","Wrexham University","7","29","54.550","21.000","2.000","58,593.000","1,340","72"
"10007713","York St John University","9","59","35.130","25.654","6.250","73,347.075","317","782"
"10007167","The University of York","3","436","217.665","184.613","14.521","385,148.129","2,191","5,555"
