﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2017/18 
Search:,


"UKPRN","HE provider","Wholly general financed by the provider","All other sources of finance","Total academic staff"
"10007144","The University of East London","855","0","860"
"10007823","Edge Hill University","1,030","0","1,030"
"10007772","Edinburgh Napier University","895","0","895"
"10007790","The University of Edinburgh","4,465","2,535","7,000"
"10007791","The University of Essex","1,125","185","1,310"
"10007792","The University of Exeter","1,570","690","2,260"
"10008640","Falmouth University","285","15","295"
"10004511","The National Film and Television School","25","0","25"
"10007762","Glasgow Caledonian University","710","70","780"
"10002681","Glasgow School of Art","235","0","235"
"10007794","The University of Glasgow","2,655","1,315","3,970"
"10007145","University of Gloucestershire","630","0","630"
"10002718","Goldsmiths College","1,060","45","1,110"
"10007146","The University of Greenwich","1,250","20","1,270"
"10007825","Guildhall School of Music and Drama","695","0","695"
"10040812","Harper Adams University","180","0","180"
"10007764","Heriot-Watt University","595","245","840"
"10007147","University of Hertfordshire","1,835","90","1,925"
"10007765","Heythrop College","45","0","45"
"10007148","The University of Huddersfield","915","0","920"
"10007149","The University of Hull","950","75","1,025"
"10003270","Imperial College of Science, Technology and Medicine","1,410","2,865","4,275"
"10007767","Keele University","655","175","830"
"10007150","The University of Kent","1,295","175","1,470"
"10003645","King's College London","3,055","1,910","4,970"
"10003678","Kingston University","840","175","1,015"
"10007768","The University of Lancaster","1,755","350","2,105"
"10003854","Leeds Arts University","160","0","160"
"10003861","Leeds Beckett University","1,265","110","1,375"
"10007795","The University of Leeds","2,715","790","3,500"
"10003863","Leeds Trinity University","175","0","175"
"10007796","The University of Leicester","1,210","465","1,675"
"10007151","The University of Lincoln","1,185","75","1,260"
"10003956","Liverpool Hope University","320","0","320"
"10003957","Liverpool John Moores University","1,440","105","1,545"
"10003945","The Liverpool Institute for Performing Arts","80","0","80"
"10006842","The University of Liverpool","1,770","1,160","2,935"
"10003958","Liverpool School of Tropical Medicine","35","180","215"
"10007162","University of the Arts, London","2,230","0","2,230"
"10007769","London Business School","115","0","115"
"10007797","University of London (Institutes and activities)","65","30","95"
"10004048","London Metropolitan University","435","0","435"
"10004078","London South Bank University","1,115","0","1,115"
"10004063","London School of Economics and Political Science","1,725","0","1,725"
"10007771","London School of Hygiene and Tropical Medicine","270","485","755"
"10004113","Loughborough University","1,275","335","1,610"
"10004180","The Manchester Metropolitan University","2,435","125","2,560"
"10007798","The University of Manchester","2,870","2,250","5,120"
"10004351","Middlesex University","1,030","25","1,055"
"10007799","Newcastle University","2,770","210","2,980"
"10007138","The University of Northampton","825","0","825"
"10001282","University of Northumbria at Newcastle","1,375","45","1,420"
"10004775","Norwich University of the Arts","205","0","205"
"10007154","University of Nottingham","2,255","1,140","3,395"
"10004797","The Nottingham Trent University","1,960","90","2,045"
"10007773","The Open University","4,875","130","5,005"
"10004930","Oxford Brookes University","1,370","40","1,415"
"10007774","The University of Oxford","2,095","4,535","6,630"
"10005127","Arts University Plymouth","135","0","135"
"10007801","University of Plymouth","1,140","165","1,300"
"10007155","The University of Portsmouth","1,680","10","1,690"
"10005337","Queen Margaret University, Edinburgh","260","0","260"
"10007775","Queen Mary University of London","2,235","860","3,095"
"10005389","Ravensbourne University London","205","0","205"
"10007802","The University of Reading","1,440","350","1,795"
"10005500","Robert Gordon University","705","0","705"
"10007776","Roehampton University","600","0","600"
"10005523","Rose Bruford College of Theatre and Performance","80","0","80"
"10007835","Royal Academy of Music","290","0","290"
"10005545","Royal Agricultural University","60","0","60"
"10007777","Royal College of Art","175","0","175"
"10007778","Royal College of Music","285","10","290"
"10005561","Royal Conservatoire of Scotland","325","0","325"
"10007816","The Royal Central School of Speech and Drama","75","0","75"
"10005553","Royal Holloway and Bedford New College","1,035","145","1,185"
"10007837","Royal Northern College of Music","310","0","310"
"10007779","The Royal Veterinary College","245","50","295"
"10007803","The University of St. Andrews","945","225","1,175"
"10007782","St George's, University of London","310","225","535"
"10008026","St Mary's University College","60","0","60"
"10007843","St Mary's University, Twickenham","425","0","425"
"10007156","The University of Salford","995","0","995"
"10007780","SOAS University of London","795","35","835"
"10005700","SRUC","295","0","295"
"10005790","Sheffield Hallam University","1,890","135","2,025"
"10007157","The University of Sheffield","1,685","1,595","3,280"
"10006022","Solent University","705","0","705"
"10007158","The University of Southampton","1,785","1,105","2,890"
"10006299","Staffordshire University","890","0","895"
"10007804","The University of Stirling","715","265","980"
"10037449","University of St Mark and St John","85","0","85"
"10008010","Stranmillis University College","50","0","50"
"10007805","The University of Strathclyde","1,060","605","1,665"
"10014001","University of Suffolk","175","15","190"
"10007159","The University of Sunderland","740","30","770"
"10007160","The University of Surrey","1,175","305","1,480"
"10007806","The University of Sussex","1,610","395","2,010"
"10007855","Swansea University","1,170","415","1,585"
"10007161","Teesside University","455","255","710"
"10008017","Trinity Laban Conservatoire of Music and Dance","405","0","405"
"10007858","University of Wales Trinity Saint David","720","30","745"
"10007114","University of the Highlands and Islands","60","15","75"
"10007807","Ulster University","1,160","100","1,265"
"10007784","University College London","4,760","2,915","7,675"
"10007793","University of South Wales","1,660","50","1,710"
"10008574","The University of Wales (central functions)","25","10","35"
"10007163","The University of Warwick","1,850","1,060","2,910"
"10007164","University of the West of England, Bristol","1,670","110","1,780"
"10007800","The University of the West of Scotland","580","20","600"
"10006566","The University of West London","945","45","990"
"10007165","The University of Westminster","1,590","20","1,610"
"10003614","The University of Winchester","710","15","720"
"10007166","The University of Wolverhampton","890","5","895"
"10007139","University of Worcester","915","0","915"
"10007833","Wrexham University","210","5","215"
"10007657","Writtle University College","105","0","105"
"10007713","York St John University","340","0","340"
"10007167","The University of York","1,380","480","1,860"
"","Total","163,010","48,970","211,980"
