﻿Title:,"Table 49 - HE student enrolments by HE provider and subject of study"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 49
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","01 Medicine and dentistry","02 Subjects allied to medicine","03 Biological and sport sciences","04 Psychology","05 Veterinary sciences","06 Agriculture, food and related studies","07 Physical sciences","09 Mathematical sciences","10 Engineering and technology","11 Computing","13 Architecture, building and planning","26 Geography, earth and environmental studies (natural sciences)","15 Social sciences","16 Law","17 Business and management","19 Language and area studies","20 Historical, philosophical and religious studies","22 Education and teaching","23 Combined and general studies","24 Media, journalism and communications","25 Design, and creative and performing arts","26 Geography, earth and environmental studies (social sciences)","Total"
"10005343","Queen's University Belfast","2,075","4,540","840","880","0","375","710","585","2,140","2,540","625","350","2,195","1,320","2,895","890","650","815","50","160","625","100","25,365"
"10037544","BIMM University","0","0","0","0","0","0","0","0","120","0","0","0","0","0","435","0","0","55","0","20","5,610","0","6,235"
"10007760","Birkbeck College","0","350","410","1,905","0","0","110","320","0","1,165","0","235","1,630","845","1,800","1,055","1,280","185","65","420","135","165","12,070"
"10007140","Birmingham City University","0","7,575","390","1,150","0","20","0","10","1,310","1,950","1,260","0","2,240","1,580","4,875","270","0","2,065","130","890","3,280","0","28,995"
"10006840","The University of Birmingham","2,875","2,825","2,015","1,255","0","65","1,450","860","3,605","1,485","185","1,060","5,245","1,610","5,035","2,475","2,385","2,280","300","65","595","80","37,750"
"10000712","University College Birmingham","0","320","525","0","0","705","0","0","0","0","520","0","650","0","1,890","0","0","120","5","0","535","0","5,270"
"10007832","Birmingham Newman University","0","315","105","255","0","0","0","25","0","20","0","0","385","35","85","80","320","1,165","20","0","30","0","2,845"
"10000894","Bristol Baptist College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","0","0","0","0","0","60"
"10007811","Bishop Grosseteste University","0","65","60","130","0","0","0","5","0","0","0","0","215","0","80","75","120","1,615","35","0","50","10","2,465"
"10004061","Bloomsbury Institute","0","0","0","0","0","0","0","0","0","0","0","0","0","140","830","0","0","0","0","0","0","0","970"
"10006841","The University of Bolton","0","1,985","310","420","0","0","0","10","865","710","60","5","1,620","175","2,580","95","0","610","10","50","1,070","0","10,575"
"10000385","The Arts University Bournemouth","0","0","0","0","0","0","0","0","0","0","135","0","0","0","110","80","0","0","0","0","3,195","0","3,520"
"10000824","Bournemouth University","0","3,400","830","1,115","0","0","450","0","400","2,095","0","185","1,305","585","4,285","255","570","5","40","920","1,205","55","17,700"
"10031982","BPP University","25","700","0","360","0","25","0","0","0","310","0","0","130","8,000","5,405","0","0","20","50","0","0","0","15,030"
"10007785","The University of Bradford","0","4,595","385","345","0","0","290","0","875","610","0","0","1,070","425","1,650","0","5","0","0","70","20","0","10,345"
"10000886","The University of Brighton","615","4,025","800","570","0","0","100","120","835","580","590","295","1,580","415","2,070","490","235","1,455","240","755","1,955","60","17,785"
"10000936","The University College of Osteopathy","0","440","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","440"
"10007786","The University of Bristol","2,055","1,500","1,440","890","1,070","55","1,750","1,380","3,090","1,000","0","1,115","3,965","1,800","2,580","1,885","1,960","1,330","220","0","680","35","29,785"
"10028216","Brit College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","25"
"10023464","Trinity College Bristol","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","160","0","0","0","0","0","160"
"10000961","Brunel University London","5","1,230","1,500","1,245","0","0","0","365","3,065","1,820","0","90","1,605","1,105","3,890","280","145","670","80","250","395","5","17,745"
"10000975","Buckinghamshire New University","15","3,115","795","330","0","0","0","0","115","320","0","0","1,715","300","9,810","0","0","440","0","440","575","0","17,970"
"10007787","The University of Buckingham","605","65","0","200","0","0","50","0","0","260","0","0","155","320","360","110","150","1,005","5","15","10","0","3,310"
"10019368","London College of Business Studies","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","115","0","130"
"10007788","The University of Cambridge","1,775","775","1,160","325","385","0","1,425","1,170","2,700","645","505","895","2,210","995","900","2,295","2,410","1,245","5","60","245","35","22,155"
"10032072","The Cambridge Theological Federation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","155","0","0","0","0","0","155"
"10003324","The Institute of Cancer Research","305","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","305"
"10001143","Canterbury Christ Church University","85","3,240","660","720","0","85","165","15","135","410","0","40","1,280","750","3,430","325","390","3,355","245","300","725","0","16,355"
"10007814","Cardiff University","2,880","4,925","1,725","1,140","0","0","1,425","830","2,105","1,475","1,420","670","3,040","1,595","3,115","2,295","1,475","430","1,335","1,035","270","335","33,510"
"10007854","Cardiff Metropolitan University","0","930","2,385","595","0","140","0","0","185","855","155","0","835","80","2,680","120","0","1,310","25","50","1,095","0","11,435"
"10057213","CEG UFP Limited","0","0","5","5","0","0","0","0","70","0","0","0","20","0","370","0","0","0","0","0","5","0","480"
"10007141","The University of Central Lancashire","1,735","6,650","1,020","1,115","0","10","1,015","70","1,745","1,310","560","45","3,085","1,970","3,515","1,125","290","515","20","360","1,790","5","27,945"
"10024024","Central Film School London","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","0","0","70"
"10007848","University of Chester","425","3,045","585","820","0","550","130","70","235","290","0","145","1,035","690","2,420","435","580","1,565","220","145","825","0","14,210"
"10007137","The University of Chichester","0","205","850","210","0","0","0","40","110","90","0","0","625","30","630","185","220","730","0","80","1,930","0","5,945"
"10001386","Chicken Shed Theatre Company","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","0","95"
"10001546","The College of Integrated Chinese Medicine","0","190","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190"
"10001419","Christie's Education Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","0","25","0","0","0","0","0","45"
"10026921","Christ the Redeemer College","0","5","0","0","0","0","0","0","0","0","0","0","0","0","65","0","115","0","25","5","0","0","220"
"10010213","The City College","0","65","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","5","0","0","0","0","70"
"10001478","City, University of London","0","4,110","0","950","0","0","5","495","1,745","1,310","0","0","2,475","3,070","5,625","160","100","160","25","940","160","0","21,325"
"10007912","Cliff College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","145","0","0","0","0","0","145"
"10066502","The College of Health Ltd","0","285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","285"
"10023442","The College of Osteopaths","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40"
"10001653","Conservatoire for Dance and Drama","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","1,040","0","1,050"
"10081618","The Council of the Inns of Court","0","0","0","0","0","0","0","0","0","0","0","0","0","85","0","0","0","0","0","0","0","0","85"
"10007761","Courtauld Institute of Art","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","570","0","0","0","0","0","570"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","40"
"10001726","Coventry University","0","5,505","1,245","1,965","0","55","335","315","4,900","2,240","1,005","265","3,405","1,530","12,500","330","120","795","130","735","1,730","65","39,170"
"10007822","Cranfield University","0","0","0","0","0","25","80","20","2,715","300","0","85","10","0","1,800","0","0","0","0","0","0","15","5,055"
"10006427","University for the Creative Arts","0","0","0","0","0","0","0","0","0","280","285","0","0","0","1,970","130","0","0","0","80","5,675","0","8,420"
"10007842","University of Cumbria","0","3,995","315","210","0","85","70","0","140","0","0","40","665","185","1,125","35","145","1,785","15","0","455","10","9,280"
"10026767","Dartington Hall Trust (The)","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","15","0","0","45","0","35","0","115"
"10015688","David Game College Ltd","0","0","0","0","0","0","0","0","0","0","0","0","95","0","80","0","0","0","0","0","25","0","195"
"10001883","De Montfort University","0","4,610","30","1,115","0","0","660","75","1,570","2,420","615","0","2,315","1,965","6,120","400","190","490","0","955","3,960","45","27,535"
"10007851","University of Derby","0","4,725","1,310","1,630","0","0","370","75","1,445","855","370","360","2,220","935","2,605","215","155","1,820","430","570","1,185","5","21,285"
"10007852","The University of Dundee","2,275","3,400","515","645","0","0","175","230","615","495","415","255","710","965","1,530","555","405","1,200","220","155","1,390","85","16,230"
"10007143","University of Durham","0","0","1,010","840","0","0","2,235","1,000","725","555","0","690","2,805","1,255","3,135","1,865","2,440","970","305","0","280","530","20,645"
"10007789","The University of East Anglia","1,140","3,320","1,170","1,170","0","0","450","230","220","765","0","615","3,050","720","2,240","1,285","1,015","785","45","475","150","130","18,975"
"10007144","The University of East London","0","2,235","720","1,800","0","0","145","0","750","2,030","765","0","1,610","505","3,710","55","0","1,275","0","345","1,445","0","17,395"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","365","0","0","0","0","0","365"
"10007823","Edge Hill University","75","4,450","1,190","715","0","5","0","195","50","500","0","115","1,265","445","970","635","165","2,905","35","270","590","40","14,610"
"10007772","Edinburgh Napier University","0","3,145","805","265","215","0","0","0","815","2,125","820","0","720","330","3,715","435","0","85","125","350","920","0","14,870"
"10007790","The University of Edinburgh","2,000","1,375","2,535","1,325","1,020","325","1,790","1,350","2,505","2,185","905","875","4,055","1,620","2,460","2,715","3,525","2,260","515","235","1,800","455","37,830"
"10022047","Empire College London Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","145","0","0","25","5","0","0","0","170"
"10042570","Escape Studios","0","0","0","0","0","0","0","0","0","475","0","0","0","60","845","0","0","0","15","0","0","0","1,395"
"10007791","The University of Essex","5","2,200","1,075","2,135","0","0","0","565","895","700","0","0","3,430","1,695","2,920","810","520","225","300","140","855","0","18,465"
"10008173","University College of Estate Management","0","0","0","0","0","0","0","0","0","0","2,105","0","0","0","915","0","0","0","0","0","0","0","3,015"
"10002313","ESCP Europe Business School","0","0","0","0","0","0","0","0","0","0","0","0","0","0","535","0","0","0","0","0","0","0","535"
"10007792","The University of Exeter","1,340","1,420","2,180","1,970","0","15","695","990","1,500","935","0","655","3,755","1,635","4,630","2,760","2,315","1,480","700","200","375","690","30,240"
"10008640","Falmouth University","0","0","0","0","0","0","0","0","0","670","95","0","0","0","695","315","0","65","70","415","3,840","0","6,170"
"10033187","Fairfield School of Business Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","30"
"10045476","Met Film School Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","0","0","0","0","385","0","430"
"10004511","The National Film and Television School","0","0","0","0","0","0","0","0","0","20","0","0","0","0","20","0","0","0","0","65","435","0","540"
"10038763","ForMission Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","0","0","0","0","0","85"
"10022087","Futureworks","0","0","0","0","0","0","0","0","45","135","0","0","0","0","0","0","0","0","0","0","235","0","415"
"10042500","Global Banking School Limited","0","0","0","0","0","0","0","0","0","0","0","0","120","0","1,520","0","0","0","0","0","0","0","1,640"
"10007762","Glasgow Caledonian University","125","6,590","150","530","0","65","175","0","1,790","1,365","1,280","0","1,310","345","4,360","60","0","0","40","445","390","0","19,030"
"10002681","Glasgow School of Art","0","10","0","0","0","0","0","0","80","70","480","0","30","0","0","10","245","25","135","15","1,265","0","2,365"
"10007794","The University of Glasgow","3,125","1,440","2,105","1,495","870","140","1,425","1,050","3,040","2,065","205","565","3,810","1,615","3,910","2,805","2,590","3,250","65","225","1,095","260","37,145"
"10007145","University of Gloucestershire","0","895","1,010","480","0","0","0","0","40","640","135","55","860","110","1,065","175","125","775","90","265","1,455","25","8,190"
"10002718","Goldsmiths College","0","305","0","965","0","0","0","0","0","975","40","0","1,885","95","655","555","620","755","55","1,015","1,920","0","9,830"
"10030408","Gower College Swansea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65","0","0","0","0","0","0","0","65"
"10007146","The University of Greenwich","0","4,000","1,100","970","0","495","295","235","1,465","1,985","950","25","1,505","600","5,910","355","95","1,640","0","110","1,025","0","22,760"
"10007825","Guildhall School of Music and Drama","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,065","0","1,065"
"10040812","Harper Adams University","0","0","235","0","240","4,345","0","0","105","35","45","45","0","0","80","0","0","0","0","0","0","0","5,135"
"10080811","Hartpury University","0","0","600","0","265","1,195","0","0","0","0","0","0","0","0","135","0","0","0","0","0","0","0","2,200"
"10007764","Heriot-Watt University","0","0","440","365","0","160","600","780","2,635","685","1,115","155","280","15","2,610","660","0","40","0","0","665","0","11,200"
"10007147","University of Hertfordshire","470","7,370","770","840","0","15","195","150","2,285","4,755","285","115","1,180","1,200","5,515","160","155","2,110","135","230","2,065","115","30,110"
"10007148","The University of Huddersfield","0","3,655","430","690","0","0","620","65","1,585","1,135","440","20","1,345","635","6,005","380","175","1,195","70","260","1,845","50","20,610"
"10007149","The University of Hull","560","2,400","770","655","0","5","465","85","1,525","605","0","265","2,480","515","1,805","570","335","930","20","305","260","60","14,615"
"10003239","ICON College of Technology and Management","0","0","0","0","0","0","0","0","0","150","0","0","80","0","1,515","0","0","0","0","0","0","0","1,750"
"10003270","Imperial College of Science, Technology and Medicine","4,315","480","1,470","0","0","0","2,405","1,300","6,770","1,280","0","750","30","0","2,390","10","0","125","0","50","0","0","21,370"
"10013220","Institute of Art - London Limited","0","0","0","0","0","0","0","0","5","0","0","0","0","0","140","5","210","0","0","35","0","0","395"
"10067388","The Institute of Ismaili Studies","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","70","0","0","0","0","0","75"
"10035638","Institute of Contemporary Music Performance","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,080","0","1,080"
"10082728","INTO University Partnerships Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55","0","0","0","0","0","0","0","55"
"10029682","The Islamic College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","100"
"10082570","Kaplan International Colleges U.K. Limited","0","0","0","0","0","0","0","0","75","70","10","0","20","30","325","0","0","0","0","10","0","0","540"
"10021682","Kaplan Open Learning (Essex) Limited","0","35","0","230","0","0","0","0","0","30","0","0","410","420","580","0","0","50","0","0","0","0","1,755"
"10007767","Keele University","940","3,830","330","740","60","0","700","215","55","435","0","355","1,035","605","925","385","300","340","25","120","75","30","11,505"
"10003566","Kensington College of Business","0","0","0","0","0","0","0","0","0","0","0","0","0","10","50","0","0","0","0","0","0","0","60"
"10007150","The University of Kent","55","975","1,525","1,285","0","30","890","480","490","1,250","505","45","3,535","1,530","2,465","1,015","1,180","195","125","160","810","35","18,585"
"10003645","King's College London","4,210","7,585","895","2,605","0","0","1,000","1,160","980","1,625","0","250","5,655","2,015","3,510","1,845","2,015","735","340","1,375","165","465","38,445"
"10008325","KLC School of Design","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","185","0","185"
"10003678","Kingston University","15","3,530","335","885","0","0","475","100","1,910","1,555","980","160","1,375","280","2,675","205","125","955","70","465","2,365","45","18,500"
"10003758","LAMDA Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","310","0","310"
"10007768","The University of Lancaster","480","355","555","705","0","25","985","1,015","790","980","25","575","2,745","785","4,370","1,080","740","395","65","375","340","85","17,475"
"10066551","LCCM AU UK Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","75","0","85"
"10003854","Leeds Arts University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","2,275","0","2,295"
"10003861","Leeds Beckett University","0","2,940","2,570","1,050","0","0","35","0","825","1,005","1,380","0","2,645","1,245","5,255","330","215","1,445","10","565","2,100","80","23,690"
"10003798","Le Cordon Bleu Limited","0","0","0","0","0","325","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","325"
"10034449","Leeds Conservatoire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,530","0","1,530"
"10007795","The University of Leeds","2,725","2,335","1,585","1,050","0","335","1,510","1,345","3,965","1,230","210","975","3,825","1,515","4,720","2,340","2,030","715","395","1,040","1,970","1,020","36,840"
"10003863","Leeds Trinity University","0","25","300","675","0","0","0","0","0","60","0","0","1,400","725","2,540","145","55","1,145","290","265","90","0","7,705"
"10007796","The University of Leicester","1,550","620","1,170","900","0","0","895","510","1,055","1,120","0","280","1,940","1,370","2,130","540","790","355","0","745","0","130","16,100"
"10007151","The University of Lincoln","0","1,940","1,015","1,230","0","510","685","170","630","900","280","90","1,800","800","3,580","465","750","385","0","630","1,640","70","17,565"
"10003956","Liverpool Hope University","0","55","300","535","0","5","0","40","45","265","0","80","1,045","190","450","190","285","1,640","0","125","430","5","5,685"
"10003957","Liverpool John Moores University","0","5,145","2,415","1,300","0","170","615","270","2,115","1,050","1,375","170","2,915","1,290","4,120","425","390","1,450","0","800","1,190","0","27,200"
"10003945","The Liverpool Institute for Performing Arts","0","0","0","0","0","0","0","0","95","0","0","0","0","0","0","0","0","0","0","0","860","0","950"
"10006842","The University of Liverpool","2,205","2,035","1,185","1,370","2,285","105","1,295","1,180","2,320","1,550","1,025","510","2,500","1,760","3,805","1,120","1,265","80","70","510","355","660","29,185"
"10003958","Liverpool School of Tropical Medicine","235","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","270"
"10007820","Grŵp Llandrillo Menai","0","95","35","0","0","15","0","0","70","65","35","0","165","25","110","15","0","75","245","25","75","0","1,050"
"10007162","University of the Arts, London","0","0","75","115","0","0","60","0","0","375","390","0","0","0","1,925","0","0","300","0","1,870","15,990","0","21,105"
"10013109","London Bridge Business Academy","0","0","0","0","0","0","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","255"
"10007769","London Business School","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,460","0","0","0","0","0","0","0","2,460"
"10030391","London Churchill College Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","20"
"10007797","University of London (Institutes and activities)","400","215","0","105","35","5","0","210","15","1,085","0","5","510","1,605","1,215","65","330","115","125","0","10","0","6,045"
"10039082","City and Guilds of London Art School","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","0","0","215","0","255"
"10023434","London School of Commerce & IT Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","125","0","0","260","0","0","0","0","385"
"10004036","London Film School Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","0","0","0","0","270","0","345"
"10015506","The London College","0","0","0","0","0","0","0","0","735","55","0","0","90","0","580","0","0","0","0","0","0","0","1,465"
"10004048","London Metropolitan University","0","1,150","385","610","0","35","155","80","120","615","450","0","2,435","595","3,415","240","0","595","5","530","1,115","0","12,525"
"10032594","London School of Academics Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190","0","0","0","0","190"
"10004078","London South Bank University","10","5,775","295","720","0","65","150","0","2,430","515","2,075","0","890","770","3,300","10","25","415","0","145","920","25","18,545"
"10004063","London School of Economics and Political Science","0","0","0","305","0","0","0","990","0","20","0","50","6,470","1,005","2,630","30","1,105","0","0","435","0","425","13,455"
"10007771","London School of Hygiene and Tropical Medicine","255","820","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","1,105"
"10022285","London School of Management Education","0","0","0","0","0","0","0","0","0","0","0","0","55","0","475","0","0","120","0","0","0","0","645"
"10004075","London School of Theology","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","295","5","0","0","5","0","345"
"10004079","London Studio Centre","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","325","0","325"
"10062810","The London School of Architecture","0","0","0","0","0","0","0","0","0","0","105","0","0","0","0","0","0","0","0","0","0","0","105"
"10008289","The London Institute of Banking & Finance","0","0","0","0","0","0","0","0","0","0","0","0","0","0","270","0","0","0","0","0","0","0","270"
"10004035","The Film Education Training Trust Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","130","0","140"
"10004113","Loughborough University","0","335","1,770","1,065","0","0","620","705","4,850","710","595","250","2,065","0","2,825","215","200","95","0","510","1,320","210","18,335"
"10009612","Luther King House Educational Trust","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90","0","0","0","0","0","90"
"10004180","The Manchester Metropolitan University","45","4,005","1,585","2,110","0","90","465","310","1,060","2,175","1,060","285","3,000","1,565","8,270","1,175","875","3,200","20","615","3,950","90","35,940"
"10007798","The University of Manchester","3,455","5,235","1,705","1,470","0","0","2,600","1,835","5,735","1,740","280","1,115","5,330","1,490","6,325","2,250","1,775","1,080","70","155","840","150","44,635"
"10009527","Istituto Marangoni Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","415","0","0","0","0","170","480","0","1,065"
"10023452","The Markfield Institute of Higher Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","95","10","0","0","0","0","125"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90"
"10020416","Missio Dei","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","0","0","0","0","0","60"
"10030776","St Mellitus College","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","590","0","0","0","0","0","605"
"10004320","The Metanoia Institute","0","390","0","0","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","425"
"10004351","Middlesex University","0","3,815","565","885","245","0","55","30","470","1,480","35","10","1,985","1,505","4,885","170","120","920","60","180","2,725","15","20,155"
"10032277","The Minster Centre","0","170","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170"
"10004450","Mountview Academy of Theatre Arts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","430","0","430"
"10023777","Mont Rose College of Management and Sciences","0","0","0","0","0","0","0","0","0","0","0","0","80","0","545","0","0","195","0","0","0","0","820"
"10023454","Moorlands College","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","20","235","5","0","0","0","0","275"
"10000216","All Nations Christian College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","65","0","0","0","0","0","70"
"10004538","Nazarene Theological College","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","155","0","0","0","0","0","160"
"10030129","Nelson College London Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,460","0","0","0","0","0","0","0","1,460"
"10023456","Newbold College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","100","0","0","0","0","0","110"
"10007799","Newcastle University","2,880","2,215","1,425","970","0","270","830","730","2,880","1,520","1,130","495","1,790","745","3,810","1,930","1,175","455","575","820","605","520","27,775"
"10045289","St Nicholas Montessori Training Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5"
"10048199","Northeastern University London","0","0","0","0","0","0","0","5","0","20","0","0","95","55","5","40","90","0","0","0","0","0","310"
"10008397","Norland College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","275","0","0","0","0","275"
