﻿Title:,"Table 24 - HE staff by HE provider and nationality"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 24
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-24.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Atypical marker,Non-atypical 
,Contract marker,All (excluding atypical) 
,Mode of employment,All 
,Academic year,2016/17 
Search:,


"UKPRN","HE provider","UK","European Union","Non-European Union","Not known","Total"
"10004063","London School of Economics and Political Science","2,000","995","690","0","3,685"
"10007771","London School of Hygiene and Tropical Medicine","960","260","205","0","1,425"
"10004113","Loughborough University","3,100","310","245","10","3,665"
"10004180","The Manchester Metropolitan University","3,995","330","235","50","4,610"
"10007798","The University of Manchester","8,555","1,200","940","0","10,695"
"10004351","Middlesex University","1,455","290","185","0","1,930"
"10007799","Newcastle University","5,035","650","430","0","6,115"
"10007138","The University of Northampton","1,175","70","75","5","1,320"
"10001282","University of Northumbria at Newcastle","2,450","130","135","15","2,730"
"10004775","Norwich University of the Arts","305","15","10","0","330"
"10007154","University of Nottingham","6,160","795","780","5","7,735"
"10004797","The Nottingham Trent University","3,470","255","225","0","3,950"
"10007773","The Open University","7,850","655","225","5","8,740"
"10004930","Oxford Brookes University","2,145","290","185","0","2,620"
"10007774","The University of Oxford","8,400","2,375","1,885","535","13,195"
"10005127","Arts University Plymouth","255","10","10","0","275"
"10007801","University of Plymouth","2,585","215","115","0","2,915"
"10007155","The University of Portsmouth","3,300","395","305","40","4,040"
"10005337","Queen Margaret University, Edinburgh","400","45","20","5","465"
"10007775","Queen Mary University of London","3,090","935","550","5","4,580"
"10005389","Ravensbourne University London","280","50","20","0","350"
"10007802","The University of Reading","3,085","560","400","5","4,050"
"10005500","Robert Gordon University","1,230","125","130","0","1,485"
"10007776","Roehampton University","1,065","185","130","55","1,435"
"10005523","Rose Bruford College of Theatre and Performance","120","10","5","0","130"
"10007835","Royal Academy of Music","360","40","20","5","420"
"10005545","Royal Agricultural University","205","10","10","0","225"
"10007777","Royal College of Art","325","45","30","0","395"
"10007778","Royal College of Music","335","60","30","0","420"
"10005561","Royal Conservatoire of Scotland","475","40","30","0","545"
"10007816","The Royal Central School of Speech and Drama","140","15","15","0","170"
"10005553","Royal Holloway and Bedford New College","1,570","350","240","5","2,170"
"10007837","Royal Northern College of Music","435","45","15","0","495"
"10007779","The Royal Veterinary College","715","115","75","10","920"
"10007803","The University of St. Andrews","1,945","360","295","15","2,615"
"10007782","St George's, University of London","715","90","60","10","875"
"10008026","St Mary's University College","60","90","5","0","150"
"10007843","St Mary's University, Twickenham","785","95","55","5","940"
"10007156","The University of Salford","2,035","95","95","0","2,220"
"10007780","SOAS University of London","665","200","310","30","1,205"
"10005700","SRUC","1,100","60","30","0","1,190"
"10005790","Sheffield Hallam University","4,010","165","150","25","4,350"
"10007157","The University of Sheffield","6,060","630","610","0","7,300"
"10006022","Solent University","1,370","95","55","0","1,515"
"10007158","The University of Southampton","4,965","875","665","30","6,535"
"10006299","Staffordshire University","1,515","45","35","0","1,595"
"10007804","The University of Stirling","1,645","205","120","25","1,995"
"10037449","University of St Mark and St John","320","15","10","0","340"
"10008010","Stranmillis University College","155","20","5","5","190"
"10007805","The University of Strathclyde","2,965","355","280","0","3,600"
"10014001","University of Suffolk","395","30","15","0","440"
"10007159","The University of Sunderland","1,610","65","50","25","1,750"
"10007160","The University of Surrey","2,425","360","280","0","3,070"
"10007806","The University of Sussex","2,215","465","345","70","3,090"
"10007855","Swansea University","2,690","235","210","10","3,150"
"10007161","Teesside University","1,675","55","50","0","1,785"
"10008017","Trinity Laban Conservatoire of Music and Dance","455","55","25","5","540"
"10007858","University of Wales Trinity Saint David","1,270","50","30","240","1,590"
"10007114","University of the Highlands and Islands","210","10","5","0","225"
"10007807","Ulster University","1,565","710","95","0","2,370"
"10007784","University College London","8,020","2,690","1,590","140","12,435"
"10007793","University of South Wales","2,715","110","85","0","2,915"
"10008574","The University of Wales (central functions)","115","5","5","0","120"
"10007163","The University of Warwick","5,020","865","690","65","6,640"
"10007164","University of the West of England, Bristol","3,195","200","180","60","3,640"
"10007800","The University of the West of Scotland","1,325","65","55","5","1,445"
"10006566","The University of West London","1,070","160","80","0","1,310"
"10007165","The University of Westminster","2,125","515","250","0","2,895"
"10003614","The University of Winchester","1,105","85","40","15","1,245"
"10007166","The University of Wolverhampton","2,275","90","105","0","2,465"
"10007139","University of Worcester","2,045","150","50","0","2,245"
"10007833","Wrexham University","480","15","20","0","515"
"10007657","Writtle University College","310","10","5","0","325"
"10007713","York St John University","700","30","25","0","755"
"10007167","The University of York","3,255","430","305","5","3,995"
"","Total","332,915","49,530","33,820","3,450","419,710"
