﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2017/18 
Search:,


"UKPRN","HE provider","Teaching only","Research only","Both teaching and research","Neither teaching nor research","Total academic staff"
"10007823","Edge Hill University","420","15","595","0","1,030"
"10007772","Edinburgh Napier University","240","70","570","15","895"
"10007790","The University of Edinburgh","2,785","2,040","2,170","5","7,000"
"10007791","The University of Essex","650","140","525","0","1,310"
"10007792","The University of Exeter","375","805","1,080","0","2,260"
"10008640","Falmouth University","70","5","215","0","295"
"10004511","The National Film and Television School","25","0","0","0","25"
"10007762","Glasgow Caledonian University","35","95","635","10","780"
"10002681","Glasgow School of Art","0","35","190","10","235"
"10007794","The University of Glasgow","1,465","1,295","1,190","20","3,970"
"10007145","University of Gloucestershire","460","15","145","10","630"
"10002718","Goldsmiths College","580","55","475","0","1,110"
"10007146","The University of Greenwich","410","70","790","0","1,270"
"10007825","Guildhall School of Music and Drama","615","5","30","40","695"
"10040812","Harper Adams University","50","0","120","5","180"
"10007764","Heriot-Watt University","110","285","440","5","840"
"10007147","University of Hertfordshire","710","125","1,070","25","1,925"
"10007765","Heythrop College","15","5","30","0","45"
"10007148","The University of Huddersfield","0","140","775","0","920"
"10007149","The University of Hull","360","140","500","20","1,025"
"10003270","Imperial College of Science, Technology and Medicine","295","2,515","1,465","0","4,275"
"10007767","Keele University","195","120","515","0","830"
"10007150","The University of Kent","510","200","760","5","1,470"
"10003645","King's College London","1,280","1,795","1,895","0","4,970"
"10003678","Kingston University","55","65","890","5","1,015"
"10007768","The University of Lancaster","740","395","950","20","2,105"
"10003854","Leeds Arts University","85","5","65","5","160"
"10003861","Leeds Beckett University","420","10","945","0","1,375"
"10007795","The University of Leeds","725","1,025","1,755","0","3,500"
"10003863","Leeds Trinity University","15","0","160","0","175"
"10007796","The University of Leicester","415","475","780","5","1,675"
"10007151","The University of Lincoln","685","65","510","0","1,260"
"10003956","Liverpool Hope University","80","0","240","5","320"
"10003957","Liverpool John Moores University","420","100","1,030","0","1,545"
"10003945","The Liverpool Institute for Performing Arts","75","0","0","0","80"
"10006842","The University of Liverpool","885","865","1,175","10","2,935"
"10003958","Liverpool School of Tropical Medicine","10","110","75","15","215"
"10007162","University of the Arts, London","2,010","0","220","0","2,230"
"10007769","London Business School","0","0","100","10","115"
"10007797","University of London (Institutes and activities)","15","25","45","10","95"
"10004048","London Metropolitan University","50","0","380","5","435"
"10004078","London South Bank University","800","45","265","5","1,115"
"10004063","London School of Economics and Political Science","665","415","645","0","1,725"
"10007771","London School of Hygiene and Tropical Medicine","20","305","430","0","755"
"10004113","Loughborough University","440","340","830","0","1,610"
"10004180","The Manchester Metropolitan University","935","55","1,510","60","2,560"
"10007798","The University of Manchester","895","2,180","2,045","0","5,120"
"10004351","Middlesex University","65","65","925","0","1,055"
"10007799","Newcastle University","545","1,115","1,320","0","2,980"
"10007138","The University of Northampton","235","15","570","5","825"
"10001282","University of Northumbria at Newcastle","100","75","1,245","0","1,420"
"10004775","Norwich University of the Arts","140","0","65","0","205"
"10007154","University of Nottingham","575","1,205","1,615","0","3,395"
"10004797","The Nottingham Trent University","625","0","1,420","0","2,045"
"10007773","The Open University","3,960","145","895","5","5,005"
"10004930","Oxford Brookes University","565","65","785","0","1,415"
"10007774","The University of Oxford","105","4,685","1,825","15","6,630"
"10005127","Arts University Plymouth","50","0","80","5","135"
"10007801","University of Plymouth","530","190","565","20","1,300"
"10007155","The University of Portsmouth","470","25","1,190","5","1,690"
"10005337","Queen Margaret University, Edinburgh","5","25","230","5","260"
"10007775","Queen Mary University of London","1,220","840","1,035","0","3,095"
"10005389","Ravensbourne University London","200","0","5","5","205"
"10007802","The University of Reading","640","435","715","0","1,795"
"10005500","Robert Gordon University","165","40","490","10","705"
"10007776","Roehampton University","305","5","280","10","600"
"10005523","Rose Bruford College of Theatre and Performance","0","0","80","0","80"
"10007835","Royal Academy of Music","260","0","30","0","290"
"10005545","Royal Agricultural University","10","0","50","5","60"
"10007777","Royal College of Art","5","30","140","0","175"
"10007778","Royal College of Music","245","10","40","0","290"
"10005561","Royal Conservatoire of Scotland","235","5","90","0","325"
"10007816","The Royal Central School of Speech and Drama","5","5","65","0","75"
"10005553","Royal Holloway and Bedford New College","505","140","530","5","1,185"
"10007837","Royal Northern College of Music","0","0","310","0","310"
"10007779","The Royal Veterinary College","80","80","135","0","295"
"10007803","The University of St. Andrews","155","350","670","0","1,175"
"10007782","St George's, University of London","285","105","140","5","535"
"10008026","St Mary's University College","20","0","40","0","60"
"10007843","St Mary's University, Twickenham","80","0","340","0","425"
"10007156","The University of Salford","130","25","835","5","995"
"10007780","SOAS University of London","490","45","290","10","835"
"10005700","SRUC","155","120","10","10","295"
"10005790","Sheffield Hallam University","400","160","1,465","0","2,025"
"10007157","The University of Sheffield","520","1,395","1,370","0","3,280"
"10006022","Solent University","255","0","445","0","705"
"10007158","The University of Southampton","520","1,050","1,310","5","2,890"
"10006299","Staffordshire University","400","15","470","10","895"
"10007804","The University of Stirling","420","145","415","0","980"
"10037449","University of St Mark and St John","5","0","75","5","85"
"10008010","Stranmillis University College","5","0","45","0","50"
"10007805","The University of Strathclyde","255","575","705","130","1,665"
"10014001","University of Suffolk","0","0","185","0","190"
"10007159","The University of Sunderland","325","10","430","5","770"
"10007160","The University of Surrey","535","305","640","0","1,480"
"10007806","The University of Sussex","740","405","860","5","2,010"
"10007855","Swansea University","540","435","610","0","1,585"
"10007161","Teesside University","30","45","630","0","710"
"10008017","Trinity Laban Conservatoire of Music and Dance","380","0","20","5","405"
"10007858","University of Wales Trinity Saint David","225","15","485","15","745"
"10007114","University of the Highlands and Islands","15","30","20","10","75"
"10007807","Ulster University","475","180","600","10","1,265"
"10007784","University College London","1,290","3,630","2,755","0","7,675"
"10007793","University of South Wales","930","60","710","10","1,710"
"10008574","The University of Wales (central functions)","0","15","0","20","35"
"10007163","The University of Warwick","930","810","1,170","0","2,910"
"10007164","University of the West of England, Bristol","360","5","1,400","10","1,780"
"10007800","The University of the West of Scotland","20","25","550","5","600"
"10006566","The University of West London","750","0","240","0","990"
"10007165","The University of Westminster","620","60","925","5","1,610"
"10003614","The University of Winchester","325","20","355","20","720"
"10007166","The University of Wolverhampton","55","35","805","0","895"
"10007139","University of Worcester","485","20","405","10","915"
"10007833","Wrexham University","10","0","185","15","215"
"10007657","Writtle University College","95","0","5","5","105"
"10007713","York St John University","40","0","300","0","340"
"10007167","The University of York","375","620","860","0","1,860"
"","Total","61,050","49,515","100,120","1,290","211,980"
