﻿Title:,"Table 1 - Buildings and spaces"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","Total number of sites","Total number of buildings","Total site area (hectares)","Total grounds area (hectares)","Total playing fields area (hectares)","Total gross internal area (m2)","Total number of car parking spaces","Total number of cycle spaces"
"10003324","The Institute of Cancer Research","2","9","5.576","2.360","0.000","33,773.460","362","100"
"10001143","Canterbury Christ Church University","14","140","22.339","12.537","4.708","126,820.100","1,211","840"
"10007814","Cardiff University","6","290","69.480","25.970","13.770","462,583.000","2,078","3,554"
"10007854","Cardiff Metropolitan University","3","53","27.000","15.000","6.000","97,041.000","1,605","530"
"10007141","The University of Central Lancashire","6","72","58.908","20.301","24.909","181,611.000","2,006","684"
"10007848","University of Chester","3","216","78.100","43.400","17.900","197,163.630","2,417","272"
"10007137","The University of Chichester","2","112","","","","82,504.130","876","575"
"10001478","City, University of London","3","21","11.300","","0.000","113,042.060","28","270"
"10001653","Conservatoire for Dance and Drama","4","9","","","","53,279.000","71","75"
"10007761","Courtauld Institute of Art","3","3","1.930","0.000","0.000","13,485.000","3","20"
"10001726","Coventry University","7","108","44.050","20.150","8.700","277,215.860","1,808","1,456"
"10007822","Cranfield University","3","270","254.400","238.100","5.840","169,647.001","2,044","474"
"10006427","University for the Creative Arts","5","60","8.000","8.000","0.000","81,982.000","666","145"
"10007842","University of Cumbria","6","90","33.918","26.710","3.500","75,613.640","924","329"
"10001883","De Montfort University","2","60","23.190","8.360","9.140","180,264.130","966","780"
"10007851","University of Derby","8","49","48.620","41.810","7.900","161,883.340","1,818","420"
"10007852","The University of Dundee","3","79","40.000","34.600","5.400","201,910.000","765","647"
"10007143","University of Durham","3","379","258.000","57.920","36.930","382,350.604","2,833","1,523"
"10007789","The University of East Anglia","1","98","146.000","130.000","14.000","283,831.580","1,972","4,100"
"10007144","The University of East London","3","30","13.350","12.773","0.200","122,480.190","700","516"
"10007823","Edge Hill University","3","122","51.000","25.700","4.700","139,446.970","1,647","209"
"10007772","Edinburgh Napier University","11","17","35.000","10.123","0.000","110,552.350","770","677"
"10007790","The University of Edinburgh","7","434","348.000","298.000","20.000","877,384.000","2,929","5,678"
"10007791","The University of Essex","4","128","111.560","102.000","7.000","283,182.710","2,996","1,076"
"10007792","The University of Exeter","3","213","107.670","107.670","31.000","279,045.490","1,942","1,689"
"10008640","Falmouth University","2","83","22.256","19.860","0.235","74,766.920","601","530"
"10004511","The National Film and Television School","1","11","1.420","1.420","0.000","12,424.080","105","30"
"10007762","Glasgow Caledonian University","2","23","7.116","4.762","0.000","100,807.510","141","188"
"10002681","Glasgow School of Art","4","18","2.000","2.000","0.000","66,196.000","40","72"
"10007794","The University of Glasgow","18","324","220.000","81.000","23.000","478,584.640","1,632","985"
"10007145","University of Gloucestershire","4","94","33.000","13.730","5.000","97,249.000","1,231","810"
"10002718","Goldsmiths College","","","","","","87,389.000","",""
"10007146","The University of Greenwich","3","49","41.111","21.001","17.560","153,838.780","1,561","592"
"10007825","Guildhall School of Music and Drama","1","4","0.892","0.140","0.000","33,817.040","2","147"
"10040812","Harper Adams University","1","112","143.600","26.700","5.570","57,624.890","1,426","96"
"10007764","Heriot-Watt University","4","90","89.640","89.460","10.440","228,513.260","2,104","609"
"10007147","University of Hertfordshire","8","83","94.460","94.460","21.640","186,769.000","3,502","1,700"
"10007148","The University of Huddersfield","1","29","17.390","11.790","5.600","116,717.050","667","154"
"10007149","The University of Hull","2","97","89.460","45.460","34.930","201,766.000","2,166","1,108"
"10003270","Imperial College of Science, Technology and Medicine","11","123","152.509","118.873","24.253","558,847.000","1,408","2,713"
"10007767","Keele University","2","187","209.800","97.000","18.500","176,208.000","2,350","464"
"10007150","The University of Kent","2","396","129.360","120.160","9.900","251,957.600","2,525","1,443"
"10003645","King's College London","7","92","","5.800","20.920","452,105.500","151","1,208"
"10003678","Kingston University","5","168","50.920","23.700","21.320","160,791.420","1,697","1,205"
"10007768","The University of Lancaster","2","250","164.400","97.900","9.100","314,787.000","2,802","1,382"
"10003854","Leeds Arts University","","","","","0.000","23,472.000","81","91"
"10003861","Leeds Beckett University","3","105","56.232","18.050","19.207","233,337.850","1,371","1,025"
"10007795","The University of Leeds","6","306","127.534","64.333","50.289","560,962.091","1,893","2,473"
"10003863","Leeds Trinity University","1","33","18.000","7.000","6.600","43,503.890","483","44"
"10007796","The University of Leicester","5","208","89.523","41.594","26.600","299,635.300","2,060","1,856"
"10007151","The University of Lincoln","3","66","256.818","239.418","3.232","150,387.903","981","1,340"
"10003956","Liverpool Hope University","3","48","19.440","9.130","2.110","82,693.000","706","201"
"10003957","Liverpool John Moores University","3","41","23.900","5.750","6.870","148,881.150","742","473"
"10003945","The Liverpool Institute for Performing Arts","1","2","0.896","0.605","0.000","13,408.220","26","26"
"10006842","The University of Liverpool","7","216","246.500","83.200","18.600","488,867.000","1,890","755"
"10003958","Liverpool School of Tropical Medicine","1","5","1.120","0.000","0.000","22,021.380","121","120"
"10007162","University of the Arts, London","16","40","8.846","3.622","0.000","184,121.284","120","1,207"
"10007769","London Business School","","","","","","40,541.630","",""
"10007797","University of London (Institutes and activities)","","","","","","179,130.000","",""
"10004048","London Metropolitan University","4","8","2.648","0.860","0.000","92,984.270","25","138"
"10004078","London South Bank University","2","22","7.480","0.360","0.000","148,771.000","88","312"
"10004063","London School of Economics and Political Science","1","44","21.180","11.680","9.500","203,005.890","56","538"
"10007771","London School of Hygiene and Tropical Medicine","8","6","2.743","","","27,429.000","","80"
"10004113","Loughborough University","2","128","120.752","93.308","28.093","326,751.360","3,624","2,228"
"10004180","The Manchester Metropolitan University","2","55","37.460","24.150","7.440","272,865.800","1,433","1,154"
"10007798","The University of Manchester","7","211","163.830","95.710","45.150","884,087.720","3,597","3,000"
"10004351","Middlesex University","4","46","10.947","6.500","3.200","90,620.772","555","188"
"10007799","Newcastle University","28","244","629.923","26.069","22.170","486,754.740","830","2,029"
"10007138","The University of Northampton","8","36","39.000","","","132,145.000","",""
"10001282","University of Northumbria at Newcastle","","","","","","242,948.000","","924"
"10004775","Norwich University of the Arts","","","","","","20,328.000","",""
"10007154","University of Nottingham","4","367","230.000","543.000","48.000","673,071.430","5,001","5,157"
"10004797","The Nottingham Trent University","3","111","265.469","245.690","7.679","201,310.490","1,813","847"
"10007773","The Open University","8","74","52.681","26.510","3.230","131,297.000","2,751","658"
"10004930","Oxford Brookes University","9","141","79.200","56.300","13.600","219,844.390","1,667","2,945"
"10007774","The University of Oxford","13","248","534.640","497.450","11.100","643,260.000","983","4,669"
"10005127","Arts University Plymouth","7","8","1.082","0.090","0.000","15,565.820","26","25"
"10007801","University of Plymouth","13","96","15.730","9.480","0.000","184,991.600","616","287"
"10007155","The University of Portsmouth","","","70.976","20.391","25.282","179,587.726","1,064","1,639"
"10005337","Queen Margaret University, Edinburgh","1","14","14.273","13.300","0.133","46,596.580","431","283"
"10007775","Queen Mary University of London","4","88","26.509","7.219","13.000","256,775.570","220","1,043"
"10005389","Ravensbourne University London","2","3","0.288","0.288","0.000","14,445.000","8","100"
"10007802","The University of Reading","3","183","130.900","122.800","22.570","203,552.990","2,256","3,537"
"10005500","Robert Gordon University","2","29","56.219","17.000","0.000","107,218.000","1,112","288"
"10007776","Roehampton University","4","48","","","","102,364.560","",""
"10005523","Rose Bruford College of Theatre and Performance","2","9","6.000","2.000","2.000","13,246.000","116","140"
"10007835","Royal Academy of Music","4","5","0.459","0.090","0.000","14,504.350","0","78"
"10005545","Royal Agricultural University","3","32","","","","24,074.540","829","75"
"10007777","Royal College of Art","3","12","1.394","0.390","0.000","34,410.310","25","290"
"10007778","Royal College of Music","","","","","","12,261.600","",""
"10007816","The Royal Central School of Speech and Drama","3","8","0.620","0.620","0.000","13,669.000","2","60"
"10005553","Royal Holloway and Bedford New College","3","124","77.930","68.880","3.340","187,735.220","1,438","883"
"10007837","Royal Northern College of Music","","","","","","18,274.050","",""
"10007779","The Royal Veterinary College","3","143","244.000","18.000","6.000","50,752.000","784","91"
"10007803","The University of St. Andrews","1","151","53.687","44.550","22.260","263,423.140","1,023","2,003"
"10007782","St George's, University of London","1","9","2.270","0.710","0.000","70,542.080","86","409"
"10008026","St Mary's University College","1","4","","","","14,585.000","184",""
"10007843","St Mary's University, Twickenham","3","52","17.230","9.930","10.000","53,143.000","274","247"
"10007156","The University of Salford","3","26","32.000","32.000","10.000","157,076.000","1,928","361"
"10007780","SOAS University of London","2","8","4.333","0.000","0.000","48,087.440","0","340"
"10005700","SRUC","10","319","","","","154,766.020","",""
"10005790","Sheffield Hallam University","3","65","34.230","20.470","8.610","192,323.950","402","692"
"10007157","The University of Sheffield","20","349","124.390","108.872","22.477","541,965.970","2,340","2,609"
"10006022","Solent University","4","46","31.700","21.460","6.350","141,740.000","839","487"
"10007158","The University of Southampton","13","403","98.332","57.420","25.300","443,048.260","3,094","4,364"
"10006299","Staffordshire University","3","58","52.000","42.000","3.420","97,551.000","1,624","580"
"10007804","The University of Stirling","1","43","135.200","133.000","18.100","166,785.510","1,883","575"
"10037449","University of St Mark and St John","1","62","17.790","10.460","5.000","34,443.000","670","98"
"10008010","Stranmillis University College","","","","","","34,722.000","",""
"10007805","The University of Strathclyde","6","52","96.530","78.140","18.390","347,876.000","","636"
"10014001","University of Suffolk","1","11","7.100","7.100","0.000","27,071.300","416","176"
"10007159","The University of Sunderland","9","35","29.100","23.400","0.080","139,687.930","1,550","306"
"10007160","The University of Surrey","3","309","95.700","64.420","16.540","304,466.740","2,015","2,054"
"10007806","The University of Sussex","1","90","95.380","63.791","7.670","253,091.000","1,908","2,133"
"10007855","Swansea University","4","150","70.160","43.710","5.170","266,798.680","1,630","1,020"
"10007161","Teesside University","3","93","40.510","17.451","22.721","155,454.950","1,535","364"
"10008017","Trinity Laban Conservatoire of Music and Dance","3","4","1.600","0.380","0.000","18,836.600","87","32"
"10007858","University of Wales Trinity Saint David","17","155","53.620","29.660","7.490","222,745.890","1,415","170"
"10007114","University of the Highlands and Islands","59","116","53.457","53.450","","141,681.910","","100"
"10007807","Ulster University","6","80","202.229","80.000","30.670","245,129.290","4,936","377"
"10007784","University College London","","253","52.350","16.000","36.000","645,451.780","","1,694"
"10007793","University of South Wales","8","129","42.286","37.043","16.000","220,412.730","3,371","260"
"10007163","The University of Warwick","4","455","262.139","154.130","45.193","571,806.630","5,395","3,185"
"10007164","University of the West of England, Bristol","7","276","76.495","58.737","2.757","291,629.050","3,390","1,249"
"10007800","The University of the West of Scotland","6","57","48.101","19.905","3.791","136,657.570","1,483","321"
"10006566","The University of West London","4","9","2.423","2.043","0.000","50,298.000","94","137"
"10007165","The University of Westminster","11","40","27.000","11.700","10.000","167,396.000","501","351"
"10003614","The University of Winchester","3","60","13.000","8.000","4.000","71,007.000","473","250"
"10007166","The University of Wolverhampton","4","88","38.117","20.024","5.337","179,799.000","1,880","205"
"10007139","University of Worcester","9","65","86.429","72.674","23.268","89,267.670","1,089","775"
"10007833","Wrexham University","7","30","58.550","26.110","2.000","63,554.000","1,368","72"
"10007657","Writtle University College","","","","","","40,351.000","",""
"10007713","York St John University","10","65","40.480","28.564","8.690","78,524.127","291","782"
"10007167","The University of York","3","313","189.000","159.000","19.580","419,010.000","2,366","5,494"
