﻿Title:,"Table 63 - HE student enrolments by HE provider and distance learning marker"
Subtitle:,"Academic years 2022/23 to 2023/24"
Reference ID:,DT051 Table 63
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-63
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-63.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of study,All 
,Level of study,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE Provider","Distance learning - based in the UK","Distance learning - based outside the UK","Total"
"10007162","University of the Arts, London","130","0","130"
"10007797","University of London (Institutes and activities)","3,100","0","3,100"
"10004078","London South Bank University","55","0","55"
"10004075","London School of Theology","70","0","70"
"10004079","London Studio Centre","5","0","5"
"10004113","Loughborough University","40","0","40"
"10009612","Luther King House Educational Trust","20","0","20"
"10004180","The Manchester Metropolitan University","1,025","0","1,025"
"10007798","The University of Manchester","1,680","0","1,680"
"10020416","Missio Dei","0","0","0"
"10004320","The Metanoia Institute","0","5","5"
"10004351","Middlesex University","255","0","255"
"10049370","MLA College","100","0","100"
"10055902","Multiverse","5,170","0","5,170"
"10000216","All Nations Christian College","20","0","20"
"10023456","Newbold College","0","15","15"
"10007799","Newcastle University","530","0","530"
"10048199","Northeastern University London","75","0","75"
"10007138","The University of Northampton","300","0","300"
"10004740","Northern College of Acupuncture","15","0","15"
"10001282","University of Northumbria at Newcastle","2,220","0","2,220"
"10004775","Norwich University of the Arts","15","0","15"
"10007154","University of Nottingham","505","0","505"
"10004797","The Nottingham Trent University","475","60","535"
"10007773","The Open University","139,625","285","139,905"
"10004930","Oxford Brookes University","600","15","610"
"10007774","The University of Oxford","545","0","545"
"10005127","Arts University Plymouth","10","10","15"
"10007801","University of Plymouth","435","5","440"
"10019178","Point Blank Music School","80","10","90"
"10007155","The University of Portsmouth","1,740","15","1,755"
"10083476","The Prince's Foundation","5","0","5"
"10005337","Queen Margaret University, Edinburgh","0","130","130"
"10007775","Queen Mary University of London","1,045","0","1,045"
"10005544","Royal Academy of Dance","115","0","115"
"10007802","The University of Reading","1,665","0","1,670"
"10005500","Robert Gordon University","4,360","0","4,360"
"10007776","Roehampton University","115","0","115"
"10005561","Royal Conservatoire of Scotland","0","10","15"
"10007779","The Royal Veterinary College","230","0","230"
"10007803","The University of St. Andrews","70","155","225"
"10007839","SAE Education Limited","15","0","15"
"10007782","St George's, University of London","90","0","90"
"10007843","St Mary's University, Twickenham","280","10","290"
"10007156","The University of Salford","525","0","525"
"10021256","The Salvation Army","20","0","20"
"10007780","SOAS University of London","345","45","390"
"10005700","SRUC","280","0","280"
"10005790","Sheffield Hallam University","2,015","0","2,015"
"10007157","The University of Sheffield","820","0","820"
"10006022","Solent University","65","0","65"
"10007158","The University of Southampton","80","10","90"
"10006093","Spurgeon's College","95","0","95"
"10006299","Staffordshire University","6,075","0","6,075"
"10007804","The University of Stirling","915","0","915"
"10037449","University of St Mark and St John","10","0","10"
"10007805","The University of Strathclyde","3,000","5","3,005"
"10014001","University of Suffolk","285","0","285"
"10007159","The University of Sunderland","1,585","0","1,585"
"10007160","The University of Surrey","80","0","80"
"10007806","The University of Sussex","560","0","560"
"10007161","Teesside University","2,145","0","2,145"
"10082743","ThinkSpace Education Limited","130","0","130"
"10008017","Trinity Laban Conservatoire of Music and Dance","55","10","65"
"10007858","University of Wales Trinity Saint David","855","5","860"
"10007807","Ulster University","1,125","0","1,125"
"10039956","The University of Law","4,110","0","4,110"
"10007784","University College London","0","0","0"
"10007793","University of South Wales","320","0","320"
"10007163","The University of Warwick","105","0","105"
"10007800","The University of the West of Scotland","1,410","0","1,410"
"10007165","The University of Westminster","5","0","5"
"10003614","The University of Winchester","125","0","125"
"10007166","The University of Wolverhampton","2,210","0","2,210"
"10007833","Wrexham University","2,025","0","2,025"
"10007713","York St John University","200","0","200"
"10007167","The University of York","1,405","10","1,415"
"","Total","273,380","3,815","277,195"
