﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","Female","Male","Other","Not known","Total academic staff"
"10003324","The Institute of Cancer Research","405","285","0","0","690"
"10001143","Canterbury Christ Church University","445","295","0","0","740"
"10007814","Cardiff University","1,630","1,785","0","0","3,410"
"10007854","Cardiff Metropolitan University","455","430","0","0","885"
"10001264","Central School of Ballet","15","5","0","0","15"
"10007141","The University of Central Lancashire","940","840","0","0","1,780"
"10024024","Central Film School London","0","5","0","0","5"
"10007848","University of Chester","425","285","5","0","710"
"10007137","The University of Chichester","310","250","0","0","565"
"10001386","Chicken Shed Theatre Company","10","10","0","0","25"
"10001478","City, University of London","900","925","0","0","1,830"
"10007912","Cliff College","0","10","0","0","10"
"10066502","The College of Health Ltd","5","5","0","0","10"
"10007761","Courtauld Institute of Art","70","20","0","0","90"
"10034324","Court Theatre Training Company Ltd","5","5","0","0","10"
"10001726","Coventry University","1,545","1,455","5","0","3,005"
"10007822","Cranfield University","185","570","0","0","755"
"10006427","University for the Creative Arts","225","230","5","0","460"
"10007842","University of Cumbria","335","240","0","0","575"
"10015688","David Game College Ltd","10","15","0","5","30"
"10001883","De Montfort University","790","720","0","0","1,510"
"10007851","University of Derby","795","685","5","0","1,490"
"10007852","The University of Dundee","705","730","0","0","1,440"
"10007143","University of Durham","1,120","1,410","0","0","2,530"
"10007789","The University of East Anglia","1,010","995","0","0","2,005"
"10007144","The University of East London","565","490","0","0","1,055"
"10032282","The Queen's Foundation for Ecumenical Theological Education","10","5","0","0","15"
"10007823","Edge Hill University","590","365","0","15","970"
"10007772","Edinburgh Napier University","435","500","5","0","940"
"10007790","The University of Edinburgh","3,680","4,105","30","60","7,870"
"10042570","Escape Studios","10","25","0","0","35"
"10007791","The University of Essex","720","820","0","0","1,540"
"10008173","University College of Estate Management","50","55","0","0","110"
"10007792","The University of Exeter","1,890","1,860","5","0","3,760"
"10008640","Falmouth University","205","225","0","0","430"
"10004511","The National Film and Television School","40","35","0","0","75"
"10022087","Futureworks","5","15","0","0","20"
"10007762","Glasgow Caledonian University","445","365","0","0","810"
"10002681","Glasgow School of Art","130","115","0","0","245"
"10007794","The University of Glasgow","2,665","2,920","0","0","5,585"
"10007145","University of Gloucestershire","350","345","0","0","695"
"10002718","Goldsmiths College","660","500","5","0","1,170"
"10007146","The University of Greenwich","590","565","0","0","1,155"
"10007825","Guildhall School of Music and Drama","340","460","0","0","805"
"10040812","Harper Adams University","135","100","0","0","235"
"10080811","Hartpury University","105","75","0","0","180"
"10007764","Heriot-Watt University","310","615","0","0","925"
"10007147","University of Hertfordshire","1,175","1,015","0","0","2,195"
"10007148","The University of Huddersfield","430","500","5","10","945"
"10007149","The University of Hull","460","510","0","0","970"
"10003239","ICON College of Technology and Management","5","15","0","0","25"
"10003270","Imperial College of Science, Technology and Medicine","1,525","2,730","10","130","4,395"
"10013220","Institute of Art - London Limited","10","10","0","0","20"
"10035638","Institute of Contemporary Music Performance","5","15","0","0","15"
"10082570","Kaplan International Colleges U.K. Limited","205","165","5","0","380"
"10021682","Kaplan Open Learning (Essex) Limited","20","10","0","0","30"
"10007767","Keele University","490","380","5","0","875"
"10007150","The University of Kent","635","730","0","0","1,365"
"10003645","King's College London","3,245","2,950","0","0","6,195"
"10003678","Kingston University","495","465","5","0","965"
"10003758","LAMDA Limited","30","30","5","0","60"
"10007768","The University of Lancaster","1,035","1,215","0","0","2,250"
"10003854","Leeds Arts University","90","80","0","0","170"
"10003861","Leeds Beckett University","750","710","0","0","1,460"
"10034449","Leeds Conservatoire","50","140","0","0","190"
"10007795","The University of Leeds","1,770","2,105","0","0","3,875"
"10003863","Leeds Trinity University","125","110","0","0","235"
"10082828","College of Legal Practice Limited","5","0","0","0","5"
"10007796","The University of Leicester","865","965","10","0","1,840"
"10089591","LIBF Limited","10","30","0","0","45"
"10007151","The University of Lincoln","725","830","0","0","1,555"
"10036456","Academy of Live Technology Ltd","5","5","0","0","10"
"10003956","Liverpool Hope University","155","140","0","30","325"
"10003957","Liverpool John Moores University","855","905","0","0","1,765"
"10003945","The Liverpool Institute for Performing Arts","40","60","0","0","100"
"10006842","The University of Liverpool","1,455","1,710","0","0","3,160"
"10003958","Liverpool School of Tropical Medicine","145","105","0","0","250"
"10007162","University of the Arts, London","1,635","1,105","0","0","2,740"
"10007769","London Business School","30","75","0","0","110"
"10007797","University of London (Institutes and activities)","55","35","0","0","90"
"10004036","London Film School Limited","25","20","0","0","45"
"10004048","London Metropolitan University","245","255","0","0","500"
"10004078","London South Bank University","710","580","10","0","1,305"
"10004063","London School of Economics and Political Science","890","1,020","0","0","1,910"
"10007771","London School of Hygiene and Tropical Medicine","650","455","0","0","1,105"
"10022285","London School of Management Education","10","10","0","0","20"
"10004075","London School of Theology","10","15","0","0","25"
"10062810","The London School of Architecture","0","0","0","0","5"
"10067623","The London Interdisciplinary School Ltd","10","10","0","0","20"
"10004113","Loughborough University","635","1,040","0","0","1,675"
"10009612","Luther King House Educational Trust","0","0","0","0","5"
"10004180","The Manchester Metropolitan University","1,305","1,195","0","0","2,500"
"10007798","The University of Manchester","2,440","2,945","0","0","5,385"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","0","0","0","0"
"10020416","Missio Dei","0","5","0","0","5"
"10030776","St Mellitus College","15","20","0","0","30"
"10004320","The Metanoia Institute","65","20","0","0","85"
"10004351","Middlesex University","455","415","0","0","870"
"10023777","Mont Rose College of Management and Sciences","20","20","0","0","40"
"10023454","Moorlands College","5","15","0","0","20"
"10001444","National Centre for Circus Arts","15","20","0","0","35"
"10004538","Nazarene Theological College","5","15","0","0","20"
"10030129","Nelson College London Ltd","5","5","0","0","10"
"10007799","Newcastle University","1,485","1,610","0","0","3,095"
"10067406","New Model Institute for Technology and Engineering (NMITE)","5","10","0","0","15"
"10048199","Northeastern University London","50","70","0","0","120"
"10007138","The University of Northampton","520","430","0","0","950"
"10008816","Northern School of Contemporary Dance","10","15","0","0","25"
"10001282","University of Northumbria at Newcastle","815","950","0","0","1,765"
"10004775","Norwich University of the Arts","125","115","0","0","240"
"10007154","University of Nottingham","1,590","2,015","0","15","3,615"
"10004797","The Nottingham Trent University","1,360","1,315","5","0","2,680"
"10007773","The Open University","3,390","2,365","0","0","5,755"
"10004930","Oxford Brookes University","885","720","0","0","1,605"
"10007774","The University of Oxford","3,055","3,985","10","0","7,050"
"10004028","The Place, London Contemporary Dance School (LCDS)","25","10","0","0","30"
"10005127","Arts University Plymouth","65","60","0","0","120"
"10007801","University of Plymouth","905","805","10","0","1,720"
"10019178","Point Blank Music School","15","80","0","0","95"
"10007155","The University of Portsmouth","820","930","5","0","1,750"
"10005337","Queen Margaret University, Edinburgh","225","90","0","0","315"
"10007775","Queen Mary University of London","1,605","1,925","0","0","3,530"
"10009292","Royal Academy of Dramatic Art","35","35","0","0","70"
"10005378","Rambert School","5","5","0","0","15"
"10005389","Ravensbourne University London","110","145","0","0","250"
"10007802","The University of Reading","825","780","0","0","1,610"
"10008455","Regent College London","65","135","0","0","200"
"10005500","Robert Gordon University","360","320","0","0","680"
"10007776","Roehampton University","230","185","0","0","415"
"10005523","Rose Bruford College of Theatre and Performance","55","45","0","5","105"
"10007835","Royal Academy of Music","110","215","0","0","320"
"10005545","Royal Agricultural University","15","30","0","0","45"
"10007777","Royal College of Art","220","190","5","15","425"
"10007778","Royal College of Music","110","195","0","0","305"
"10005561","Royal Conservatoire of Scotland","165","190","0","0","355"
"10007816","The Royal Central School of Speech and Drama","55","30","0","0","85"
"10005553","Royal Holloway and Bedford New College","580","655","0","0","1,235"
"10007837","Royal Northern College of Music","130","185","0","0","320"
"10007779","The Royal Veterinary College","180","120","0","0","295"
"10007803","The University of St. Andrews","560","775","0","0","1,335"
"10007839","SAE Education Limited","10","45","0","0","55"
"10007782","St George's, University of London","265","185","0","0","450"
"10008026","St Mary's University College","25","35","0","0","60"
"10007843","St Mary's University, Twickenham","260","180","0","0","440"
"10007156","The University of Salford","585","585","0","0","1,175"
"10007780","SOAS University of London","320","285","0","0","605"
"10005700","SRUC","280","225","0","0","505"
"10005790","Sheffield Hallam University","1,115","1,020","0","0","2,135"
"10007157","The University of Sheffield","1,560","2,135","0","0","3,700"
"10006022","Solent University","190","365","0","0","555"
"10007158","The University of Southampton","1,110","1,530","5","0","2,645"
"10088214","S P Jain London School of Management Limited","0","0","0","0","0"
"10006093","Spurgeon's College","10","10","0","0","20"
"10006299","Staffordshire University","505","525","0","0","1,030"
"10007804","The University of Stirling","555","465","0","0","1,020"
"10037449","University of St Mark and St John","80","55","0","0","135"
"10008010","Stranmillis University College","45","25","0","0","65"
"10007805","The University of Strathclyde","730","1,280","0","0","2,010"
"10014001","University of Suffolk","170","110","0","0","280"
"10007159","The University of Sunderland","740","640","0","0","1,380"
"10007160","The University of Surrey","745","870","5","0","1,625"
"10007806","The University of Sussex","1,005","1,010","0","5","2,020"
"10007855","Swansea University","775","980","5","5","1,760"
"10083403","The Engineering and Design Institute London","5","5","0","0","15"
"10007161","Teesside University","510","505","0","0","1,010"
"10082743","ThinkSpace Education Limited","0","5","0","0","10"
"10008017","Trinity Laban Conservatoire of Music and Dance","190","235","0","0","425"
"10007858","University of Wales Trinity Saint David","415","450","0","0","870"
"10067648","University Academy 92 Limited","10","20","0","0","30"
"10007114","University of the Highlands and Islands","55","40","0","0","95"
"10007807","Ulster University","670","670","0","0","1,340"
"10039956","The University of Law","410","170","0","0","580"
"10007784","University College London","4,740","5,170","0","0","9,910"
"10007793","University of South Wales","835","970","5","0","1,810"
"10029843","Waltham International College Limited","15","25","0","0","40"
"10007163","The University of Warwick","1,375","2,120","0","0","3,500"
"10007361","Waverley Abbey College","15","5","0","0","20"
"10007164","University of the West of England, Bristol","1,285","1,180","0","0","2,465"
"10007800","The University of the West of Scotland","375","370","0","0","745"
"10006566","The University of West London","555","630","0","0","1,185"
"10007165","The University of Westminster","1,000","980","0","0","1,980"
"10003614","The University of Winchester","435","325","0","0","760"
"10007166","The University of Wolverhampton","490","385","0","0","875"
"10007139","University of Worcester","470","275","0","0","745"
"10007833","Wrexham University","140","90","0","0","230"
"10007657","Writtle University College","75","40","0","0","115"
"10007713","York St John University","230","215","0","0","445"
"10007167","The University of York","1,255","1,360","0","0","2,615"
"","Total","116,540","123,290","245","340","240,420"
