﻿Title:,"Table 28 - Non-UK permanent address students by HE provider and country of permanent address"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 28
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-28
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-28.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE Provider","Austria","Belgium","Bulgaria","Canary Islands","Croatia","Cyprus (European Union)","Cyprus not otherwise specified","Czech Republic","Denmark","Estonia","Finland","France","French Guiana","Germany","Gibraltar","Greece","Guadeloupe","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Martinique","Netherlands","Poland","Portugal","Romania","Réunion","Slovakia","Slovenia","Åland Islands","Spain","Sweden","European Union not otherwise specified","Total European Union","Total"
"10007823","Edge Hill University","0","0","0","0","0","5","0","0","0","0","0","0","0","5","0","0","0","0","30","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","645"
"10007772","Edinburgh Napier University","10","5","35","5","5","10","0","5","5","0","10","30","0","95","0","20","0","20","190","70","5","10","5","0","0","10","55","10","5","0","10","0","0","70","10","25","740","4,235"
"10007790","The University of Edinburgh","60","75","30","10","15","125","0","60","50","10","50","250","0","295","5","175","0","55","260","185","20","65","35","20","0","105","180","55","45","0","65","20","0","310","75","0","2,705","16,625"
"10042570","Escape Studios","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","20","25"
"10007791","The University of Essex","20","10","25","5","25","165","0","30","20","5","20","230","0","45","5","55","0","5","70","85","10","35","10","5","0","20","70","40","90","0","20","0","0","105","40","0","1,255","7,260"
"10008173","University College of Estate Management","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"10002313","ESCP Europe Business School","5","5","0","0","0","0","0","0","0","0","0","285","0","30","0","0","0","0","0","340","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","675","855"
"10007792","The University of Exeter","15","35","20","0","5","15","0","10","10","0","5","240","0","105","10","50","0","10","35","100","5","15","15","5","0","25","25","45","30","0","15","0","0","145","25","0","1,010","8,215"
"10008640","Falmouth University","0","5","15","0","0","0","0","5","0","5","0","10","0","10","5","5","0","5","5","15","10","35","0","0","0","5","15","10","25","0","10","0","0","20","5","0","225","410"
"10045476","Met Film School Limited","0","5","0","0","0","5","0","0","0","5","0","5","0","10","0","0","0","5","0","10","0","0","0","0","0","5","5","10","0","0","0","0","0","10","5","0","80","310"
"10004511","The National Film and Television School","0","0","0","0","0","0","0","0","5","5","0","5","0","5","0","0","0","0","10","10","0","0","0","0","0","5","5","0","0","0","0","0","0","5","0","0","60","140"
"10022087","Futureworks","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5"
"10042500","Global Banking School Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10007762","Glasgow Caledonian University","5","0","40","0","0","20","0","5","5","5","10","20","0","35","0","30","0","5","90","35","5","10","0","0","0","5","25","5","5","0","5","0","0","30","10","0","410","5,805"
"10002681","Glasgow School of Art","0","0","5","0","0","10","0","5","5","0","5","20","0","20","0","15","0","5","15","10","0","5","5","0","0","5","10","5","5","0","5","0","0","10","20","0","190","945"
"10007794","The University of Glasgow","35","40","40","0","5","50","95","30","25","5","30","190","0","245","5","120","0","50","115","215","20","25","25","15","0","75","80","30","45","0","90","5","0","230","50","0","1,990","15,200"
"10007145","University of Gloucestershire","0","0","0","0","0","0","0","0","0","5","0","10","0","10","0","5","0","0","10","5","0","5","0","0","0","0","0","5","5","0","0","0","0","10","0","0","80","1,175"
"10002718","Goldsmiths College","10","15","5","0","5","0","0","5","10","5","5","60","0","80","0","25","0","5","25","75","5","10","5","0","0","15","30","15","10","0","5","0","0","45","20","0","495","3,635"
"10007146","The University of Greenwich","10","10","60","0","10","15","0","40","5","0","10","40","0","40","5","45","0","15","50","115","20","45","5","5","0","20","95","75","110","0","20","0","0","185","10","0","1,045","11,485"
"10007825","Guildhall School of Music and Drama","0","0","10","0","0","0","0","5","0","0","0","10","0","5","0","5","0","0","15","5","5","5","0","0","0","5","15","20","5","0","0","0","0","20","5","0","135","315"
"10040812","Harper Adams University","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","45","5","0","0","0","0","0","5","0","0","0","0","0","0","0","5","0","0","65","110"
"10080811","Hartpury University","5","5","0","0","0","5","0","0","0","0","0","10","0","5","0","0","0","0","5","10","0","5","0","0","0","5","10","5","0","0","0","0","0","10","0","0","85","195"
"10007764","Heriot-Watt University","10","20","5","0","0","10","0","5","5","5","10","230","0","60","0","30","0","10","15","40","5","5","5","5","0","15","15","10","10","0","5","0","0","50","5","0","585","4,495"
"10007147","University of Hertfordshire","0","5","10","0","5","30","0","5","10","0","0","25","0","20","5","20","0","5","70","30","5","15","5","0","0","5","40","130","30","0","5","0","0","55","10","5","555","17,095"
"10007148","The University of Huddersfield","0","5","10","0","0","30","0","5","0","0","0","25","0","15","5","25","0","0","20","20","5","30","0","0","0","5","10","15","20","0","0","0","0","10","0","0","255","4,465"
"10007149","The University of Hull","5","5","0","0","0","15","0","0","5","0","0","110","0","25","0","15","0","0","15","10","0","5","5","0","0","20","10","10","10","0","0","0","0","15","5","0","290","4,455"
"10003270","Imperial College of Science, Technology and Medicine","35","80","40","5","10","160","0","25","15","15","10","395","0","245","5","225","0","50","100","290","5","20","30","5","0","50","115","75","130","0","25","10","0","325","25","0","2,530","11,505"
"10003284","Inchbald School of Design Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","15"
"10013220","Institute of Art - London Limited","0","5","0","0","0","0","0","0","0","0","0","10","0","5","0","5","0","0","5","10","0","0","0","0","0","5","0","0","0","0","0","0","0","5","0","0","50","265"
"10067388","The Institute of Ismaili Studies","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95"
"10035638","Institute of Contemporary Music Performance","0","10","5","0","0","0","0","5","5","5","0","10","0","15","0","10","0","5","0","30","0","0","0","0","0","5","10","15","5","0","0","0","0","20","15","0","180","345"
"10027603","International College of Musical Theatre","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10082728","INTO University Partnerships Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105"
"10029682","The Islamic College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10067601","JSA Education Group Ltd.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10082570","Kaplan International Colleges U.K. Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","10","1,060"
"10021682","Kaplan Open Learning (Essex) Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007767","Keele University","5","5","5","5","5","10","0","0","5","0","0","15","0","10","5","5","0","0","25","15","0","0","0","0","0","0","10","10","10","0","5","0","0","15","5","0","185","1,425"
"10007150","The University of Kent","10","30","20","0","0","30","0","5","10","5","10","195","0","70","25","90","0","5","40","80","5","5","20","5","0","25","10","10","25","0","0","0","0","70","10","0","810","3,600"
"10003645","King's College London","60","100","80","0","10","105","0","50","35","15","50","630","0","345","10","130","0","65","115","445","15","30","25","10","0","105","120","70","135","0","35","15","0","340","50","0","3,195","15,995"
"10003678","Kingston University","10","5","15","0","5","10","0","5","5","5","5","25","0","30","30","15","0","5","65","55","5","5","5","0","0","5","15","25","10","0","5","0","0","25","10","0","385","4,915"
"10003758","LAMDA Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","190"
"10007768","The University of Lancaster","5","10","45","0","5","70","0","10","5","0","0","70","0","50","15","30","0","30","15","60","10","40","5","0","0","10","50","115","70","0","10","0","0","225","10","0","965","4,970"
"10003854","Leeds Arts University","0","0","0","0","0","0","0","0","0","0","0","5","0","0","5","5","0","0","0","5","0","0","0","0","0","5","5","5","0","0","0","0","0","5","0","0","35","225"
"10003861","Leeds Beckett University","0","5","0","5","0","35","0","0","0","0","0","20","0","10","35","15","0","0","35","15","5","5","0","0","0","0","0","10","5","0","0","0","0","20","0","0","225","4,625"
"10003798","Le Cordon Bleu Limited","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","385"
"10034449","Leeds Conservatoire","0","0","0","0","0","5","0","0","0","0","0","5","0","10","0","0","0","0","5","5","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","35","115"
"10007795","The University of Leeds","20","25","60","5","5","105","0","15","5","5","5","75","0","50","15","55","0","15","35","60","20","25","5","0","0","20","65","25","40","0","5","0","0","75","10","0","850","12,570"
"10003863","Leeds Trinity University","0","0","0","0","0","0","0","0","0","0","0","5","0","0","15","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","85"
"10082828","College of Legal Practice Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"10007796","The University of Leicester","5","15","5","0","0","75","0","0","5","0","5","45","0","10","0","20","0","10","15","40","5","20","5","0","0","10","35","30","15","0","0","0","0","20","5","0","400","5,485"
"10089591","LIBF Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","15"
"10007151","The University of Lincoln","5","0","5","0","0","5","0","0","0","5","0","5","0","25","10","10","0","0","10","20","5","5","0","5","0","5","10","5","15","0","0","0","0","15","0","0","150","3,435"
"10036456","Academy of Live Technology Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10003956","Liverpool Hope University","0","5","0","0","0","5","0","0","0","0","0","15","0","10","45","5","0","0","50","10","0","0","0","0","0","0","15","0","0","0","0","0","0","10","5","0","180","465"
"10003957","Liverpool John Moores University","5","5","5","0","5","10","0","0","5","0","5","15","0","30","80","10","0","0","110","25","0","0","5","0","0","5","10","10","15","0","5","0","0","20","0","0","385","2,470"
"10003945","The Liverpool Institute for Performing Arts","0","5","5","0","0","5","0","0","0","0","0","5","0","5","0","5","0","0","0","5","0","0","0","0","0","0","5","0","0","0","0","0","0","15","0","0","60","240"
"10006842","The University of Liverpool","15","15","15","0","5","60","0","5","10","5","5","45","0","30","25","40","0","5","100","75","0","5","0","0","0","15","60","35","30","0","10","0","0","70","10","0","710","8,355"
"10003958","Liverpool School of Tropical Medicine","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","75"
"10007162","University of the Arts, London","30","50","40","0","5","30","0","25","15","10","15","185","0","130","5","50","0","35","55","265","25","45","10","5","0","45","140","110","95","0","30","5","0","190","60","0","1,715","12,990"
"10007769","London Business School","10","15","0","0","0","0","0","0","0","0","5","55","0","65","0","10","0","0","10","65","0","0","5","0","0","15","15","15","5","0","5","0","0","35","5","0","340","1,870"
"10007797","University of London (Institutes and activities)","0","0","5","0","0","0","0","5","0","0","0","10","0","5","0","5","0","0","5","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55","195"
"10039082","City and Guilds of London Art School","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","40"
"10004036","London Film School Limited","0","5","0","0","0","0","0","0","0","0","0","10","0","5","0","5","0","0","5","10","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","50","295"
"10015506","The London College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10004048","London Metropolitan University","5","10","10","0","0","5","0","0","5","0","10","10","0","20","0","20","0","5","30","75","5","35","0","0","0","10","70","15","45","0","0","0","0","35","10","0","420","3,305"
"10004078","London South Bank University","0","5","20","0","10","5","0","10","0","5","0","20","0","20","0","15","0","5","40","45","10","5","0","0","0","5","20","20","45","0","10","0","0","15","20","0","360","3,135"
"10004063","London School of Economics and Political Science","60","80","15","0","5","55","0","15","30","0","10","315","0","355","0","85","0","25","30","225","0","10","25","5","0","105","85","30","30","0","5","5","0","125","35","0","1,775","8,660"
