﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2014/15 
Search:,


"UKPRN","HE provider","Wholly general financed by the provider","All other sources of finance","Total academic staff"
"10004180","The Manchester Metropolitan University","2,285","150","2,435"
"10007798","The University of Manchester","2,875","2,070","4,945"
"10004351","Middlesex University","965","15","980"
"10007799","Newcastle University","2,310","490","2,800"
"10007138","The University of Northampton","730","0","730"
"10001282","University of Northumbria at Newcastle","1,330","50","1,380"
"10004775","Norwich University of the Arts","155","0","155"
"10007154","University of Nottingham","2,260","1,140","3,400"
"10004797","The Nottingham Trent University","1,545","65","1,610"
"10007773","The Open University","5,890","160","6,050"
"10004930","Oxford Brookes University","1,125","25","1,150"
"10007774","The University of Oxford","2,395","4,480","6,870"
"10005127","Arts University Plymouth","130","0","130"
"10007801","University of Plymouth","1,175","140","1,315"
"10007155","The University of Portsmouth","1,535","20","1,555"
"10005337","Queen Margaret University, Edinburgh","250","0","250"
"10007775","Queen Mary University of London","1,495","710","2,205"
"10005389","Ravensbourne University London","180","5","185"
"10007802","The University of Reading","1,330","310","1,640"
"10005500","Robert Gordon University","745","0","745"
"10007776","Roehampton University","485","0","485"
"10005523","Rose Bruford College of Theatre and Performance","75","0","75"
"10007835","Royal Academy of Music","275","0","280"
"10005545","Royal Agricultural University","60","0","60"
"10007777","Royal College of Art","155","20","175"
"10007778","Royal College of Music","280","5","285"
"10005561","Royal Conservatoire of Scotland","260","0","260"
"10007816","The Royal Central School of Speech and Drama","70","0","70"
"10005553","Royal Holloway and Bedford New College","1,015","155","1,170"
"10007837","Royal Northern College of Music","325","0","325"
"10007779","The Royal Veterinary College","215","65","275"
"10007803","The University of St. Andrews","960","200","1,160"
"10007782","St George's, University of London","195","275","470"
"10008026","St Mary's University College","60","0","60"
"10007843","St Mary's University, Twickenham","380","0","380"
"10007156","The University of Salford","1,335","0","1,335"
"10007780","SOAS University of London","765","30","795"
"10005700","SRUC","345","0","345"
"10005790","Sheffield Hallam University","2,070","95","2,160"
"10007157","The University of Sheffield","1,620","1,465","3,090"
"10006022","Solent University","740","0","740"
"10007158","The University of Southampton","1,855","1,140","2,995"
"10006299","Staffordshire University","960","20","980"
"10007804","The University of Stirling","640","300","940"
"10037449","University of St Mark and St John","105","0","105"
"10008010","Stranmillis University College","50","10","60"
"10007805","The University of Strathclyde","985","445","1,430"
"10014001","University of Suffolk","175","0","175"
"10007159","The University of Sunderland","780","25","805"
"10007160","The University of Surrey","1,125","290","1,415"
"10007806","The University of Sussex","1,390","315","1,705"
"10007855","Swansea University","885","475","1,360"
"10007161","Teesside University","455","245","700"
"10008017","Trinity Laban Conservatoire of Music and Dance","325","0","325"
"10007858","University of Wales Trinity Saint David","675","20","700"
"10007114","University of the Highlands and Islands","30","5","35"
"10007807","Ulster University","1,400","270","1,670"
"10007784","University College London","3,545","3,055","6,600"
"10007793","University of South Wales","1,840","55","1,900"
"10008574","The University of Wales (central functions)","40","10","50"
"10007163","The University of Warwick","1,560","1,040","2,600"
"10007164","University of the West of England, Bristol","1,490","90","1,580"
"10007800","The University of the West of Scotland","575","35","610"
"10006566","The University of West London","810","65","875"
"10007165","The University of Westminster","1,420","50","1,470"
"10003614","The University of Winchester","630","15","645"
"10007166","The University of Wolverhampton","800","5","810"
"10007139","University of Worcester","645","0","645"
"10007833","Wrexham University","290","30","320"
"10007657","Writtle University College","115","0","115"
"10007713","York St John University","315","0","315"
"10007167","The University of York","1,190","485","1,675"
"","Total","150,490","47,845","198,335"
