﻿Title:,"Table 49 - HE student enrolments by HE provider and subject of study"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 49
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","01 Medicine and dentistry","02 Subjects allied to medicine","03 Biological and sport sciences","04 Psychology","05 Veterinary sciences","06 Agriculture, food and related studies","07 Physical sciences","09 Mathematical sciences","10 Engineering and technology","11 Computing","13 Architecture, building and planning","26 Geography, earth and environmental studies (natural sciences)","15 Social sciences","16 Law","17 Business and management","19 Language and area studies","20 Historical, philosophical and religious studies","22 Education and teaching","23 Combined and general studies","24 Media, journalism and communications","25 Design, and creative and performing arts","26 Geography, earth and environmental studies (social sciences)","Total"
"10000824","Bournemouth University","15","4,135","960","1,225","0","0","470","0","365","2,190","0","215","1,415","740","4,290","140","195","55","60","1,100","1,035","25","18,620"
"10031982","BPP University","0","1,150","0","50","0","0","0","0","0","1,340","0","0","1,820","9,935","19,360","0","0","100","0","0","0","0","33,750"
"10007785","The University of Bradford","0","4,935","335","325","0","0","225","0","845","1,225","0","0","1,445","590","2,280","0","10","0","0","30","25","0","12,265"
"10000886","The University of Brighton","720","3,820","685","660","0","0","10","45","680","695","620","220","1,640","415","1,845","450","185","1,095","125","895","1,810","55","16,665"
"10000936","The University College of Osteopathy","0","420","35","0","0","0","0","0","0","10","0","0","0","0","85","0","0","0","0","0","0","0","550"
"10007786","The University of Bristol","2,210","1,540","1,490","935","1,275","40","1,635","1,525","3,135","1,475","0","1,145","3,890","1,790","4,095","1,805","1,765","1,255","250","10","840","35","32,145"
"10028216","Brit College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","175","0","0","390","0","0","0","0","565"
"10023464","Trinity College Bristol","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","125","0","0","0","0","0","125"
"10000961","Brunel University London","225","1,440","1,170","1,015","0","0","0","255","2,450","2,025","50","175","1,160","1,140","3,200","190","60","460","50","160","255","5","15,475"
"10000975","Buckinghamshire New University","35","2,930","210","235","0","0","20","0","145","485","20","0","2,185","585","11,815","0","0","220","0","20","770","0","19,670"
"10007787","The University of Buckingham","845","95","5","125","0","0","0","0","10","230","5","0","130","240","245","45","100","960","10","5","5","0","3,055"
"10042737","UK Business College Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","0","0","0","0","0","0","0","75"
"10019368","London College of Business Studies","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","0","0","125","0","0","0","0","220"
"10010308","Cambridge Arts and Sciences Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","100","0","120"
"10007788","The University of Cambridge","1,805","745","1,115","355","410","15","1,415","1,215","2,705","785","630","865","2,240","1,110","905","2,370","2,425","1,175","40","65","245","70","22,710"
"10032072","The Cambridge Theological Federation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110","0","0","0","0","0","110"
"10003324","The Institute of Cancer Research","345","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","345"
"10001143","Canterbury Christ Church University","250","3,655","500","690","0","60","205","20","190","585","0","15","1,400","490","27,065","275","195","1,855","260","195","530","0","38,430"
"10007814","Cardiff University","2,615","4,860","1,805","1,350","0","0","1,325","855","1,980","1,680","1,405","730","2,830","1,990","2,620","1,895","1,515","355","1,475","1,130","225","375","33,020"
"10034450","Cardiff and Vale College","0","0","0","0","0","0","0","0","35","15","0","0","0","0","5","0","0","0","0","0","10","0","65"
"10086359","Caspian School of Academics","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","210","0","0","0","0","210"
"10007854","Cardiff Metropolitan University","0","1,095","2,135","660","0","120","0","0","275","760","155","0","845","320","2,615","55","0","1,170","30","80","1,120","5","11,445"
"10057213","CEG UFP Limited","0","0","0","0","0","0","0","0","80","45","0","0","0","30","350","0","0","0","270","0","0","0","775"
"10001264","Central School of Ballet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","125","0","125"
"10021550","Centre for Alternative Technology","0","0","115","0","0","0","0","0","15","0","105","195","50","0","0","0","0","0","0","0","0","45","525"
"10007141","The University of Central Lancashire","2,460","6,695","695","960","130","85","815","45","1,510","910","535","0","2,415","1,220","3,710","745","160","400","395","235","1,170","0","25,300"
"10024024","Central Film School London","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150","0","0","150"
"10007848","University of Chester","520","3,390","520","715","0","640","125","45","295","560","0","135","780","540","2,805","330","430","1,185","295","170","725","0","14,215"
"10007137","The University of Chichester","0","490","720","515","0","0","0","25","135","770","0","0","980","125","450","210","170","685","0","85","1,455","0","6,825"
"10001386","Chicken Shed Theatre Company","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","0","80"
"10001546","The College of Integrated Chinese Medicine","0","140","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","140"
"10026921","Christ the Redeemer College","0","5","0","0","0","0","0","0","0","0","0","0","0","0","290","0","15","35","0","0","0","0","345"
"10010213","The City College","0","65","0","0","0","0","0","0","0","0","0","0","0","0","215","0","0","15","0","0","0","0","290"
"10001478","City, University of London","0","4,360","0","1,130","0","0","0","530","1,655","1,425","5","0","2,910","2,930","5,880","280","120","170","25","760","385","0","22,560"
"10007912","Cliff College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","115","0","0","0","0","0","115"
"10066502","The College of Health Ltd","0","310","0","0","0","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","365"
"10041295","College Cambria","0","0","0","0","0","0","0","0","10","5","10","0","0","0","0","0","0","0","0","0","0","0","25"
"10008912","Coleg Gwent","0","0","0","0","0","0","0","0","70","5","25","0","0","0","0","0","0","0","0","0","10","0","105"
"10023442","The College of Osteopaths","0","105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105"
"10020038","Commonwealth College of Excellence","0","0","0","0","0","0","0","0","0","30","0","0","0","0","75","0","0","0","0","0","0","0","105"
"10081618","The Council of the Inns of Court","0","0","0","0","0","0","0","0","0","0","0","0","0","360","0","0","0","0","0","0","0","0","360"
"10007761","Courtauld Institute of Art","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","630","0","0","0","0","0","630"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","0","35"
"10001726","Coventry University","0","5,475","1,125","1,090","0","40","195","210","2,380","2,055","775","105","2,095","785","10,170","200","75","945","75","310","1,220","165","29,495"
"10007822","Cranfield University","0","0","0","0","0","20","105","30","2,640","680","0","80","25","0","1,330","0","10","0","15","0","0","85","5,025"
"10006427","University for the Creative Arts","0","0","0","0","0","0","0","0","0","365","290","0","0","0","5,945","20","0","0","0","35","5,120","0","11,775"
"10007842","University of Cumbria","0","4,740","265","170","0","160","45","0","150","0","0","40","500","220","1,585","15","60","1,240","10","0","240","10","9,450"
"10026767","Dartington Hall Trust (The)","0","0","0","0","0","25","0","0","0","0","0","0","15","0","0","10","0","0","15","0","20","0","80"
"10015688","David Game College Ltd","0","0","0","0","0","0","0","0","0","0","0","0","180","20","135","0","0","0","0","0","15","0","350"
"10001883","De Montfort University","0","4,340","115","725","0","0","580","30","1,395","2,405","465","0","2,100","895","8,100","220","85","415","0","510","2,835","40","25,245"
"10007851","University of Derby","0","6,940","640","1,105","0","0","285","45","1,510","1,140","320","230","2,060","765","2,385","155","85","1,225","445","235","770","0","20,350"
"10007852","The University of Dundee","2,205","2,840","585","615","0","0","330","95","550","385","425","340","625","835","1,565","565","385","1,095","65","220","1,275","0","14,990"
"10007143","University of Durham","0","0","1,005","1,085","0","0","2,170","1,140","895","790","0","720","2,735","1,300","3,610","1,750","2,585","830","305","0","310","530","21,750"
"10067355","Dyson Technical Training Limited","0","0","0","0","0","0","0","0","120","0","0","0","0","0","0","0","0","0","0","0","0","0","120"
"10007789","The University of East Anglia","1,230","3,680","1,115","1,485","0","5","270","180","305","845","0","480","2,500","735","2,550","930","655","555","80","490","205","95","18,390"
"10007144","The University of East London","0","2,245","1,200","1,105","0","0","200","0","1,185","2,580","615","0","910","505","7,305","35","0","750","5","765","1,330","5","20,735"
"10032282","The Queen's Foundation for Ecumenical Theological Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","260","0","0","0","0","0","260"
"10007823","Edge Hill University","215","4,885","1,000","775","0","0","0","35","100","635","0","125","1,160","475","890","280","180","2,665","40","220","325","0","14,000"
"10007772","Edinburgh Napier University","0","2,560","745","315","45","0","0","0","705","2,075","860","0","730","495","3,500","330","0","150","65","480","1,180","0","14,240"
"10007790","The University of Edinburgh","2,520","1,615","2,835","1,420","1,100","320","1,935","1,530","2,435","2,430","865","880","4,470","1,635","2,580","2,795","3,715","2,090","920","195","1,900","445","40,625"
"10022047","Empire College London Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","165","0","0","85","15","0","0","0","265"
"10042570","Escape Studios","0","0","0","0","0","0","0","0","0","570","0","0","0","10","80","0","0","0","5","0","0","0","665"
"10007791","The University of Essex","5","2,990","920","1,440","0","0","0","560","870","670","0","10","2,990","1,120","2,240","595","320","95","465","120","855","0","16,270"
"10008173","University College of Estate Management","0","0","0","0","0","0","0","0","0","0","2,120","0","0","0","1,070","0","0","0","0","0","0","0","3,190"
"10002313","ESCP Europe Business School","0","0","0","0","0","0","0","0","0","45","0","0","0","0","785","0","0","0","0","0","0","0","830"
"10007792","The University of Exeter","1,620","1,900","2,220","2,535","0","10","595","960","1,670","1,400","0","710","3,780","2,060","5,610","2,290","2,190","1,255","620","495","310","645","32,880"
"10008640","Falmouth University","0","0","0","0","0","0","0","0","25","1,040","105","0","0","0","745","465","0","105","40","335","5,065","0","7,915"
"10045476","Met Film School Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","0","0","0","0","450","0","530"
"10004511","The National Film and Television School","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55","510","0","565"
"10022087","Futureworks","0","0","0","0","0","0","0","0","85","150","0","0","0","0","0","10","0","0","0","0","190","0","440"
"10042500","Global Banking School Limited","0","0","0","0","0","0","0","0","0","0","140","0","325","0","610","0","0","135","0","580","0","0","1,790"
"10007762","Glasgow Caledonian University","120","6,130","190","725","0","40","155","0","1,780","1,595","1,150","0","1,935","520","6,390","50","0","65","220","560","345","0","21,965"
"10002681","Glasgow School of Art","0","10","0","0","0","0","0","0","75","115","490","0","40","0","0","10","280","20","130","20","1,450","0","2,640"
"10007794","The University of Glasgow","3,265","1,460","1,875","1,920","840","100","1,415","925","3,175","2,275","170","1,265","3,460","1,655","3,975","2,940","2,685","2,805","45","260","1,310","300","38,125"
"10007145","University of Gloucestershire","0","1,545","635","445","0","5","0","0","160","705","180","60","795","125","1,210","130","130","640","5","260","1,130","70","8,235"
"10002718","Goldsmiths College","0","265","0","710","0","0","0","5","0","975","35","0","1,170","195","590","370","375","530","40","915","2,150","0","8,330"
"10030408","Gower College Swansea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","30"
"10007146","The University of Greenwich","0","5,060","1,465","1,700","0","735","250","180","1,770","3,365","1,145","15","1,645","1,005","8,290","390","100","1,315","0","125","1,135","0","29,695"
"10007825","Guildhall School of Music and Drama","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,055","0","1,055"
"10040812","Harper Adams University","0","0","120","0","515","4,460","0","0","60","15","10","60","0","0","90","0","0","25","0","0","0","0","5,360"
"10080811","Hartpury University","0","0","730","0","335","1,320","0","0","0","0","0","0","0","0","155","0","0","0","0","0","0","0","2,540"
"10007764","Heriot-Watt University","0","0","490","540","0","95","590","595","2,220","880","875","190","240","0","2,625","555","0","100","75","55","545","0","10,665"
"10007147","University of Hertfordshire","925","6,510","600","715","0","10","135","530","2,290","4,890","320","85","1,400","1,330","10,310","100","110","1,840","70","225","1,320","540","34,255"
"10007148","The University of Huddersfield","0","4,700","290","490","0","0","615","90","970","1,185","295","20","1,020","590","6,845","180","115","1,030","20","195","1,340","40","20,030"
"10007149","The University of Hull","685","2,740","660","595","0","0","360","75","1,265","1,160","20","260","2,180","635","2,865","450","230","800","15","270","250","55","15,575"
"10003239","ICON College of Technology and Management","0","0","0","0","0","0","0","0","0","25","0","0","165","0","1,310","0","0","210","0","0","0","0","1,710"
"10003270","Imperial College of Science, Technology and Medicine","4,470","585","1,530","0","0","0","2,600","1,395","7,010","1,490","0","590","0","0","2,570","10","0","120","0","50","0","0","22,420"
"10003284","Inchbald School of Design Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","30"
"10057622","The School of Information Risk Management","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","10","0","0","0","0","40"
"10013220","Institute of Art - London Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","0","90","0","0","20","0","0","170"
"10067388","The Institute of Ismaili Studies","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","85","0","0","0","0","0","90"
"10035638","Institute of Contemporary Music Performance","0","0","0","0","0","0","0","0","235","175","0","0","0","0","70","0","0","0","25","50","1,295","0","1,850"
"10027603","International College of Musical Theatre","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","0","45"
"10082728","INTO University Partnerships Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","0","0","0","0","0","0","0","95"
"10029682","The Islamic College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","0","0","0","0","0","120"
"10067601","JSA Education Group Ltd.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105","0","105"
"10082570","Kaplan International Colleges U.K. Limited","0","0","20","20","0","0","0","0","130","210","25","0","20","25","455","0","0","0","0","10","0","0","915"
"10021682","Kaplan Open Learning (Essex) Limited","0","45","0","365","0","0","0","0","0","145","0","0","320","370","470","0","0","60","0","0","0","0","1,775"
"10007767","Keele University","1,020","4,645","350","815","255","0","665","145","100","910","0","425","815","570","1,255","555","230","590","15","120","40","5","13,525"
"10007150","The University of Kent","210","1,320","1,075","1,460","0","5","775","290","565","1,190","375","30","2,850","1,670","2,710","590","820","155","90","225","720","60","17,190"
"10003645","King's College London","4,270","7,665","1,150","2,880","0","0","1,055","1,235","1,300","1,545","0","310","6,295","2,070","3,005","1,555","1,870","605","385","1,610","210","420","39,435"
"10003678","Kingston University","10","4,545","305","920","0","0","555","30","1,460","1,725","805","180","1,090","295","2,735","165","95","660","80","430","2,710","30","18,825"
"10003758","LAMDA Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","390","0","390"
"10007768","The University of Lancaster","730","430","815","805","0","0","930","800","730","1,400","130","555","3,150","940","4,010","1,020","595","355","155","375","385","75","18,380"
"10003854","Leeds Arts University","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","0","0","0","0","2,125","0","2,170"
"10003861","Leeds Beckett University","0","3,195","2,445","1,025","0","0","15","0","715","1,120","1,175","75","2,330","1,125","6,670","210","165","1,220","60","640","1,755","105","24,040"
"10003798","Le Cordon Bleu Limited","0","0","0","0","0","395","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","395"
"10034449","Leeds Conservatoire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,385","0","1,385"
"10007795","The University of Leeds","2,740","2,195","1,455","1,180","0","410","1,350","1,130","3,780","1,480","315","1,050","4,335","1,875","4,885","2,015","1,815","1,080","495","1,430","2,055","1,040","38,100"
"10003863","Leeds Trinity University","0","55","285","645","0","0","0","0","0","120","0","0","3,595","880","7,505","80","30","1,065","270","170","60","0","14,765"
"10082828","College of Legal Practice Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","795","0","0","0","0","0","0","0","0","795"
"10007796","The University of Leicester","1,665","1,080","1,280","1,245","0","0","815","400","1,040","1,730","0","310","2,175","1,800","2,825","320","615","410","0","695","0","80","18,480"
"10089591","LIBF Limited","0","0","0","0","0","0","0","20","0","135","0","0","0","0","535","0","0","0","0","10","0","0","700"
"10007151","The University of Lincoln","0","2,645","1,080","1,215","0","610","955","150","875","860","250","140","1,765","810","4,925","480","675","630","0","425","1,605","95","20,185"
"10036456","Academy of Live Technology Ltd","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","145","0","170"
"10003956","Liverpool Hope University","0","60","370","435","0","0","0","40","50","290","0","75","950","175","530","140","255","1,050","0","140","485","10","5,055"
"10003957","Liverpool John Moores University","0","5,715","2,655","1,375","0","0","575","180","1,830","850","1,400","200","3,340","1,325","3,755","375","360","1,350","0","755","1,130","0","27,170"
"10003945","The Liverpool Institute for Performing Arts","0","0","0","0","0","0","0","0","90","0","0","0","0","0","0","0","0","0","0","0","970","0","1,065"
"10006842","The University of Liverpool","2,485","2,375","1,265","1,675","1,975","75","1,225","960","2,605","2,140","1,160","640","2,440","1,655","3,985","1,085","1,305","75","150","675","375","400","30,735"
"10003958","Liverpool School of Tropical Medicine","235","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","245"
"10007820","Grŵp Llandrillo Menai","0","165","20","0","0","20","0","0","120","45","35","0","105","0","35","0","0","100","100","20","65","0","830"
"10007162","University of the Arts, London","0","0","80","160","0","0","65","0","20","985","425","0","45","0","2,030","0","0","210","0","1,925","16,855","0","22,800"
"10013109","London Bridge Business Academy","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150","0","0","0","0","0","0","0","150"
"10007769","London Business School","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,255","0","0","0","0","0","0","0","2,255"
"10030391","London Churchill College Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,325","0","0","0","0","0","0","0","1,325"
"10007797","University of London (Institutes and activities)","295","140","0","75","20","0","0","90","5","855","0","0","270","480","590","30","205","70","85","0","5","20","3,240"
"10039082","City and Guilds of London Art School","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","0","0","0","225","0","270"
"10023434","London School of Commerce & IT Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10004036","London Film School Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","0","0","0","0","270","0","315"
"10015506","The London College","0","0","20","0","0","0","0","0","430","30","0","0","0","0","335","0","0","0","0","0","0","0","815"
"10004048","London Metropolitan University","0","1,415","330","530","0","70","125","155","140","905","430","0","2,985","420","5,285","135","5","530","0","345","925","0","14,730"
"10032594","London School of Academics Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","155","0","0","0","0","155"
"10004078","London South Bank University","65","5,605","135","580","0","95","135","0","2,280","795","1,990","0","730","500","2,815","0","0","335","0","60","845","0","16,965"
"10004063","London School of Economics and Political Science","0","0","0","410","0","0","0","1,065","0","65","0","80","5,905","990","2,390","80","1,125","0","0","400","0","405","12,910"
"10007771","London School of Hygiene and Tropical Medicine","205","745","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","980"
"10022285","London School of Management Education","0","0","0","0","0","0","0","0","0","0","0","0","150","0","555","0","0","90","0","0","0","0","795"
"10004075","London School of Theology","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","195","0","0","0","10","0","240"
"10004079","London Studio Centre","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","305","0","315"
"10062810","The London School of Architecture","0","0","0","0","0","0","0","0","0","0","120","0","0","0","0","0","0","0","0","0","0","0","120"
"10004035","The Film Education Training Trust Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","140","0","160"
"10067623","The London Interdisciplinary School Ltd","0","0","0","0","0","0","30","0","0","0","0","30","30","0","0","0","0","0","30","0","30","0","150"
"10004113","Loughborough University","0","305","2,330","1,090","0","0","610","670","4,670","795","700","235","2,075","0","2,620","265","215","115","0","395","1,545","190","18,825"
"10009612","Luther King House Educational Trust","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55","0","0","0","0","0","55"
"10042679","International Business College Manchester Limited","0","0","0","0","0","0","0","0","0","5","0","0","0","0","10","0","0","0","0","0","0","0","15"
"10004180","The Manchester Metropolitan University","35","4,690","1,935","2,175","0","265","440","215","1,070","3,380","1,270","285","3,300","1,655","8,945","1,100","720","2,210","15","1,060","4,665","120","39,545"
"10007798","The University of Manchester","3,675","5,130","1,740","2,050","0","0","2,590","1,865","6,100","2,040","360","1,415","5,575","1,470","6,190","2,190","1,865","1,130","140","270","950","170","46,915"
"10009527","Istituto Marangoni Limited","0","0","0","0","0","0","0","0","0","0","0","0","0","0","495","0","0","0","0","185","725","0","1,400"
"10023452","The Markfield Institute of Higher Education","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","70","20","0","0","0","0","100"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105"
"10020416","Missio Dei","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95","0","0","0","0","0","95"
"10030776","St Mellitus College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300","0","0","0","0","0","300"
"10004320","The Metanoia Institute","0","535","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","5","0","0","0","0","575"
"10004351","Middlesex University","45","3,755","445","680","180","0","30","25","295","1,590","30","10","1,370","1,180","3,675","55","130","655","45","150","1,485","30","15,855"
"10032277","The Minster Centre","0","165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","165"
"10049370","MLA College","0","0","0","0","0","0","0","0","5","0","0","100","0","0","5","0","0","0","0","0","0","0","115"
