﻿Title:,"Table 1 - Buildings and spaces"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2017/18 
Search:,


"UKPRN","HE provider","Total number of sites","Total number of buildings","Total site area (hectares)","Total grounds area (hectares)","Total playing fields area (hectares)","Total gross internal area (m2)","Total number of car parking spaces","Total number of cycle spaces"
"10005337","Queen Margaret University, Edinburgh","1","14","14.273","13.300","0.133","46,596.580","431","283"
"10007775","Queen Mary University of London","4","85","26.292","7.072","13.000","238,677.880","220","895"
"10005389","Ravensbourne University London","2","3","0.288","0.288","0.000","14,445.000","8","100"
"10007802","The University of Reading","3","181","130.900","122.800","22.570","202,463.670","2,256","3,362"
"10005500","Robert Gordon University","2","29","56.219","17.000","0.000","107,218.000","1,112","288"
"10007776","Roehampton University","4","51","","","","112,510.280","392",""
"10005523","Rose Bruford College of Theatre and Performance","2","9","6.000","2.000","2.000","13,246.000","116","140"
"10007835","Royal Academy of Music","4","5","0.459","0.090","0.000","14,504.350","0","78"
"10005545","Royal Agricultural University","3","31","","","","23,587.940","745","75"
"10007777","Royal College of Art","3","12","1.394","0.390","0.000","34,655.910","25","290"
"10007778","Royal College of Music","","","","","","12,261.600","",""
"10007816","The Royal Central School of Speech and Drama","3","8","0.620","0.620","0.000","12,309.000","2","40"
"10005553","Royal Holloway and Bedford New College","3","124","77.930","68.880","3.340","187,734.220","1,438","883"
"10007837","Royal Northern College of Music","1","1","0.985","0.314","0.000","18,274.050","160","126"
"10007779","The Royal Veterinary College","3","143","244.000","18.000","6.000","50,752.000","784","91"
"10007803","The University of St. Andrews","1","150","53.687","44.550","22.260","256,819.000","1,250","1,869"
"10007782","St George's, University of London","1","9","2.270","0.710","0.000","70,427.360","86","409"
"10008026","St Mary's University College","1","4","","0.000","0.000","14,585.000","184",""
"10007843","St Mary's University, Twickenham","3","52","17.230","9.930","10.000","53,143.000","274","247"
"10007156","The University of Salford","3","25","48.000","41.000","20.000","156,938.000","2,390","410"
"10007780","SOAS University of London","2","8","4.854","0.000","0.000","48,694.330","4","147"
"10005700","SRUC","11","313","","","","153,430.830","",""
"10005790","Sheffield Hallam University","3","68","34.230","20.470","8.610","191,419.880","392","692"
"10007157","The University of Sheffield","20","345","140.588","103.087","21.659","539,787.410","2,200","2,200"
"10006022","Solent University","4","44","31.700","21.460","6.350","128,882.000","934","487"
"10007158","The University of Southampton","13","402","98.332","57.190","25.300","431,576.160","2,996","4,154"
"10006299","Staffordshire University","3","59","52.000","42.000","3.420","105,469.000","1,624","580"
"10007804","The University of Stirling","1","43","135.200","133.000","18.100","166,785.510","1,990","575"
"10037449","University of St Mark and St John","1","62","17.790","10.460","5.000","34,443.000","670","98"
"10008010","Stranmillis University College","","","","","","34,607.000","",""
"10007805","The University of Strathclyde","5","50","96.530","78.140","18.390","332,286.000","478","625"
"10014001","University of Suffolk","1","12","7.100","7.100","0.000","27,996.000","516","176"
"10007159","The University of Sunderland","9","34","28.700","23.100","0.000","136,607.400","1,544","306"
"10007160","The University of Surrey","3","301","88.270","58.140","19.140","282,199.630","2,015","2,054"
"10007806","The University of Sussex","1","115","95.380","63.791","7.670","251,600.000","1,908","1,901"
"10007855","Swansea University","4","137","70.083","43.708","5.097","251,679.000","1,640","1,020"
"10007161","Teesside University","3","94","40.510","17.451","22.721","156,197.740","1,749","357"
"10008017","Trinity Laban Conservatoire of Music and Dance","3","4","1.600","0.380","0.000","18,836.600","87","32"
"10007858","University of Wales Trinity Saint David","6","127","69.280","37.291","9.000","132,237.000","",""
"10007114","University of the Highlands and Islands","65","116","144.020","144.020","0.000","163,607.500","","100"
"10007807","Ulster University","6","80","202.229","80.000","30.670","245,129.290","4,936","377"
"10007784","University College London","","249","52.350","16.000","36.000","627,839.480","","1,694"
"10007793","University of South Wales","8","129","42.286","37.043","16.000","192,641.210","3,371","497"
"10007163","The University of Warwick","4","451","488.090","154.130","45.193","540,255.990","4,980","3,067"
"10007164","University of the West of England, Bristol","6","272","60.918","48.755","0.653","287,392.800","3,390","1,219"
"10007800","The University of the West of Scotland","6","56","41.977","21.314","3.791","128,666.690","1,483","321"
"10006566","The University of West London","4","9","2.423","2.043","0.000","49,418.650","97","137"
"10007165","The University of Westminster","12","41","27.000","11.700","10.000","171,171.000","502","351"
"10003614","The University of Winchester","3","59","13.000","8.000","4.000","70,125.000","473","235"
"10007166","The University of Wolverhampton","4","86","37.849","19.883","5.331","177,729.000","1,870","205"
"10007139","University of Worcester","9","64","86.404","72.674","23.268","90,567.170","1,142","775"
"10007833","Wrexham University","7","30","57.420","25.860","2.000","54,763.000","1,368","72"
"10007657","Writtle University College","5","87","","","","40,351.000","634","253"
"10007713","York St John University","10","72","40.480","28.564","8.690","81,874.810","300","782"
"10007167","The University of York","3","301","189.000","159.000","19.580","419,010.000","2,478","5,348"
