﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","Open-ended/Permanent","Fixed-term","Total academic staff"
"10007854","Cardiff Metropolitan University","780","105","885"
"10001264","Central School of Ballet","15","0","15"
"10007141","The University of Central Lancashire","1,520","195","1,710"
"10024024","Central Film School London","5","0","5"
"10007848","University of Chester","580","110","695"
"10007137","The University of Chichester","380","165","545"
"10001386","Chicken Shed Theatre Company","25","0","25"
"10001478","City, University of London","1,620","235","1,855"
"10007912","Cliff College","10","0","10"
"10066502","The College of Health Ltd","10","0","10"
"10007761","Courtauld Institute of Art","45","45","85"
"10034324","Court Theatre Training Company Ltd","0","10","10"
"10001726","Coventry University","2,035","390","2,425"
"10007822","Cranfield University","575","230","805"
"10006427","University for the Creative Arts","360","85","445"
"10007842","University of Cumbria","405","105","510"
"10015688","David Game College Ltd","35","0","35"
"10001883","De Montfort University","1,305","225","1,525"
"10007851","University of Derby","1,350","45","1,395"
"10007852","The University of Dundee","1,175","315","1,490"
"10007143","University of Durham","1,580","1,315","2,895"
"10007789","The University of East Anglia","1,195","895","2,090"
"10007144","The University of East London","610","525","1,140"
"10032282","The Queen's Foundation for Ecumenical Theological Education","15","0","15"
"10007823","Edge Hill University","680","345","1,025"
"10007772","Edinburgh Napier University","730","295","1,025"
"10007790","The University of Edinburgh","4,280","4,150","8,430"
"10042570","Escape Studios","30","0","30"
"10007791","The University of Essex","1,210","345","1,560"
"10008173","University College of Estate Management","50","50","100"
"10007792","The University of Exeter","2,460","1,450","3,915"
"10008640","Falmouth University","425","20","445"
"10004511","The National Film and Television School","65","15","80"
"10022087","Futureworks","20","0","20"
"10007762","Glasgow Caledonian University","745","80","825"
"10002681","Glasgow School of Art","205","35","240"
"10007794","The University of Glasgow","3,455","2,340","5,795"
"10007145","University of Gloucestershire","490","205","695"
"10002718","Goldsmiths College","695","565","1,260"
"10007146","The University of Greenwich","1,160","85","1,245"
"10007825","Guildhall School of Music and Drama","695","140","835"
"10040812","Harper Adams University","235","25","260"
"10080811","Hartpury University","180","25","205"
"10007764","Heriot-Watt University","845","120","965"
"10007147","University of Hertfordshire","2,105","145","2,250"
"10007148","The University of Huddersfield","725","120","845"
"10007149","The University of Hull","750","240","990"
"10003239","ICON College of Technology and Management","30","0","30"
"10003270","Imperial College of Science, Technology and Medicine","2,190","2,350","4,540"
"10057622","The School of Information Risk Management","10","0","10"
"10013220","Institute of Art - London Limited","20","0","20"
"10035638","Institute of Contemporary Music Performance","15","0","15"
"10082728","INTO University Partnerships Limited","190","10","200"
"10082570","Kaplan International Colleges U.K. Limited","210","300","510"
"10021682","Kaplan Open Learning (Essex) Limited","30","0","30"
"10007767","Keele University","795","155","955"
"10007150","The University of Kent","880","425","1,305"
"10003645","King's College London","2,795","3,405","6,200"
"10003678","Kingston University","945","55","1,000"
"10003758","LAMDA Limited","40","35","75"
"10007768","The University of Lancaster","1,550","770","2,320"
"10003854","Leeds Arts University","170","0","170"
"10003861","Leeds Beckett University","1,240","320","1,555"
"10034449","Leeds Conservatoire","165","5","170"
"10007795","The University of Leeds","3,160","785","3,940"
"10003863","Leeds Trinity University","260","5","265"
"10082828","College of Legal Practice Limited","10","0","10"
"10007796","The University of Leicester","1,390","565","1,960"
"10089591","LIBF Limited","15","25","40"
"10007151","The University of Lincoln","1,485","170","1,655"
"10036456","Academy of Live Technology Ltd","15","0","15"
"10003956","Liverpool Hope University","315","15","330"
"10003957","Liverpool John Moores University","1,355","475","1,830"
"10031239","LMA","35","0","35"
"10003945","The Liverpool Institute for Performing Arts","85","10","95"
"10006842","The University of Liverpool","2,385","940","3,325"
"10003958","Liverpool School of Tropical Medicine","130","115","245"
"10007162","University of the Arts, London","1,420","1,380","2,800"
"10007769","London Business School","100","10","110"
"10007797","University of London (Institutes and activities)","65","35","100"
"10004036","London Film School Limited","35","5","40"
"10004048","London Metropolitan University","505","50","555"
"10004078","London South Bank University","655","560","1,215"
"10004063","London School of Economics and Political Science","1,030","890","1,920"
"10007771","London School of Hygiene and Tropical Medicine","300","750","1,050"
"10022285","London School of Management Education","15","5","20"
"10004075","London School of Theology","25","5","25"
"10062810","The London School of Architecture","5","0","5"
"10067623","The London Interdisciplinary School Ltd","20","0","20"
"10004113","Loughborough University","1,205","490","1,690"
"10009612","Luther King House Educational Trust","0","0","0"
"10004180","The Manchester Metropolitan University","1,950","670","2,620"
"10007798","The University of Manchester","3,675","1,635","5,310"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","0","0"
"10020416","Missio Dei","5","0","5"
"10030776","St Mellitus College","25","0","30"
"10004320","The Metanoia Institute","40","50","90"
"10004351","Middlesex University","760","60","820"
"10023777","Mont Rose College of Management and Sciences","40","0","40"
"10023454","Moorlands College","10","10","20"
"10001444","National Centre for Circus Arts","30","0","30"
"10004538","Nazarene Theological College","20","0","20"
"10030129","Nelson College London Ltd","10","5","15"
"10007799","Newcastle University","2,205","825","3,030"
"10067406","New Model Institute for Technology and Engineering (NMITE)","15","5","20"
"10048199","Northeastern University London","150","15","165"
"10007138","The University of Northampton","655","395","1,050"
"10008816","Northern School of Contemporary Dance","20","5","20"
"10001282","University of Northumbria at Newcastle","1,580","230","1,810"
"10004775","Norwich University of the Arts","245","30","275"
"10007154","University of Nottingham","2,740","1,110","3,855"
"10004797","The Nottingham Trent University","2,665","215","2,880"
"10007773","The Open University","5,330","170","5,495"
"10004930","Oxford Brookes University","1,420","205","1,625"
"10007774","The University of Oxford","2,605","4,620","7,220"
"10004028","The Place, London Contemporary Dance School (LCDS)","25","10","35"
"10005127","Arts University Plymouth","110","0","110"
"10007801","University of Plymouth","1,095","660","1,755"
"10019178","Point Blank Music School","95","0","95"
"10007155","The University of Portsmouth","1,175","580","1,755"
"10005337","Queen Margaret University, Edinburgh","245","95","335"
"10007775","Queen Mary University of London","1,635","2,110","3,745"
"10009292","Royal Academy of Dramatic Art","40","25","65"
"10005378","Rambert School","10","5","15"
"10005389","Ravensbourne University London","125","135","260"
"10007802","The University of Reading","1,090","555","1,645"
"10008455","Regent College London","255","10","265"
"10005500","Robert Gordon University","590","95","685"
"10007776","Roehampton University","395","30","425"
"10005523","Rose Bruford College of Theatre and Performance","35","60","95"
"10007835","Royal Academy of Music","285","20","305"
"10005545","Royal Agricultural University","45","10","55"
"10007777","Royal College of Art","265","195","460"
"10007778","Royal College of Music","270","25","300"
"10005561","Royal Conservatoire of Scotland","285","80","365"
"10007816","The Royal Central School of Speech and Drama","70","20","90"
"10005553","Royal Holloway and Bedford New College","775","485","1,260"
"10007837","Royal Northern College of Music","305","20","325"
"10007779","The Royal Veterinary College","230","70","300"
"10007803","The University of St. Andrews","895","450","1,345"
"10007839","SAE Education Limited","45","15","60"
"10007782","St George's, University of London","320","135","455"
"10008026","St Mary's University College","35","30","65"
"10007843","St Mary's University, Twickenham","305","175","480"
"10007156","The University of Salford","1,150","145","1,300"
"10007780","SOAS University of London","355","255","615"
"10005700","SRUC","460","55","520"
"10005790","Sheffield Hallam University","1,830","325","2,155"
"10007157","The University of Sheffield","2,540","1,255","3,795"
"10006022","Solent University","490","45","535"
"10007158","The University of Southampton","1,870","930","2,800"
"10088214","S P Jain London School of Management Limited","5","0","5"
"10006093","Spurgeon's College","10","5","15"
"10006299","Staffordshire University","645","410","1,055"
"10007804","The University of Stirling","750","260","1,015"
"10037449","University of St Mark and St John","120","15","135"
"10008010","Stranmillis University College","45","30","75"
"10007805","The University of Strathclyde","1,400","605","2,005"
"10014001","University of Suffolk","260","25","285"
"10007159","The University of Sunderland","1,485","50","1,535"
"10007160","The University of Surrey","1,115","545","1,660"
"10007806","The University of Sussex","1,400","630","2,035"
"10007855","Swansea University","1,300","440","1,740"
"10083403","The Engineering and Design Institute London","10","0","15"
"10007161","Teesside University","1,000","95","1,095"
"10082743","ThinkSpace Education Limited","10","0","10"
"10008017","Trinity Laban Conservatoire of Music and Dance","330","20","350"
"10007858","University of Wales Trinity Saint David","645","320","965"
"10067648","University Academy 92 Limited","40","5","45"
"10007114","University of the Highlands and Islands","60","15","80"
"10007807","Ulster University","1,040","400","1,440"
"10039956","The University of Law","625","0","625"
"10007784","University College London","10,305","45","10,350"
"10007793","University of South Wales","1,735","120","1,860"
"10029843","Waltham International College Limited","45","5","45"
"10007163","The University of Warwick","1,960","1,820","3,780"
"10007361","Waverley Abbey College","20","0","20"
"10007164","University of the West of England, Bristol","1,850","620","2,470"
"10007800","The University of the West of Scotland","745","50","795"
"10006566","The University of West London","510","570","1,080"
"10007165","The University of Westminster","1,665","315","1,980"
"10003614","The University of Winchester","395","355","750"
"10007166","The University of Wolverhampton","750","20","770"
"10007139","University of Worcester","470","270","740"
"10007833","Wrexham University","230","10","240"
"10007657","Writtle University College","105","10","115"
"10007713","York St John University","475","30","505"
"10007167","The University of York","1,870","785","2,655"
"","Total","175,215","71,715","246,930"
