﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2019/20 
Search:,


"UKPRN","HE provider","Teaching only","Research only","Both teaching and research","Neither teaching nor research","Total academic staff"
"10007771","London School of Hygiene and Tropical Medicine","20","435","545","0","1,000"
"10022285","London School of Management Education","10","0","0","0","15"
"10004075","London School of Theology","0","0","20","0","25"
"10008289","The London Institute of Banking & Finance","5","0","15","0","20"
"10004113","Loughborough University","445","315","870","5","1,630"
"10009612","Luther King House Educational Trust","0","0","5","0","5"
"10004180","The Manchester Metropolitan University","910","150","1,510","35","2,600"
"10007798","The University of Manchester","1,010","2,140","2,000","0","5,150"
"10030776","St Mellitus College","40","0","0","0","40"
"10004320","The Metanoia Institute","65","0","5","0","75"
"10004351","Middlesex University","50","45","895","0","990"
"10023777","Mont Rose College of Management and Sciences","25","0","0","5","30"
"10023454","Moorlands College","10","0","0","0","10"
"10004538","Nazarene Theological College","5","0","10","0","20"
"10030129","Nelson College London Ltd","5","0","0","0","5"
"10007799","Newcastle University","670","1,165","1,275","5","3,115"
"10048199","Northeastern University London","35","0","30","0","65"
"10007138","The University of Northampton","650","15","165","5","835"
"10001282","University of Northumbria at Newcastle","100","115","1,340","0","1,555"
"10004775","Norwich University of the Arts","140","0","70","0","215"
"10007154","University of Nottingham","770","1,245","1,590","0","3,605"
"10004797","The Nottingham Trent University","1,780","0","555","0","2,340"
"10007773","The Open University","3,965","150","955","0","5,070"
"10004930","Oxford Brookes University","590","30","835","0","1,455"
"10007774","The University of Oxford","150","4,910","1,920","15","6,995"
"10005127","Arts University Plymouth","60","0","65","10","135"
"10007801","University of Plymouth","740","165","450","20","1,370"
"10007155","The University of Portsmouth","610","10","1,110","5","1,735"
"10005337","Queen Margaret University, Edinburgh","5","30","210","10","255"
"10007775","Queen Mary University of London","1,435","880","1,070","5","3,390"
"10009292","Royal Academy of Dramatic Art","70","0","0","0","70"
"10005389","Ravensbourne University London","205","5","20","0","235"
"10007802","The University of Reading","820","410","665","0","1,895"
"10005500","Robert Gordon University","55","45","480","5","590"
"10007776","Roehampton University","280","10","250","15","555"
"10005523","Rose Bruford College of Theatre and Performance","50","0","40","0","85"
"10007835","Royal Academy of Music","275","0","30","0","300"
"10005545","Royal Agricultural University","15","0","40","0","55"
"10007777","Royal College of Art","5","15","160","5","180"
"10007778","Royal College of Music","255","10","35","0","295"
"10005561","Royal Conservatoire of Scotland","215","5","110","0","330"
"10007816","The Royal Central School of Speech and Drama","0","5","75","0","85"
"10005553","Royal Holloway and Bedford New College","480","140","525","5","1,150"
"10007837","Royal Northern College of Music","300","0","25","0","325"
"10007779","The Royal Veterinary College","70","80","165","0","315"
"10007803","The University of St. Andrews","190","365","670","0","1,230"
"10007839","SAE Education Limited","45","0","0","0","45"
"10007782","St George's, University of London","270","115","110","0","495"
"10008026","St Mary's University College","25","0","35","0","65"
"10007843","St Mary's University, Twickenham","155","0","250","5","410"
"10007156","The University of Salford","180","40","860","5","1,090"
"10007780","SOAS University of London","325","65","240","10","635"
"10005700","SRUC","190","130","10","80","410"
"10005790","Sheffield Hallam University","440","185","1,460","0","2,085"
"10007157","The University of Sheffield","680","1,565","1,400","0","3,650"
"10006022","Solent University","185","20","425","0","635"
"10007158","The University of Southampton","455","1,015","1,235","5","2,715"
"10006093","Spurgeon's College","5","0","10","0","20"
"10006299","Staffordshire University","730","5","115","10","855"
"10007804","The University of Stirling","405","140","460","0","1,005"
"10037449","University of St Mark and St John","20","0","100","0","120"
"10008010","Stranmillis University College","10","0","40","0","55"
"10007805","The University of Strathclyde","305","540","715","210","1,770"
"10014001","University of Suffolk","190","5","40","5","235"
"10007159","The University of Sunderland","585","10","445","5","1,045"
"10007160","The University of Surrey","545","330","615","0","1,490"
"10007806","The University of Sussex","780","395","835","0","2,010"
"10007855","Swansea University","645","470","600","10","1,730"
"10007161","Teesside University","50","60","640","0","745"
"10008017","Trinity Laban Conservatoire of Music and Dance","400","0","20","0","425"
"10007858","University of Wales Trinity Saint David","370","15","320","25","730"
"10007114","University of the Highlands and Islands","20","45","20","25","105"
"10007807","Ulster University","435","235","660","10","1,345"
"10039956","The University of Law","315","0","5","10","330"
"10007784","University College London","1,360","3,750","2,855","5","7,965"
"10007793","University of South Wales","905","75","730","5","1,720"
"10008574","The University of Wales (central functions)","0","15","0","0","15"
"10007163","The University of Warwick","1,145","840","1,170","5","3,160"
"10007164","University of the West of England, Bristol","475","15","1,475","5","1,975"
"10007800","The University of the West of Scotland","30","20","540","0","590"
"10006566","The University of West London","955","0","105","0","1,060"
"10007165","The University of Westminster","900","60","830","5","1,790"
"10003614","The University of Winchester","490","10","170","20","685"
"10007166","The University of Wolverhampton","85","40","840","0","965"
"10007139","University of Worcester","605","20","350","5","985"
"10007833","Wrexham University","5","5","175","15","195"
"10007657","Writtle University College","105","0","5","5","110"
"10007713","York St John University","55","0","335","0","390"
"10007167","The University of York","450","670","910","0","2,030"
"","Total","72,540","51,510","98,085","1,390","223,525"
