﻿Title:,"Table 7 - HE academic staff by HE provider and employment conditions"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 7
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-7.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Activity standard occupational classification,All 
,Academic year,2022/23 
Search:,


"UKPRN","HE provider","Open-ended/Permanent","Fixed-term","Total academic staff"
"10007149","The University of Hull","720","250","970"
"10003239","ICON College of Technology and Management","25","0","25"
"10003270","Imperial College of Science, Technology and Medicine","2,165","2,230","4,395"
"10013220","Institute of Art - London Limited","20","0","20"
"10035638","Institute of Contemporary Music Performance","15","0","15"
"10082570","Kaplan International Colleges U.K. Limited","185","190","380"
"10021682","Kaplan Open Learning (Essex) Limited","30","0","30"
"10007767","Keele University","715","160","875"
"10007150","The University of Kent","905","465","1,365"
"10003645","King's College London","2,625","3,570","6,195"
"10003678","Kingston University","900","60","965"
"10003758","LAMDA Limited","25","35","60"
"10007768","The University of Lancaster","1,465","785","2,250"
"10003854","Leeds Arts University","165","5","170"
"10003861","Leeds Beckett University","1,215","250","1,460"
"10034449","Leeds Conservatoire","185","10","190"
"10007795","The University of Leeds","2,955","925","3,875"
"10003863","Leeds Trinity University","230","5","235"
"10082828","College of Legal Practice Limited","5","0","5"
"10007796","The University of Leicester","1,300","540","1,840"
"10089591","LIBF Limited","10","30","45"
"10007151","The University of Lincoln","1,415","140","1,555"
"10036456","Academy of Live Technology Ltd","10","0","10"
"10003956","Liverpool Hope University","315","15","325"
"10003957","Liverpool John Moores University","1,305","455","1,765"
"10003945","The Liverpool Institute for Performing Arts","95","10","100"
"10006842","The University of Liverpool","2,055","1,105","3,160"
"10003958","Liverpool School of Tropical Medicine","120","130","250"
"10007162","University of the Arts, London","1,600","1,140","2,740"
"10007769","London Business School","100","5","110"
"10007797","University of London (Institutes and activities)","60","30","90"
"10004036","London Film School Limited","35","5","45"
"10004048","London Metropolitan University","470","25","500"
"10004078","London South Bank University","630","675","1,305"
"10004063","London School of Economics and Political Science","765","1,145","1,910"
"10007771","London School of Hygiene and Tropical Medicine","305","800","1,105"
"10022285","London School of Management Education","10","10","20"
"10004075","London School of Theology","25","0","25"
"10062810","The London School of Architecture","5","0","5"
"10067623","The London Interdisciplinary School Ltd","20","0","20"
"10004113","Loughborough University","1,190","485","1,675"
"10009612","Luther King House Educational Trust","5","0","5"
"10004180","The Manchester Metropolitan University","1,875","625","2,500"
"10007798","The University of Manchester","3,480","1,905","5,385"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","0","0"
"10020416","Missio Dei","5","0","5"
"10030776","St Mellitus College","30","0","30"
"10004320","The Metanoia Institute","35","50","85"
"10004351","Middlesex University","800","70","870"
"10023777","Mont Rose College of Management and Sciences","40","0","40"
"10023454","Moorlands College","10","10","20"
"10001444","National Centre for Circus Arts","35","0","35"
"10004538","Nazarene Theological College","20","0","20"
"10030129","Nelson College London Ltd","10","5","10"
"10007799","Newcastle University","2,140","955","3,095"
"10067406","New Model Institute for Technology and Engineering (NMITE)","10","0","15"
"10048199","Northeastern University London","75","45","120"
"10007138","The University of Northampton","610","335","950"
"10008816","Northern School of Contemporary Dance","20","0","25"
"10001282","University of Northumbria at Newcastle","1,520","245","1,765"
"10004775","Norwich University of the Arts","220","20","240"
"10007154","University of Nottingham","2,635","985","3,615"
"10004797","The Nottingham Trent University","2,475","200","2,680"
"10007773","The Open University","5,585","170","5,755"
"10004930","Oxford Brookes University","1,415","185","1,605"
"10007774","The University of Oxford","2,415","4,640","7,050"
"10004028","The Place, London Contemporary Dance School (LCDS)","20","10","30"
"10005127","Arts University Plymouth","110","10","120"
"10007801","University of Plymouth","1,095","625","1,720"
"10019178","Point Blank Music School","95","0","95"
"10007155","The University of Portsmouth","1,190","565","1,750"
"10005337","Queen Margaret University, Edinburgh","230","85","315"
"10007775","Queen Mary University of London","1,495","2,035","3,530"
"10009292","Royal Academy of Dramatic Art","65","5","70"
"10005378","Rambert School","10","5","15"
"10005389","Ravensbourne University London","105","150","250"
"10007802","The University of Reading","1,085","525","1,610"
"10008455","Regent College London","180","20","200"
"10005500","Robert Gordon University","570","110","680"
"10007776","Roehampton University","380","35","415"
"10005523","Rose Bruford College of Theatre and Performance","35","70","105"
"10007835","Royal Academy of Music","295","30","320"
"10005545","Royal Agricultural University","35","10","45"
"10007777","Royal College of Art","260","165","425"
"10007778","Royal College of Music","280","25","305"
"10005561","Royal Conservatoire of Scotland","305","50","355"
"10007816","The Royal Central School of Speech and Drama","60","25","85"
"10005553","Royal Holloway and Bedford New College","730","505","1,235"
"10007837","Royal Northern College of Music","310","10","320"
"10007779","The Royal Veterinary College","210","85","295"
"10007803","The University of St. Andrews","865","470","1,335"
"10007839","SAE Education Limited","50","5","55"
"10007782","St George's, University of London","310","140","450"
"10008026","St Mary's University College","35","25","60"
"10007843","St Mary's University, Twickenham","290","150","440"
"10007156","The University of Salford","1,045","130","1,175"
"10007780","SOAS University of London","350","255","605"
"10005700","SRUC","450","55","505"
"10005790","Sheffield Hallam University","1,885","250","2,135"
"10007157","The University of Sheffield","2,485","1,215","3,700"
"10006022","Solent University","495","60","555"
"10007158","The University of Southampton","1,775","870","2,645"
"10088214","S P Jain London School of Management Limited","0","0","0"
"10006093","Spurgeon's College","15","5","20"
"10006299","Staffordshire University","650","380","1,030"
"10007804","The University of Stirling","745","280","1,020"
"10037449","University of St Mark and St John","110","25","135"
"10008010","Stranmillis University College","45","20","65"
"10007805","The University of Strathclyde","1,390","615","2,010"
"10014001","University of Suffolk","240","40","280"
"10007159","The University of Sunderland","1,255","125","1,380"
"10007160","The University of Surrey","1,130","495","1,625"
"10007806","The University of Sussex","1,315","705","2,020"
"10007855","Swansea University","1,280","485","1,760"
"10083403","The Engineering and Design Institute London","10","0","15"
"10007161","Teesside University","925","90","1,010"
"10082743","ThinkSpace Education Limited","10","0","10"
"10008017","Trinity Laban Conservatoire of Music and Dance","400","25","425"
"10007858","University of Wales Trinity Saint David","610","260","870"
"10067648","University Academy 92 Limited","30","0","30"
"10007114","University of the Highlands and Islands","80","15","95"
"10007807","Ulster University","945","395","1,340"
"10039956","The University of Law","580","0","580"
"10007784","University College London","9,590","320","9,910"
"10007793","University of South Wales","1,675","135","1,810"
"10029843","Waltham International College Limited","35","5","40"
"10007163","The University of Warwick","1,860","1,640","3,500"
"10007361","Waverley Abbey College","20","0","20"
"10007164","University of the West of England, Bristol","1,760","705","2,465"
"10007800","The University of the West of Scotland","660","85","745"
"10006566","The University of West London","490","695","1,185"
"10007165","The University of Westminster","1,725","255","1,980"
"10003614","The University of Winchester","440","320","760"
"10007166","The University of Wolverhampton","835","35","875"
"10007139","University of Worcester","465","280","745"
"10007833","Wrexham University","225","5","230"
"10007657","Writtle University College","110","5","115"
"10007713","York St John University","415","30","445"
"10007167","The University of York","1,785","825","2,615"
"","Total","169,000","71,420","240,420"
