﻿Title:,"Table 49 - HE student enrolments by HE provider and subject of study"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 49
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-49.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","01-01-01 Medical sciences (non-specific)","01-01-02 Medicine (non-specific)","01-01-03 Medicine by specialism","01-01-04 Dentistry","01 Medicine and dentistry"
"10001282","University of Northumbria at Newcastle","110","0","5","0","115"
"10004775","Norwich University of the Arts","0","0","0","0","0"
"10007154","University of Nottingham","5","2,470","140","0","2,615"
"10004797","The Nottingham Trent University","0","55","0","0","55"
"10007773","The Open University","0","0","0","0","0"
"10023445","ICOM","0","0","0","0","0"
"10004930","Oxford Brookes University","70","0","0","0","70"
"10020439","Oxford Business College","0","0","0","0","0"
"10007774","The University of Oxford","295","1,210","95","0","1,600"
"10006243","St Patrick's International College","0","0","0","0","0"
"10005127","Arts University Plymouth","0","0","0","0","0"
"10007801","University of Plymouth","30","725","0","460","1,220"
"10019178","Point Blank Music School","0","0","0","0","0"
"10007155","The University of Portsmouth","0","0","85","5","90"
"10083476","The Prince's Foundation","0","0","0","0","0"
"10005337","Queen Margaret University, Edinburgh","0","0","0","0","0"
"10007775","Queen Mary University of London","860","2,680","10","595","4,145"
"10025197","University Centre Quayside Limited","0","0","0","0","0"
"10009292","Royal Academy of Dramatic Art","0","0","0","0","0"
"10005544","Royal Academy of Dance","0","0","0","0","0"
"10005389","Ravensbourne University London","0","0","0","0","0"
"10005470","Richmond, The American International University in London","0","0","0","0","0"
"10007802","The University of Reading","20","0","0","0","20"
"10086591","Regent's University London Limited","0","0","0","0","0"
"10021100","Regents Theological College","0","0","0","0","0"
"10023871","Results Consortium Limited","0","0","0","0","0"
"10062833","Raindance Educational Services Limited","0","0","0","0","0"
"10008455","Regent College London","0","0","0","0","0"
"10005500","Robert Gordon University","0","0","0","0","0"
"10007776","Roehampton University","0","0","0","0","0"
"10005523","Rose Bruford College of Theatre and Performance","0","0","0","0","0"
"10007835","Royal Academy of Music","0","0","0","0","0"
"10005545","Royal Agricultural University","0","0","0","0","0"
"10007777","Royal College of Art","0","0","0","0","0"
"10007778","Royal College of Music","0","0","0","0","0"
"10005561","Royal Conservatoire of Scotland","0","0","0","0","0"
"10007816","The Royal Central School of Speech and Drama","0","0","0","0","0"
"10005553","Royal Holloway and Bedford New College","0","0","0","0","0"
"10007837","Royal Northern College of Music","0","0","0","0","0"
"10007779","The Royal Veterinary College","0","0","0","0","0"
"10007803","The University of St. Andrews","0","595","0","0","595"
"10007839","SAE Education Limited","0","0","0","0","0"
"10007782","St George's, University of London","25","1,375","0","0","1,400"
"10008026","St Mary's University College","0","0","0","0","0"
"10007843","St Mary's University, Twickenham","0","0","0","0","0"
"10007156","The University of Salford","0","0","0","55","55"
"10021256","The Salvation Army","0","0","0","0","0"
"10008362","London School of Science and Technology Limited","0","0","0","0","0"
"10007780","SOAS University of London","0","0","0","0","0"
"10005700","SRUC","0","0","0","0","0"
"10005790","Sheffield Hallam University","0","0","0","0","0"
"10007157","The University of Sheffield","30","1,555","45","495","2,125"
"10023458","The Sherwood Psychotherapy Training Institute Limited","0","0","0","0","0"
"10006022","Solent University","0","0","0","0","0"
"10007158","The University of Southampton","0","1,425","120","0","1,545"
"10006093","Spurgeon's College","0","0","0","0","0"
"10006299","Staffordshire University","0","0","50","0","50"
"10008098","Study Group","0","0","0","0","0"
"10007804","The University of Stirling","0","0","0","0","0"
"10037449","University of St Mark and St John","0","0","0","0","0"
"10008010","Stranmillis University College","0","0","0","0","0"
"10007805","The University of Strathclyde","0","0","0","0","0"
"10014001","University of Suffolk","0","0","0","0","0"
"10007159","The University of Sunderland","0","150","40","0","190"
"10007160","The University of Surrey","0","40","0","0","40"
"10007806","The University of Sussex","0","575","50","0","625"
"10007855","Swansea University","80","485","35","0","595"
"10007161","Teesside University","0","0","20","105","125"
"10082743","ThinkSpace Education Limited","0","0","0","0","0"
"10008017","Trinity Laban Conservatoire of Music and Dance","0","0","0","0","0"
"10007858","University of Wales Trinity Saint David","0","0","0","0","0"
"10068157","University Centre Peterborough","0","0","0","0","0"
"10007114","University of the Highlands and Islands","0","0","0","45","45"
"10007807","Ulster University","35","0","0","120","155"
"10039956","The University of Law","0","0","0","0","0"
"10007784","University College London","570","3,790","85","320","4,765"
"10007793","University of South Wales","60","0","0","0","60"
"10007163","The University of Warwick","15","975","305","95","1,390"
"10007361","Waverley Abbey College","0","0","0","0","0"
"10007164","University of the West of England, Bristol","0","0","0","0","0"
"10007800","The University of the West of Scotland","0","0","0","0","0"
"10032288","West Dean College","0","0","0","0","0"
"10006566","The University of West London","0","0","0","0","0"
"10007165","The University of Westminster","0","0","0","0","0"
"10003614","The University of Winchester","0","0","0","0","0"
"10007166","The University of Wolverhampton","0","0","0","0","0"
"10007139","University of Worcester","0","0","0","0","0"
"10007833","Wrexham University","0","0","0","0","0"
"10007657","Writtle University College","0","0","0","0","0"
"10007713","York St John University","0","0","0","0","0"
"10007167","The University of York","215","465","0","0","685"
"","Total","4,940","59,955","3,335","8,825","77,055"
